CDS_CODE,GR_12,ENR_TOTAL,GRADS,UC_GRADS,Amount
1100170000000,398,2897,333,129,232286495.9799999
1611190000000,922,5800,834,427,336593315.9600001
1611270000000,289,1223,269,158,215843906.51999995
1611430000000,885,3970,821,515,747283671.3699998
1611500000000,755,3153,714,397,351407269.24
1611680000000,47,191,36,10,286048652.4099999
1611760000000,2511,10208,2355,1566,1004852358.7800006
1611920000000,1557,7467,1299,633,722596279.5999994
1612000000000,975,5168,923,441,391751796.72
1612340000000,512,1980,463,70,398713496.8799998
1612420000000,1130,4218,926,508,425159290.11999995
1612590000000,2912,25358,2219,1263,2440822021.8399997
1612750000000,229,868,227,207,164339391.73999998
1612910000000,752,2757,632,228,461907931.5600001
1613090000000,1068,4521,1041,423,479901667.97999996
1750930000000,498,5410,488,304,719673350.54
1751010000000,1270,4908,1210,763,617921918.3800002
2100250000000,4,6,2,0,9031035.02
3100330000000,16,209,2,0,37702372.10000001
3739810000000,317,1297,288,67,97121100.06000003
4100410000000,162,1040,150,23,258066839.20000002
4614080000000,37,153,30,7,24294120.399999995
4614240000000,1094,4964,1030,399,523078350.1599999
4614320000000,76,294,72,29,29168400.459999993
4614400000000,14,39,9,0,2939917.7800000003
4614570000000,11,61,10,0,9594471.660000002
4615150000000,541,2272,456,88,101183994.44000006
4615310000000,299,1485,257,48,128473309.97999997
4755070000000,163,643,142,31,82675536.04000004
5100580000000,73,509,79,1,46437789.03999999
5615560000000,182,723,178,72,37765936.62
5615640000000,271,1074,279,55,117407874.71999995
6615980000000,107,466,90,31,37881235.580000006
6616060000000,24,103,23,5,12040839.399999997
6616140000000,87,438,84,21,53473116.04000002
6616220000000,101,894,97,25,46090556.86
7100740000000,619,3696,531,284,220052095.64999995
7616300000000,1251,5402,1214,909,331491688.6200001
7616480000000,1681,9484,1422,458,688579665.6399999
7616630000000,46,368,37,12,52326604.700000025
7616970000000,119,584,116,22,78025649.46000002
7617210000000,2106,8087,1809,814,262809648.27999997
7617390000000,341,1338,313,144,298710284.82000005
7617540000000,2236,9208,1954,637,1560402086.5199993
7617880000000,719,4711,702,241,502049829.6999998
7617960000000,2104,9539,1849,772,2118549082.76
7618040000000,2441,16324,2419,1751,1351624934.38
8100820000000,143,619,121,0,22691024.539999984
8618200000000,257,976,213,55,157917890.34
9100900000000,154,826,133,0,379337846.5399999
9618530000000,1684,6810,1623,825,299028314.54
9619030000000,277,1506,261,94,140432219.36
9737830000000,121,751,113,24,52401061.79999998
10623800000000,291,883,73,0,17731476.840000004
10624300000000,427,6447,398,137,191714075.53999996
12628100000000,254,1066,236,69,41455154.66000001
12630400000000,47,776,41,15,59576764.08
14101400000000,993,2440,851,39,68625738.69999997
17640300000000,125,1556,129,43,39124105.279999994
19647900000000,529,5903,426,207,203782443.18000016
19648400000000,1607,18960,1414,499,950490322.0800002
19649800000000,931,11289,865,685,1065046040.9
19650600000000,2192,23947,2129,1135,1440566021.9000008
19734600000000,1484,14532,1478,944,662834840.3199995
20755800000000,151,1923,138,46,63666349.74
23655400000000,52,540,50,17,32268456.859999996
24657300000000,126,505,99,45,20121504.64
27751500000000,1,96,3,0,3599802.8000000003
27754400000000,366,4915,303,78,172542763.88
28102800000000,30,140,45,0,132590952.18
28662900000000,136,1269,118,63,233321378.00000006
30666700000000,4181,56815,3750,1765,2223999210.2200003
30736500000000,2343,31392,2244,1558,1693358617.1599996
33103300000000,1025,7629,636,91,1137039238.5800002
33670900000000,1519,19330,1439,373,602237397.46
33752000000000,1974,22698,1815,1007,627787689.2800001
34673300000000,1389,19527,1292,610,840161282.7600005
36677100000000,3322,39470,2898,1022,1675990331.74
36678500000000,2130,26225,1755,635,829705277.1199998
36738900000000,104,2278,110,23,117792753.51999997
37681300000000,5931,22220,4599,1771,1133538303.12
39686500000000,275,3680,253,69,160591933.78
40687000000000,351,4722,371,150,188469492.9
41688900000000,251,3373,216,125,179804329.88000003
41689400000000,22,340,21,7,27449617.819999985
41690700000000,716,9111,639,289,592872621.1199996
42692600000000,146,5269,145,24,169751568.94000003
42693100000000,1876,7782,1667,431,376446445.26000005
42750100000000,16,233,13,2,17024295.259999994
45701100000000,23,3440,23,8,106478626.97999996
47104700000000,40,450,30,1,116698091.62
47702500000000,14,55,13,7,13901060.780000007
48705400000000,1574,21366,1324,390,685535594.4400003
49707300000000,59,714,61,6,34414476.97999998
49708700000000,16,1419,14,0,59794167.82000001
49753900000000,158,1650,142,44,166567193.2400001
52105200000000,42,245,24,0,103987197.29999998
54718600000000,276,4083,245,85,165331869.73999998
54721400000000,249,702,123,0,6641872.619999999
56724700000000,22,1385,23,0,21333588.279999994
56725200000000,209,2680,66,0,65624846.77999999
56739400000000,599,6703,569,248,211688956.38
57727100000000,705,10055,617,268,347230940.17999995
