CDS_CODE,GR_12,ENR_TOTAL,GRADS,UC_GRADS,Amount
1100170000000,304,3175,243,97,232286495.97999993
1611190000000,953,5621,806,431,336593315.9600001
1611270000000,308,1211,281,107,215843906.51999998
1611430000000,881,3724,760,400,747283671.3699998
1611500000000,784,3148,789,418,351407269.24
1611680000000,48,225,47,2,286048652.4099999
1611760000000,2469,10249,2408,1576,1004852358.7800004
1611920000000,1515,6965,1215,558,722596279.5999995
1612000000000,1115,4171,967,493,391751796.72000015
1612340000000,543,2115,446,139,398713496.8799998
1612420000000,1244,4360,951,544,425159290.11999995
1612590000000,2911,23604,2182,1080,2440822021.8399997
1612750000000,205,816,191,165,164339391.73999998
1612910000000,724,2821,638,239,461907931.5600001
1613090000000,1045,4623,936,399,479901667.9799999
1750930000000,435,4220,439,294,719673350.5400002
1751010000000,1302,5020,1228,805,617921918.3800004
2100250000000,0,2,1,0,9031035.02
2613330000000,0,2,1,0,27580028.639999993
3100330000000,27,300,8,0,37702372.10000002
3739810000000,351,1356,315,84,97121100.06000003
4100410000000,137,1003,140,22,258066839.20000002
4614080000000,41,164,46,7,24294120.399999995
4614240000000,1210,5055,1035,434,523078350.15999997
4614320000000,91,326,78,35,29168400.459999993
4614400000000,16,46,5,0,2939917.7800000003
4614570000000,6,45,11,0,9594471.660000004
4615150000000,607,2452,510,90,101183994.44000007
4615310000000,349,1495,293,76,128473309.97999997
4755070000000,174,711,153,45,82675536.04000004
5100580000000,69,493,74,0,46437789.03999999
5615560000000,197,754,168,72,37765936.62
5615640000000,268,1135,251,79,117407874.71999995
6615980000000,113,450,80,6,37881235.57999999
6616060000000,30,114,27,5,12040839.399999997
6616140000000,91,389,80,23,53473116.04000002
6616220000000,99,852,68,9,46090556.86
7100740000000,492,3173,474,441,220052095.64999995
7616300000000,1392,5349,1318,963,331491688.62000006
7616480000000,1670,9901,1297,420,688579665.6399999
7616970000000,135,541,124,19,78025649.46000002
7617210000000,2026,7704,1715,717,262809648.27999997
7617390000000,382,1416,320,141,298710284.82
7617540000000,2251,9420,1835,539,1560402086.5199993
7617880000000,627,4475,618,152,502049829.6999998
7617960000000,2146,8944,1804,760,2118549082.7599998
7618040000000,2264,15477,2271,1522,1351624934.38
8100820000000,105,602,83,1,22691024.53999998
8618200000000,281,1058,247,50,157917890.33999997
9100900000000,142,865,124,0,379337846.5399999
9618530000000,1711,6873,1626,870,299028314.54
9619030000000,294,1513,269,116,140432219.36
9737830000000,132,817,129,24,52401061.79999997
10623800000000,89,580,33,0,17731476.840000004
10624300000000,422,6453,405,139,191714075.54
12628100000000,253,1075,238,67,41455154.66000001
12630400000000,64,736,54,20,59576764.08
14101400000000,471,1657,683,33,68625738.69999996
17640300000000,118,1536,102,32,39124105.279999994
19646000000000,298,2667,284,1,48910888.33999998
19647900000000,478,5936,439,148,203782443.18000016
19648400000000,1747,19770,1426,272,950490322.0800002
19649800000000,1042,11417,880,637,1065046040.9000001
19650600000000,2242,24324,2067,1098,1440566021.9000006
19734600000000,1584,14661,1495,981,662834840.3199995
20755800000000,176,1967,145,59,63666349.74
23655400000000,47,556,34,13,32268456.859999996
24657300000000,125,513,125,26,20121504.64
27751500000000,4,77,2,0,3599802.8000000003
27754400000000,348,4708,300,66,172542763.88000003
28102800000000,35,137,45,0,132590952.18
28662900000000,120,1295,113,67,233321378.00000006
30666700000000,4099,57410,3809,1694,2223999210.2200003
30736500000000,2291,29072,2046,1266,1693358617.1599996
33103300000000,911,7864,572,61,1137039238.5800002
33670900000000,1601,19577,1292,354,602237397.4600002
33752000000000,1962,22929,1909,986,627787689.2800001
34673300000000,1402,19117,1269,601,840161282.7600005
36677100000000,3461,40374,2803,912,1675990331.74
36678500000000,2142,26596,1729,358,829705277.1199996
36738900000000,103,2395,127,0,117792753.51999997
37681300000000,6260,22965,4354,2214,1133538303.12
39686500000000,231,3238,233,83,160591933.78
40687000000000,402,4784,373,137,188469492.9
41688900000000,235,3324,227,113,179804329.88000003
41689400000000,25,343,23,8,27449617.81999998
41690700000000,725,9265,704,275,592872621.1199996
42692600000000,117,5087,144,68,169751568.94000003
42693100000000,1913,7636,1659,420,376446445.26000005
42750100000000,11,240,18,7,17024295.259999998
45701100000000,14,3386,24,3,106478626.97999996
47104700000000,44,435,19,0,116698091.62
47702500000000,22,87,17,5,13901060.780000007
48705400000000,1642,21400,1406,445,685535594.4400002
49707300000000,60,716,76,10,34414476.97999998
49708700000000,15,1491,14,0,59794167.82
49753900000000,185,1813,159,54,166567193.24000007
52105200000000,7,184,46,0,103987197.29999998
54718600000000,300,4128,217,74,165331869.73999998
54721400000000,150,484,59,0,6641872.619999999
56724700000000,36,1387,20,0,21333588.279999994
56725200000000,242,2879,216,77,65624846.77999999
56739400000000,668,6984,585,301,211688956.38
57727100000000,779,10126,676,297,347230940.17999995
