Amount,Cds Code,$ in 000's,District Name,District Code,# Enrolled,Ethnic,Function1 (copy),Function,Function Code,Grads,# G12 Enrollment,Number of Records,# UC Grads,Year1
5761988.84,1100170000000,5761.98884,Alameda County Office of Education,10017,128,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,6,12,1,3,1213
2126900.99,1100170000000,2126.90099,Alameda County Office of Education,10017,128,9,Communications,Communications,5900,6,12,1,3,1213
248316.29,1100170000000,248.31629,Alameda County Office of Education,10017,128,9,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,6,12,1,3,1213
2607.78,1100170000000,2.60778,Alameda County Office of Education,10017,128,9,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,6,12,1,3,1213
1138122.98,1100170000000,1138.12298,Alameda County Office of Education,10017,128,9,Accounts Receivable,Accounts Receivable,9200,6,12,1,3,1213
2856176.45,1611190000000,2856.17645,Alameda Unified,61119,21,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,3,3,1,2,1213
692260.61,1611190000000,692.26061,Alameda Unified,61119,21,1,Books and Other Reference Materials,Books and Other Reference Materials,4200,3,3,1,2,1213
469552.67,1611190000000,469.55267,Alameda Unified,61119,21,1,Accounts Receivable,Accounts Receivable,9200,3,3,1,2,1213
2856176.45,1611190000000,2856.17645,Alameda Unified,61119,1506,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,301,325,1,196,1213
692260.61,1611190000000,692.26061,Alameda Unified,61119,1506,2,Books and Other Reference Materials,Books and Other Reference Materials,4200,301,325,1,196,1213
469552.67,1611190000000,469.55267,Alameda Unified,61119,1506,2,Accounts Receivable,Accounts Receivable,9200,301,325,1,196,1213
2856176.45,1611190000000,2856.17645,Alameda Unified,61119,69,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,5,7,1,2,1213
692260.61,1611190000000,692.26061,Alameda Unified,61119,69,3,Books and Other Reference Materials,Books and Other Reference Materials,4200,5,7,1,2,1213
469552.67,1611190000000,469.55267,Alameda Unified,61119,69,3,Accounts Receivable,Accounts Receivable,9200,5,7,1,2,1213
2856176.45,1611190000000,2856.17645,Alameda Unified,61119,479,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,77,84,1,30,1213
692260.61,1611190000000,692.26061,Alameda Unified,61119,479,4,Books and Other Reference Materials,Books and Other Reference Materials,4200,77,84,1,30,1213
469552.67,1611190000000,469.55267,Alameda Unified,61119,479,4,Accounts Receivable,Accounts Receivable,9200,77,84,1,30,1213
2856176.45,1611190000000,2856.17645,Alameda Unified,61119,952,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,112,144,1,42,1213
692260.61,1611190000000,692.26061,Alameda Unified,61119,952,5,Books and Other Reference Materials,Books and Other Reference Materials,4200,112,144,1,42,1213
469552.67,1611190000000,469.55267,Alameda Unified,61119,952,5,Accounts Receivable,Accounts Receivable,9200,112,144,1,42,1213
2856176.45,1611190000000,2856.17645,Alameda Unified,61119,862,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,82,114,1,15,1213
692260.61,1611190000000,692.26061,Alameda Unified,61119,862,6,Books and Other Reference Materials,Books and Other Reference Materials,4200,82,114,1,15,1213
469552.67,1611190000000,469.55267,Alameda Unified,61119,862,6,Accounts Receivable,Accounts Receivable,9200,82,114,1,15,1213
2856176.45,1611190000000,2856.17645,Alameda Unified,61119,1480,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,239,264,1,135,1213
692260.61,1611190000000,692.26061,Alameda Unified,61119,1480,7,Books and Other Reference Materials,Books and Other Reference Materials,4200,239,264,1,135,1213
469552.67,1611190000000,469.55267,Alameda Unified,61119,1480,7,Accounts Receivable,Accounts Receivable,9200,239,264,1,135,1213
2856176.45,1611190000000,2856.17645,Alameda Unified,61119,223,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,8,11,1,4,1213
692260.61,1611190000000,692.26061,Alameda Unified,61119,223,9,Books and Other Reference Materials,Books and Other Reference Materials,4200,8,11,1,4,1213
469552.67,1611190000000,469.55267,Alameda Unified,61119,223,9,Accounts Receivable,Accounts Receivable,9200,8,11,1,4,1213
1058343.97,1611270000000,1058.34397,Albany City Unified,61127,388,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,107,108,1,57,1213
408753.7,1611270000000,408.7537,Albany City Unified,61127,388,2,Classified Support Salaries,Classified Support Salaries,2200,107,108,1,57,1213
15571.05,1611270000000,15.57105,Albany City Unified,61127,388,2,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,107,108,1,57,1213
328938.85,1611270000000,328.93885,Albany City Unified,61127,388,2,Books and Other Reference Materials,Books and Other Reference Materials,4200,107,108,1,57,1213
1161577.98,1611270000000,1161.57798,Albany City Unified,61127,388,2,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,107,108,1,57,1213
18015623.83,1611270000000,18015.62383,Albany City Unified,61127,388,2,Accounts Receivable,Accounts Receivable,9200,107,108,1,57,1213
1058343.97,1611270000000,1058.34397,Albany City Unified,61127,3,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,1,1,1,0,1213
408753.7,1611270000000,408.7537,Albany City Unified,61127,3,3,Classified Support Salaries,Classified Support Salaries,2200,1,1,1,0,1213
15571.05,1611270000000,15.57105,Albany City Unified,61127,3,3,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,1,1,1,0,1213
