Amount,Cds Code,$ in 000's,District Name,District Code,# Enrolled,Ethnic,Function1 (copy),Function,Function Code,Grads,# G12 Enrollment,Number of Records,# UC Grads,Year1
382935.42,7616300000000,382.93542,Acalanes Union High,61630,76,0,Subagreements for Services,Subagreements for Services,5100,1,3,1,1,1213
40770.31,7616300000000,40.77031,Acalanes Union High,61630,76,0,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,1,3,1,1,1213
4973064.32,7616300000000,4973.06432,Acalanes Union High,61630,76,0,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,1,3,1,1,1213
231074.49,7616300000000,231.07449,Acalanes Union High,61630,76,0,Accounts Receivable,Accounts Receivable,9200,1,3,1,1,1213
119043.46,7616300000000,119.04346,Acalanes Union High,61630,6,1,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,1,1,1,1,1213
747673.27,7616300000000,747.67327,Acalanes Union High,61630,6,1,Books and Other Reference Materials,Books and Other Reference Materials,4200,1,1,1,1,1213
382935.42,7616300000000,382.93542,Acalanes Union High,61630,6,1,Subagreements for Services,Subagreements for Services,5100,1,1,1,1,1213
40770.31,7616300000000,40.77031,Acalanes Union High,61630,6,1,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,1,1,1,1,1213
4973064.32,7616300000000,4973.06432,Acalanes Union High,61630,6,1,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,1,1,1,1,1213
231074.49,7616300000000,231.07449,Acalanes Union High,61630,6,1,Accounts Receivable,Accounts Receivable,9200,1,1,1,1,1213
119043.46,7616300000000,119.04346,Acalanes Union High,61630,647,2,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,167,172,1,138,1213
747673.27,7616300000000,747.67327,Acalanes Union High,61630,647,2,Books and Other Reference Materials,Books and Other Reference Materials,4200,167,172,1,138,1213
382935.42,7616300000000,382.93542,Acalanes Union High,61630,647,2,Subagreements for Services,Subagreements for Services,5100,167,172,1,138,1213
40770.31,7616300000000,40.77031,Acalanes Union High,61630,647,2,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,167,172,1,138,1213
4973064.32,7616300000000,4973.06432,Acalanes Union High,61630,647,2,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,167,172,1,138,1213
231074.49,7616300000000,231.07449,Acalanes Union High,61630,647,2,Accounts Receivable,Accounts Receivable,9200,167,172,1,138,1213
119043.46,7616300000000,119.04346,Acalanes Union High,61630,14,3,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,5,5,1,2,1213
747673.27,7616300000000,747.67327,Acalanes Union High,61630,14,3,Books and Other Reference Materials,Books and Other Reference Materials,4200,5,5,1,2,1213
382935.42,7616300000000,382.93542,Acalanes Union High,61630,14,3,Subagreements for Services,Subagreements for Services,5100,5,5,1,2,1213
40770.31,7616300000000,40.77031,Acalanes Union High,61630,14,3,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,5,5,1,2,1213
4973064.32,7616300000000,4973.06432,Acalanes Union High,61630,14,3,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,5,5,1,2,1213
231074.49,7616300000000,231.07449,Acalanes Union High,61630,14,3,Accounts Receivable,Accounts Receivable,9200,5,5,1,2,1213
119043.46,7616300000000,119.04346,Acalanes Union High,61630,88,4,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,20,21,1,13,1213
747673.27,7616300000000,747.67327,Acalanes Union High,61630,88,4,Books and Other Reference Materials,Books and Other Reference Materials,4200,20,21,1,13,1213
382935.42,7616300000000,382.93542,Acalanes Union High,61630,88,4,Subagreements for Services,Subagreements for Services,5100,20,21,1,13,1213
40770.31,7616300000000,40.77031,Acalanes Union High,61630,88,4,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,20,21,1,13,1213
4973064.32,7616300000000,4973.06432,Acalanes Union High,61630,88,4,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,20,21,1,13,1213
231074.49,7616300000000,231.07449,Acalanes Union High,61630,88,4,Accounts Receivable,Accounts Receivable,9200,20,21,1,13,1213
119043.46,7616300000000,119.04346,Acalanes Union High,61630,411,5,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,111,114,1,55,1213
747673.27,7616300000000,747.67327,Acalanes Union High,61630,411,5,Books and Other Reference Materials,Books and Other Reference Materials,4200,111,114,1,55,1213
382935.42,7616300000000,382.93542,Acalanes Union High,61630,411,5,Subagreements for Services,Subagreements for Services,5100,111,114,1,55,1213
40770.31,7616300000000,40.77031,Acalanes Union High,61630,411,5,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,111,114,1,55,1213
4973064.32,7616300000000,4973.06432,Acalanes Union High,61630,411,5,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,111,114,1,55,1213
231074.49,7616300000000,231.07449,Acalanes Union High,61630,411,5,Accounts Receivable,Accounts Receivable,9200,111,114,1,55,1213
119043.46,7616300000000,119.04346,Acalanes Union High,61630,72,6,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,13,13,1,9,1213
747673.27,7616300000000,747.67327,Acalanes Union High,61630,72,6,Books and Other Reference Materials,Books and Other Reference Materials,4200,13,13,1,9,1213
382935.42,7616300000000,382.93542,Acalanes Union High,61630,72,6,Subagreements for Services,Subagreements for Services,5100,13,13,1,9,1213
40770.31,7616300000000,40.77031,Acalanes Union High,61630,72,6,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,13,13,1,9,1213
4973064.32,7616300000000,4973.06432,Acalanes Union High,61630,72,6,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,13,13,1,9,1213
231074.49,7616300000000,231.07449,Acalanes Union High,61630,72,6,Accounts Receivable,Accounts Receivable,9200,13,13,1,9,1213
119043.46,7616300000000,119.04346,Acalanes Union High,61630,3682,7,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,965,973,1,738,1213
747673.27,7616300000000,747.67327,Acalanes Union High,61630,3682,7,Books and Other Reference Materials,Books and Other Reference Materials,4200,965,973,1,738,1213
382935.42,7616300000000,382.93542,Acalanes Union High,61630,3682,7,Subagreements for Services,Subagreements for Services,5100,965,973,1,738,1213
40770.31,7616300000000,40.77031,Acalanes Union High,61630,3682,7,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,965,973,1,738,1213
4973064.32,7616300000000,4973.06432,Acalanes Union High,61630,3682,7,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,965,973,1,738,1213
231074.49,7616300000000,231.07449,Acalanes Union High,61630,3682,7,Accounts Receivable,Accounts Receivable,9200,965,973,1,738,1213
119043.46,7616300000000,119.04346,Acalanes Union High,61630,353,9,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,90,90,1,52,1213
747673.27,7616300000000,747.67327,Acalanes Union High,61630,353,9,Books and Other Reference Materials,Books and Other Reference Materials,4200,90,90,1,52,1213
382935.42,7616300000000,382.93542,Acalanes Union High,61630,353,9,Subagreements for Services,Subagreements for Services,5100,90,90,1,52,1213
40770.31,7616300000000,40.77031,Acalanes Union High,61630,353,9,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,90,90,1,52,1213
4973064.32,7616300000000,4973.06432,Acalanes Union High,61630,353,9,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,90,90,1,52,1213
231074.49,7616300000000,231.07449,Acalanes Union High,61630,353,9,Accounts Receivable,Accounts Receivable,9200,90,90,1,52,1213
2678159.49,7616480000000,2678.15949,Antioch Unified,61648,11,0,Classified Instructional Salaries,Classified Instructional Salaries,2100,2,4,1,1,1213
71828.55,7616480000000,71.82855,Antioch Unified,61648,11,0,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,2,4,1,1,1213
409073.85,7616480000000,409.07385,Antioch Unified,61648,11,0,Books and Other Reference Materials,Books and Other Reference Materials,4200,2,4,1,1,1213
75054.93,7616480000000,75.05493,Antioch Unified,61648,11,0,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,2,4,1,1,1213
9332589.41,7616480000000,9332.58941,Antioch Unified,61648,11,0,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,2,4,1,1,1213
28388,7616480000000,28.388,Antioch Unified,61648,11,0,Accounts Receivable,Accounts Receivable,9200,2,4,1,1,1213
2678159.49,7616480000000,2678.15949,Antioch Unified,61648,77,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,12,13,1,5,1213
71828.55,7616480000000,71.82855,Antioch Unified,61648,77,1,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,12,13,1,5,1213
409073.85,7616480000000,409.07385,Antioch Unified,61648,77,1,Books and Other Reference Materials,Books and Other Reference Materials,4200,12,13,1,5,1213
75054.93,7616480000000,75.05493,Antioch Unified,61648,77,1,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,12,13,1,5,1213
9332589.41,7616480000000,9332.58941,Antioch Unified,61648,77,1,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,12,13,1,5,1213
28388,7616480000000,28.388,Antioch Unified,61648,77,1,Accounts Receivable,Accounts Receivable,9200,12,13,1,5,1213
2678159.49,7616480000000,2678.15949,Antioch Unified,61648,567,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,72,84,1,43,1213
71828.55,7616480000000,71.82855,Antioch Unified,61648,567,2,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,72,84,1,43,1213
409073.85,7616480000000,409.07385,Antioch Unified,61648,567,2,Books and Other Reference Materials,Books and Other Reference Materials,4200,72,84,1,43,1213
75054.93,7616480000000,75.05493,Antioch Unified,61648,567,2,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,72,84,1,43,1213
9332589.41,7616480000000,9332.58941,Antioch Unified,61648,567,2,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,72,84,1,43,1213
28388,7616480000000,28.388,Antioch Unified,61648,567,2,Accounts Receivable,Accounts Receivable,9200,72,84,1,43,1213
2678159.49,7616480000000,2678.15949,Antioch Unified,61648,92,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,11,18,1,0,1213
71828.55,7616480000000,71.82855,Antioch Unified,61648,92,3,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,11,18,1,0,1213
409073.85,7616480000000,409.07385,Antioch Unified,61648,92,3,Books and Other Reference Materials,Books and Other Reference Materials,4200,11,18,1,0,1213
75054.93,7616480000000,75.05493,Antioch Unified,61648,92,3,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,11,18,1,0,1213
9332589.41,7616480000000,9332.58941,Antioch Unified,61648,92,3,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,11,18,1,0,1213
28388,7616480000000,28.388,Antioch Unified,61648,92,3,Accounts Receivable,Accounts Receivable,9200,11,18,1,0,1213
2678159.49,7616480000000,2678.15949,Antioch Unified,61648,539,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,64,76,1,30,1213
71828.55,7616480000000,71.82855,Antioch Unified,61648,539,4,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,64,76,1,30,1213
409073.85,7616480000000,409.07385,Antioch Unified,61648,539,4,Books and Other Reference Materials,Books and Other Reference Materials,4200,64,76,1,30,1213
75054.93,7616480000000,75.05493,Antioch Unified,61648,539,4,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,64,76,1,30,1213
9332589.41,7616480000000,9332.58941,Antioch Unified,61648,539,4,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,64,76,1,30,1213
28388,7616480000000,28.388,Antioch Unified,61648,539,4,Accounts Receivable,Accounts Receivable,9200,64,76,1,30,1213
2678159.49,7616480000000,2678.15949,Antioch Unified,61648,3234,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,425,558,1,123,1213
71828.55,7616480000000,71.82855,Antioch Unified,61648,3234,5,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,425,558,1,123,1213
409073.85,7616480000000,409.07385,Antioch Unified,61648,3234,5,Books and Other Reference Materials,Books and Other Reference Materials,4200,425,558,1,123,1213
75054.93,7616480000000,75.05493,Antioch Unified,61648,3234,5,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,425,558,1,123,1213
9332589.41,7616480000000,9332.58941,Antioch Unified,61648,3234,5,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,425,558,1,123,1213
28388,7616480000000,28.388,Antioch Unified,61648,3234,5,Accounts Receivable,Accounts Receivable,9200,425,558,1,123,1213
2678159.49,7616480000000,2678.15949,Antioch Unified,61648,2687,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,280,437,1,40,1213
71828.55,7616480000000,71.82855,Antioch Unified,61648,2687,6,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,280,437,1,40,1213
409073.85,7616480000000,409.07385,Antioch Unified,61648,2687,6,Books and Other Reference Materials,Books and Other Reference Materials,4200,280,437,1,40,1213
75054.93,7616480000000,75.05493,Antioch Unified,61648,2687,6,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,280,437,1,40,1213
9332589.41,7616480000000,9332.58941,Antioch Unified,61648,2687,6,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,280,437,1,40,1213
28388,7616480000000,28.388,Antioch Unified,61648,2687,6,Accounts Receivable,Accounts Receivable,9200,280,437,1,40,1213
2678159.49,7616480000000,2678.15949,Antioch Unified,61648,2162,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,308,408,1,127,1213
71828.55,7616480000000,71.82855,Antioch Unified,61648,2162,7,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,308,408,1,127,1213
409073.85,7616480000000,409.07385,Antioch Unified,61648,2162,7,Books and Other Reference Materials,Books and Other Reference Materials,4200,308,408,1,127,1213
75054.93,7616480000000,75.05493,Antioch Unified,61648,2162,7,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,308,408,1,127,1213
9332589.41,7616480000000,9332.58941,Antioch Unified,61648,2162,7,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,308,408,1,127,1213
28388,7616480000000,28.388,Antioch Unified,61648,2162,7,Accounts Receivable,Accounts Receivable,9200,308,408,1,127,1213
2678159.49,7616480000000,2678.15949,Antioch Unified,61648,532,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,61,72,1,21,1213
71828.55,7616480000000,71.82855,Antioch Unified,61648,532,9,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,61,72,1,21,1213
409073.85,7616480000000,409.07385,Antioch Unified,61648,532,9,Books and Other Reference Materials,Books and Other Reference Materials,4200,61,72,1,21,1213
75054.93,7616480000000,75.05493,Antioch Unified,61648,532,9,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,61,72,1,21,1213
9332589.41,7616480000000,9332.58941,Antioch Unified,61648,532,9,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,61,72,1,21,1213
28388,7616480000000,28.388,Antioch Unified,61648,532,9,Accounts Receivable,Accounts Receivable,9200,61,72,1,21,1213
99167.34,7616970000000,99.16734,John Swett Unified,61697,53,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,16,17,1,8,1213
9049.94,7616970000000,9.04994,John Swett Unified,61697,53,2,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,16,17,1,8,1213
125542.28,7616970000000,125.54228,John Swett Unified,61697,53,2,Books and Other Reference Materials,Books and Other Reference Materials,4200,16,17,1,8,1213
68517.82,7616970000000,68.51782,John Swett Unified,61697,53,2,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,16,17,1,8,1213
2075.67,7616970000000,2.07567,John Swett Unified,61697,53,2,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,16,17,1,8,1213
99167.34,7616970000000,99.16734,John Swett Unified,61697,51,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,10,12,1,5,1213
9049.94,7616970000000,9.04994,John Swett Unified,61697,51,4,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,10,12,1,5,1213
125542.28,7616970000000,125.54228,John Swett Unified,61697,51,4,Books and Other Reference Materials,Books and Other Reference Materials,4200,10,12,1,5,1213
68517.82,7616970000000,68.51782,John Swett Unified,61697,51,4,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,10,12,1,5,1213
2075.67,7616970000000,2.07567,John Swett Unified,61697,51,4,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,10,12,1,5,1213
99167.34,7616970000000,99.16734,John Swett Unified,61697,170,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,29,35,1,5,1213
9049.94,7616970000000,9.04994,John Swett Unified,61697,170,5,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,29,35,1,5,1213
125542.28,7616970000000,125.54228,John Swett Unified,61697,170,5,Books and Other Reference Materials,Books and Other Reference Materials,4200,29,35,1,5,1213
68517.82,7616970000000,68.51782,John Swett Unified,61697,170,5,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,29,35,1,5,1213
2075.67,7616970000000,2.07567,John Swett Unified,61697,170,5,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,29,35,1,5,1213
99167.34,7616970000000,99.16734,John Swett Unified,61697,91,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,21,23,1,0,1213
9049.94,7616970000000,9.04994,John Swett Unified,61697,91,6,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,21,23,1,0,1213
125542.28,7616970000000,125.54228,John Swett Unified,61697,91,6,Books and Other Reference Materials,Books and Other Reference Materials,4200,21,23,1,0,1213
68517.82,7616970000000,68.51782,John Swett Unified,61697,91,6,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,21,23,1,0,1213
2075.67,7616970000000,2.07567,John Swett Unified,61697,91,6,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,21,23,1,0,1213
99167.34,7616970000000,99.16734,John Swett Unified,61697,131,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,34,41,1,4,1213
9049.94,7616970000000,9.04994,John Swett Unified,61697,131,7,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,34,41,1,4,1213
125542.28,7616970000000,125.54228,John Swett Unified,61697,131,7,Books and Other Reference Materials,Books and Other Reference Materials,4200,34,41,1,4,1213
68517.82,7616970000000,68.51782,John Swett Unified,61697,131,7,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,34,41,1,4,1213
2075.67,7616970000000,2.07567,John Swett Unified,61697,131,7,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,34,41,1,4,1213
99167.34,7616970000000,99.16734,John Swett Unified,61697,40,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,7,7,1,2,1213
9049.94,7616970000000,9.04994,John Swett Unified,61697,40,9,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,7,7,1,2,1213
125542.28,7616970000000,125.54228,John Swett Unified,61697,40,9,Books and Other Reference Materials,Books and Other Reference Materials,4200,7,7,1,2,1213
68517.82,7616970000000,68.51782,John Swett Unified,61697,40,9,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,7,7,1,2,1213
2075.67,7616970000000,2.07567,John Swett Unified,61697,40,9,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,7,7,1,2,1213
531508.53,7617210000000,531.50853,Liberty Union High,61721,4,0,Classified Instructional Salaries,Classified Instructional Salaries,2100,2,2,1,0,1213
32802.42,7617210000000,32.80242,Liberty Union High,61721,4,0,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,2,2,1,0,1213
2815466.79,7617210000000,2815.46679,Liberty Union High,61721,4,0,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,2,2,1,0,1213
6084,7617210000000,6.084,Liberty Union High,61721,4,0,Accounts Receivable,Accounts Receivable,9200,2,2,1,0,1213
531508.53,7617210000000,531.50853,Liberty Union High,61721,48,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,11,16,1,2,1213
32802.42,7617210000000,32.80242,Liberty Union High,61721,48,1,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,11,16,1,2,1213
2815466.79,7617210000000,2815.46679,Liberty Union High,61721,48,1,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,11,16,1,2,1213
6084,7617210000000,6.084,Liberty Union High,61721,48,1,Accounts Receivable,Accounts Receivable,9200,11,16,1,2,1213
531508.53,7617210000000,531.50853,Liberty Union High,61721,203,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,43,45,1,27,1213
32802.42,7617210000000,32.80242,Liberty Union High,61721,203,2,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,43,45,1,27,1213
2815466.79,7617210000000,2815.46679,Liberty Union High,61721,203,2,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,43,45,1,27,1213
6084,7617210000000,6.084,Liberty Union High,61721,203,2,Accounts Receivable,Accounts Receivable,9200,43,45,1,27,1213
531508.53,7617210000000,531.50853,Liberty Union High,61721,50,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,10,14,1,3,1213
32802.42,7617210000000,32.80242,Liberty Union High,61721,50,3,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,10,14,1,3,1213
2815466.79,7617210000000,2815.46679,Liberty Union High,61721,50,3,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,10,14,1,3,1213
6084,7617210000000,6.084,Liberty Union High,61721,50,3,Accounts Receivable,Accounts Receivable,9200,10,14,1,3,1213
531508.53,7617210000000,531.50853,Liberty Union High,61721,336,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,86,99,1,49,1213
32802.42,7617210000000,32.80242,Liberty Union High,61721,336,4,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,86,99,1,49,1213
2815466.79,7617210000000,2815.46679,Liberty Union High,61721,336,4,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,86,99,1,49,1213
6084,7617210000000,6.084,Liberty Union High,61721,336,4,Accounts Receivable,Accounts Receivable,9200,86,99,1,49,1213
531508.53,7617210000000,531.50853,Liberty Union High,61721,2521,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,515,641,1,144,1213
32802.42,7617210000000,32.80242,Liberty Union High,61721,2521,5,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,515,641,1,144,1213
2815466.79,7617210000000,2815.46679,Liberty Union High,61721,2521,5,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,515,641,1,144,1213
6084,7617210000000,6.084,Liberty Union High,61721,2521,5,Accounts Receivable,Accounts Receivable,9200,515,641,1,144,1213
531508.53,7617210000000,531.50853,Liberty Union High,61721,666,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,118,180,1,30,1213
32802.42,7617210000000,32.80242,Liberty Union High,61721,666,6,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,118,180,1,30,1213
2815466.79,7617210000000,2815.46679,Liberty Union High,61721,666,6,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,118,180,1,30,1213
6084,7617210000000,6.084,Liberty Union High,61721,666,6,Accounts Receivable,Accounts Receivable,9200,118,180,1,30,1213
531508.53,7617210000000,531.50853,Liberty Union High,61721,3617,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,878,1001,1,384,1213
32802.42,7617210000000,32.80242,Liberty Union High,61721,3617,7,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,878,1001,1,384,1213
2815466.79,7617210000000,2815.46679,Liberty Union High,61721,3617,7,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,878,1001,1,384,1213
6084,7617210000000,6.084,Liberty Union High,61721,3617,7,Accounts Receivable,Accounts Receivable,9200,878,1001,1,384,1213
531508.53,7617210000000,531.50853,Liberty Union High,61721,259,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,25,28,1,9,1213
32802.42,7617210000000,32.80242,Liberty Union High,61721,259,9,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,25,28,1,9,1213
2815466.79,7617210000000,2815.46679,Liberty Union High,61721,259,9,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,25,28,1,9,1213
6084,7617210000000,6.084,Liberty Union High,61721,259,9,Accounts Receivable,Accounts Receivable,9200,25,28,1,9,1213
555793.78,7617390000000,555.79378,Martinez Unified,61739,7,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,1,1,1,0,1213
1053.88,7617390000000,1.05388,Martinez Unified,61739,7,1,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,1,1,1,0,1213
125799.55,7617390000000,125.79955,Martinez Unified,61739,7,1,Books and Other Reference Materials,Books and Other Reference Materials,4200,1,1,1,0,1213
40879.83,7617390000000,40.87983,Martinez Unified,61739,7,1,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,1,1,1,0,1213
1559331.99,7617390000000,1559.33199,Martinez Unified,61739,7,1,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,1,1,1,0,1213
