Year,CDS_CODE,DISTRICT,District_Code,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,Function_Code,Function,Amount
1213,1100170000000,Alameda County Office of Education,10017,9,12,128,12,6,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,Alameda County Office of Education,10017,9,12,128,12,6,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1611190000000,Alameda Unified,61119,1,3,21,6,4,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,Alameda Unified,61119,1,3,21,6,4,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,Alameda Unified,61119,1,3,21,6,4,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611190000000,Alameda Unified,61119,2,325,1506,602,392,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,Alameda Unified,61119,2,325,1506,602,392,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,Alameda Unified,61119,2,325,1506,602,392,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611190000000,Alameda Unified,61119,3,7,69,10,4,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,Alameda Unified,61119,3,7,69,10,4,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,Alameda Unified,61119,3,7,69,10,4,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611190000000,Alameda Unified,61119,4,84,479,154,60,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,Alameda Unified,61119,4,84,479,154,60,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,Alameda Unified,61119,4,84,479,154,60,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611190000000,Alameda Unified,61119,5,144,952,224,84,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,Alameda Unified,61119,5,144,952,224,84,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,Alameda Unified,61119,5,144,952,224,84,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611190000000,Alameda Unified,61119,6,114,862,164,30,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,Alameda Unified,61119,6,114,862,164,30,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,Alameda Unified,61119,6,114,862,164,30,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611190000000,Alameda Unified,61119,7,264,1480,478,270,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,Alameda Unified,61119,7,264,1480,478,270,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,Alameda Unified,61119,7,264,1480,478,270,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611190000000,Alameda Unified,61119,9,11,223,16,8,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,Alameda Unified,61119,9,11,223,16,8,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,Alameda Unified,61119,9,11,223,16,8,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611270000000,Albany City Unified,61127,2,108,388,214,114,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1058343.9699999995
1213,1611270000000,Albany City Unified,61127,2,108,388,214,114,2200,Classified Support Salaries                                                                                                                                                                                                                               ,408753.7
1213,1611270000000,Albany City Unified,61127,2,108,388,214,114,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,15571.05
1213,1611270000000,Albany City Unified,61127,2,108,388,214,114,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,328938.8500000001
1213,1611270000000,Albany City Unified,61127,2,108,388,214,114,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,1161577.9799999995
1213,1611270000000,Albany City Unified,61127,2,108,388,214,114,9200,Accounts Receivable                                                                                                                                                                                                                                       ,18015623.83
1213,1611270000000,Albany City Unified,61127,3,1,3,1,0,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1058343.9699999995
1213,1611270000000,Albany City Unified,61127,3,1,3,1,0,2200,Classified Support Salaries                                                                                                                                                                                                                               ,408753.7
1213,1611270000000,Albany City Unified,61127,3,1,3,1,0,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,15571.05
1213,1611270000000,Albany City Unified,61127,3,1,3,1,0,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,328938.8500000001
1213,1611270000000,Albany City Unified,61127,3,1,3,1,0,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,1161577.9799999995
1213,1611270000000,Albany City Unified,61127,3,1,3,1,0,9200,Accounts Receivable                                                                                                                                                                                                                                       ,18015623.83
1213,1611270000000,Albany City Unified,61127,4,3,15,6,2,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1058343.9699999995
1213,1611270000000,Albany City Unified,61127,4,3,15,6,2,2200,Classified Support Salaries                                                                                                                                                                                                                               ,408753.7
1213,1611270000000,Albany City Unified,61127,4,3,15,6,2,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,15571.05
1213,1611270000000,Albany City Unified,61127,4,3,15,6,2,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,328938.8500000001
1213,1611270000000,Albany City Unified,61127,4,3,15,6,2,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,1161577.9799999995
1213,1611270000000,Albany City Unified,61127,4,3,15,6,2,9200,Accounts Receivable                                                                                                                                                                                                                                       ,18015623.83
1213,1611270000000,Albany City Unified,61127,5,47,218,92,14,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1058343.9699999995
1213,1611270000000,Albany City Unified,61127,5,47,218,92,14,2200,Classified Support Salaries                                                                                                                                                                                                                               ,408753.7
1213,1611270000000,Albany City Unified,61127,5,47,218,92,14,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,15571.05
1213,1611270000000,Albany City Unified,61127,5,47,218,92,14,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,328938.8500000001
1213,1611270000000,Albany City Unified,61127,5,47,218,92,14,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,1161577.9799999995
1213,1611270000000,Albany City Unified,61127,5,47,218,92,14,9200,Accounts Receivable                                                                                                                                                                                                                                       ,18015623.83
1213,1611270000000,Albany City Unified,61127,6,22,78,38,12,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1058343.9699999995
1213,1611270000000,Albany City Unified,61127,6,22,78,38,12,2200,Classified Support Salaries                                                                                                                                                                                                                               ,408753.7
1213,1611270000000,Albany City Unified,61127,6,22,78,38,12,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,15571.05
1213,1611270000000,Albany City Unified,61127,6,22,78,38,12,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,328938.8500000001
1213,1611270000000,Albany City Unified,61127,6,22,78,38,12,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,1161577.9799999995
1213,1611270000000,Albany City Unified,61127,6,22,78,38,12,9200,Accounts Receivable                                                                                                                                                                                                                                       ,18015623.83
1213,1611270000000,Albany City Unified,61127,7,96,389,196,74,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1058343.9699999995
1213,1611270000000,Albany City Unified,61127,7,96,389,196,74,2200,Classified Support Salaries                                                                                                                                                                                                                               ,408753.7
1213,1611270000000,Albany City Unified,61127,7,96,389,196,74,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,15571.05
1213,1611270000000,Albany City Unified,61127,7,96,389,196,74,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,328938.8500000001
1213,1611270000000,Albany City Unified,61127,7,96,389,196,74,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,1161577.9799999995
1213,1611270000000,Albany City Unified,61127,7,96,389,196,74,9200,Accounts Receivable                                                                                                                                                                                                                                       ,18015623.83
1213,1611270000000,Albany City Unified,61127,9,29,116,58,26,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1058343.9699999995
1213,1611270000000,Albany City Unified,61127,9,29,116,58,26,2200,Classified Support Salaries                                                                                                                                                                                                                               ,408753.7
1213,1611270000000,Albany City Unified,61127,9,29,116,58,26,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,15571.05
1213,1611270000000,Albany City Unified,61127,9,29,116,58,26,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,328938.8500000001
1213,1611270000000,Albany City Unified,61127,9,29,116,58,26,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,1161577.9799999995
1213,1611270000000,Albany City Unified,61127,9,29,116,58,26,9200,Accounts Receivable                                                                                                                                                                                                                                       ,18015623.83
1213,1611430000000,Berkeley Unified,61143,2,87,294,164,82,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,7177684.690000005
1213,1611430000000,Berkeley Unified,61143,2,87,294,164,82,9200,Accounts Receivable                                                                                                                                                                                                                                       ,21053.0
1213,1611430000000,Berkeley Unified,61143,4,6,24,16,2,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,7177684.690000005
1213,1611430000000,Berkeley Unified,61143,4,6,24,16,2,9200,Accounts Receivable                                                                                                                                                                                                                                       ,21053.0
1213,1611430000000,Berkeley Unified,61143,5,178,948,322,114,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,7177684.690000005
1213,1611430000000,Berkeley Unified,61143,5,178,948,322,114,9200,Accounts Receivable                                                                                                                                                                                                                                       ,21053.0
1213,1611430000000,Berkeley Unified,61143,6,227,845,380,70,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,7177684.690000005
1213,1611430000000,Berkeley Unified,61143,6,227,845,380,70,9200,Accounts Receivable                                                                                                                                                                                                                                       ,21053.0
1213,1611430000000,Berkeley Unified,61143,7,296,1212,572,426,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,7177684.690000005
1213,1611430000000,Berkeley Unified,61143,7,296,1212,572,426,9200,Accounts Receivable                                                                                                                                                                                                                                       ,21053.0
1213,1611430000000,Berkeley Unified,61143,9,72,320,118,72,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,7177684.690000005
1213,1611430000000,Berkeley Unified,61143,9,72,320,118,72,9200,Accounts Receivable                                                                                                                                                                                                                                       ,21053.0
1213,1611500000000,Castro Valley Unified,61150,0,7,23,6,4,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3253638.929999999
1213,1611500000000,Castro Valley Unified,61150,0,7,23,6,4,2200,Classified Support Salaries                                                                                                                                                                                                                               ,164034.67
1213,1611500000000,Castro Valley Unified,61150,0,7,23,6,4,9200,Accounts Receivable                                                                                                                                                                                                                                       ,29115614.36
1213,1611500000000,Castro Valley Unified,61150,1,2,9,4,2,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3253638.929999999
1213,1611500000000,Castro Valley Unified,61150,1,2,9,4,2,2200,Classified Support Salaries                                                                                                                                                                                                                               ,164034.67
1213,1611500000000,Castro Valley Unified,61150,1,2,9,4,2,9200,Accounts Receivable                                                                                                                                                                                                                                       ,29115614.36
1213,1611500000000,Castro Valley Unified,61150,2,171,727,334,264,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3253638.929999999
1213,1611500000000,Castro Valley Unified,61150,2,171,727,334,264,2200,Classified Support Salaries                                                                                                                                                                                                                               ,164034.67
1213,1611500000000,Castro Valley Unified,61150,2,171,727,334,264,9200,Accounts Receivable                                                                                                                                                                                                                                       ,29115614.36
1213,1611500000000,Castro Valley Unified,61150,3,4,18,6,4,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3253638.929999999
1213,1611500000000,Castro Valley Unified,61150,3,4,18,6,4,2200,Classified Support Salaries                                                                                                                                                                                                                               ,164034.67
1213,1611500000000,Castro Valley Unified,61150,3,4,18,6,4,9200,Accounts Receivable                                                                                                                                                                                                                                       ,29115614.36
