CDS_CODE,ETHNIC,ENR_TOTAL,GRADS,UC_GRADS
1100170000000,1,24,5,3
1100170000000,2,430,32,4
1100170000000,3,32,4,2
1100170000000,4,42,5,3
1100170000000,5,876,148,68
1100170000000,6,591,85,42
1100170000000,7,715,45,4
1100170000000,9,160,9,3
1316170000000,2,26,1,0
1316170000000,3,2,1,0
1316170000000,4,22,4,0
1316170000000,5,186,14,0
1316170000000,6,41,5,0
1316170000000,7,116,12,0
1611190000000,0,11,1,1
1611190000000,1,23,1,0
1611190000000,2,1474,284,203
1611190000000,3,58,8,2
1611190000000,4,465,63,31
1611190000000,5,1091,173,46
1611190000000,6,752,75,23
1611190000000,7,1566,191,106
1611190000000,9,360,38,15
1611270000000,2,359,88,69
1611270000000,3,3,1,0
1611270000000,4,20,6,3
1611270000000,5,215,48,20
1611270000000,6,60,12,4
1611270000000,7,442,86,51
1611270000000,9,119,28,11
1611430000000,1,6,2,2
1611430000000,2,274,58,37
1611430000000,3,11,2,0
1611430000000,4,37,9,6
1611430000000,5,1128,177,97
1611430000000,6,822,194,69
1611430000000,7,1313,313,262
1611430000000,9,364,66,42
1611500000000,0,16,4,2
1611500000000,1,11,2,1
1611500000000,2,766,186,142
1611500000000,3,21,5,1
1611500000000,4,136,22,13
1611500000000,5,718,152,57
1611500000000,6,253,55,16
1611500000000,7,971,220,123
1611500000000,9,261,68,42
1611680000000,2,24,5,3
1611680000000,5,34,7,4
1611680000000,6,118,21,3
1611680000000,7,13,3,0
1611760000000,1,38,9,2
1611760000000,2,5355,1274,1061
1611760000000,3,68,17,9
1611760000000,4,686,162,99
1611760000000,5,1610,343,120
1611760000000,6,383,79,28
1611760000000,7,1893,439,226
1611760000000,9,171,32,21
1611920000000,0,75,1,1
1611920000000,1,29,6,2
1611920000000,2,673,125,93
1611920000000,3,245,49,22
1611920000000,4,630,128,80
1611920000000,5,4176,717,328
1611920000000,6,919,190,67
1611920000000,7,572,68,33
1611920000000,9,148,15,7
1612000000000,0,31,3,1
1612000000000,1,12,3,3
1612000000000,2,314,52,34
1612000000000,3,18,1,0
1612000000000,4,151,34,14
1612000000000,5,1348,257,84
1612000000000,6,78,12,5
1612000000000,7,2835,504,267
1612000000000,9,381,57,33
1612340000000,1,6,1,1
1612340000000,2,239,67,16
1612340000000,3,47,13,2
1612340000000,4,202,50,9
1612340000000,5,986,208,28
1612340000000,6,136,37,2
1612340000000,7,311,82,11
1612340000000,9,52,5,1
1612420000000,1,8,2,2
1612420000000,2,866,212,143
1612420000000,3,152,39,20
1612420000000,4,901,219,142
1612420000000,5,1504,293,115
1612420000000,6,341,65,35
1612420000000,7,275,67,35
1612420000000,9,170,29,16
1612590000000,0,505,21,14
1612590000000,1,75,7,2
1612590000000,2,2743,382,254
1612590000000,3,290,28,12
1612590000000,4,227,21,10
1612590000000,5,12931,913,565
1612590000000,6,6722,625,231
1612590000000,7,1452,182,143
1612590000000,9,413,40,32
1612600000000,2,3496,1,0
1612600000000,4,220,1,0
1612600000000,5,8108,6,0
1612600000000,6,6117,10,2
1612750000000,1,1,1,1
1612750000000,2,139,40,39
1612750000000,4,15,2,2
1612750000000,5,32,9,8
1612750000000,6,26,7,5
1612750000000,7,608,164,150
1612750000000,9,46,4,2
1612910000000,2,395,110,75
1612910000000,3,49,7,2
