CDS_CODE,ETHNIC,ENR_TOTAL,GRADS,UC_GRADS
1100170000000,0,35,2,0
1100170000000,1,24,1,1
1100170000000,2,369,13,5
1100170000000,3,44,1,0
1100170000000,4,54,6,3
1100170000000,5,916,98,44
1100170000000,6,707,67,33
1100170000000,7,898,50,10
1100170000000,9,128,5,1
1316170000000,2,26,5,0
1316170000000,5,179,15,0
1316170000000,6,35,3,0
1316170000000,7,137,12,0
1316170000000,9,10,1,0
1611190000000,1,21,1,0
1611190000000,2,1506,301,208
1611190000000,3,69,12,1
1611190000000,4,479,85,31
1611190000000,5,952,118,52
1611190000000,6,862,74,21
1611190000000,7,1480,203,112
1611190000000,9,223,12,6
1611270000000,1,4,1,0
1611270000000,2,388,95,50
1611270000000,3,3,1,0
1611270000000,4,15,2,0
1611270000000,5,218,50,12
1611270000000,6,78,17,6
1611270000000,7,389,86,34
1611270000000,9,116,29,5
1611430000000,0,62,1,0
1611430000000,1,11,3,1
1611430000000,2,294,75,46
1611430000000,3,8,1,0
1611430000000,4,24,4,3
1611430000000,5,948,145,55
1611430000000,6,845,170,38
1611430000000,7,1212,280,203
1611430000000,9,320,81,54
1611500000000,0,23,5,1
1611500000000,1,9,2,0
1611500000000,2,727,188,152
1611500000000,3,18,4,1
1611500000000,4,88,28,15
1611500000000,5,736,189,62
1611500000000,6,241,59,24
1611500000000,7,1001,246,125
1611500000000,9,305,68,38
1611680000000,2,23,7,0
1611680000000,5,49,14,0
1611680000000,6,139,23,2
1611680000000,7,12,3,0
1611760000000,0,5,1,1
1611760000000,1,50,11,5
1611760000000,2,5121,1234,1037
1611760000000,3,75,10,5
1611760000000,4,646,169,96
1611760000000,5,1609,351,113
1611760000000,6,457,88,35
1611760000000,7,2090,512,265
1611760000000,9,196,32,19
1611920000000,1,41,9,3
1611920000000,2,623,117,72
1611920000000,3,288,75,33
1611920000000,4,587,127,71
1611920000000,5,3605,615,266
1611920000000,6,1042,159,55
1611920000000,7,585,95,48
1611920000000,9,165,18,10
1612000000000,0,6,2,2
1612000000000,1,21,4,2
1612000000000,2,215,50,35
1612000000000,3,13,2,0
1612000000000,4,120,29,20
1612000000000,5,1052,199,64
1612000000000,6,71,17,7
1612000000000,7,2390,584,319
1612000000000,9,283,80,44
1612340000000,2,241,49,23
1612340000000,3,47,9,5
1612340000000,4,211,57,27
1612340000000,5,984,196,42
1612340000000,6,157,38,9
1612340000000,7,396,82,29
1612340000000,9,69,15,4
1612420000000,1,5,2,0
1612420000000,2,904,238,174
1612420000000,3,169,45,22
1612420000000,4,912,228,161
1612420000000,5,1476,274,97
1612420000000,6,409,89,47
1612420000000,7,355,55,32
1612420000000,9,129,20,11
1612590000000,0,271,25,16
1612590000000,1,78,11,4
1612590000000,2,2720,391,256
1612590000000,3,263,34,8
1612590000000,4,162,20,10
1612590000000,5,11631,828,445
1612590000000,6,6953,671,182
1612590000000,7,1191,177,143
1612590000000,9,335,25,16
1612600000000,2,3579,1,0
1612600000000,5,7833,7,0
1612600000000,6,6553,7,0
1612600000000,7,3106,2,0
1612750000000,1,1,1,1
1612750000000,2,147,40,39
1612750000000,3,1,1,1
1612750000000,4,13,4,2
1612750000000,5,28,7,5
1612750000000,6,22,6,5
1612750000000,7,583,127,107
1612750000000,9,21,5,5
1612910000000,1,12,2,0
1612910000000,2,414,112,74
1612910000000,3,45,9,3
1612910000000,4,256,59,32
1612910000000,5,1194,242,69
1612910000000,6,564,132,33
1612910000000,7,298,72,24
1612910000000,9,36,10,4
1613090000000,0,13,2,1
1613090000000,1,18,4,2
1613090000000,2,705,173,125
1613090000000,3,76,11,4
1613090000000,4,355,82,48
1613090000000,5,2215,412,146
1613090000000,6,656,124,30
1613090000000,7,544,119,35
1613090000000,9,41,9,8
1750930000000,1,15,2,2
1750930000000,2,1645,111,95
1750930000000,3,21,3,2
1750930000000,4,349,26,22
1750930000000,5,501,65,32
1750930000000,6,267,33,18
1750930000000,7,1354,196,121
1750930000000,9,63,3,2
1751010000000,1,41,14,8
1751010000000,2,1389,333,260
1751010000000,3,25,4,2
1751010000000,4,132,30,18
1751010000000,5,465,98,41
1751010000000,6,109,15,6
1751010000000,7,2763,704,451
1751010000000,9,96,30,19
1766530000000,2,30,9,9
1766530000000,4,9,2,2
1766530000000,5,79,21,21
1766530000000,7,185,41,41
1766530000000,9,14,5,5
2100250000000,1,2,1,0
2613330000000,1,2,1,0
3100330000000,5,72,2,0
3100330000000,7,190,6,0
3739810000000,0,28,10,5
3739810000000,1,39,9,1
3739810000000,2,7,5,3
3739810000000,3,3,1,0
3739810000000,4,11,1,0
3739810000000,5,215,47,9
3739810000000,6,6,3,1
3739810000000,7,990,225,62
3739810000000,9,57,14,3
4100410000000,0,6,2,0
4100410000000,1,55,4,0
4100410000000,2,15,2,2
4100410000000,4,2,2,0
4100410000000,5,217,33,2
4100410000000,6,11,1,0
4100410000000,7,669,93,18
4100410000000,9,28,3,0
4614080000000,1,4,2,0
4614080000000,5,66,25,5
4614080000000,7,90,19,2
4614240000000,0,23,11,4
4614240000000,1,86,13,2
4614240000000,2,295,74,41
4614240000000,3,16,3,1
4614240000000,4,34,3,3
4614240000000,5,945,195,61
4614240000000,6,156,35,6
4614240000000,7,3428,694,314
4614240000000,9,72,7,2
4614320000000,1,4,4,0
4614320000000,5,76,17,5
4614320000000,7,237,57,30
4614400000000,1,20,2,0
4614400000000,5,11,1,0
4614400000000,7,11,2,0
4614570000000,5,6,1,0
4614570000000,7,38,10,0
4615150000000,1,86,17,1
4615150000000,2,435,111,46
4615150000000,4,3,1,0
4615150000000,5,510,99,12
4615150000000,6,50,8,0
4615150000000,7,1136,237,27
4615150000000,9,228,37,4
4615310000000,1,20,5,0
4615310000000,2,10,3,2
4615310000000,4,10,1,0
4615310000000,5,150,28,6
4615310000000,6,15,1,0
4615310000000,7,1205,239,65
4615310000000,9,84,16,3
4615320000000,5,349,2,0
4615320000000,7,2130,15,0
4615320000000,9,228,5,0
4755070000000,0,40,2,0
4755070000000,2,22,4,1
4755070000000,4,1,1,1
4755070000000,5,382,82,27
4755070000000,6,5,1,1
4755070000000,7,259,63,15
5100580000000,1,10,1,0
5100580000000,2,2,1,0
5100580000000,3,3,1,0
5100580000000,5,70,9,0
5100580000000,7,370,57,0
5100580000000,9,37,5,0
5100590000000,5,15,1,0
5100590000000,7,74,4,0
5615560000000,1,14,3,1
5615560000000,2,8,1,0
5615560000000,5,117,30,11
5615560000000,7,560,124,55
5615560000000,9,50,10,5
5615640000000,1,20,3,0
5615640000000,2,9,1,0
5615640000000,4,9,4,1
5615640000000,5,140,29,11
5615640000000,6,19,5,1
5615640000000,7,926,207,66
5615640000000,9,10,2,0
6615980000000,1,11,1,0
6615980000000,5,265,37,2
6615980000000,6,6,2,0
6615980000000,7,165,40,4
6616060000000,1,3,1,0
6616060000000,5,51,12,2
6616060000000,7,58,14,3
6616140000000,3,3,1,0
6616140000000,5,273,61,19
6616140000000,7,96,18,4
6616220000000,1,6,1,0
