CDS_CODE,ETHNIC,ENR_TOTAL,GRADS,UC_GRADS
1100170000000,1,16,2,1
1100170000000,2,201,6,1
1100170000000,3,8,2,0
1100170000000,4,19,1,0
1100170000000,5,627,113,40
1100170000000,6,418,83,35
1100170000000,7,187,9,1
1100170000000,9,178,5,3
1316170000000,2,27,2,0
1316170000000,4,17,1,0
1316170000000,5,190,18,0
1316170000000,6,34,3,0
1316170000000,7,105,12,0
1316170000000,9,17,1,0
1611190000000,1,23,1,1
1611190000000,2,1460,264,165
1611190000000,3,62,9,2
1611190000000,4,461,58,35
1611190000000,5,1079,117,54
1611190000000,6,700,75,24
1611190000000,7,1671,204,114
1611190000000,9,388,28,16
1611270000000,2,348,90,61
1611270000000,3,4,1,1
1611270000000,4,22,4,2
1611270000000,5,209,47,21
1611270000000,6,64,19,5
1611270000000,7,452,104,75
1611270000000,9,127,27,17
1611430000000,0,14,2,1
1611430000000,1,11,2,0
1611430000000,2,284,71,47
1611430000000,3,9,4,2
1611430000000,4,32,6,6
1611430000000,5,1090,218,140
1611430000000,6,756,173,61
1611430000000,7,1291,291,249
1611430000000,9,383,71,54
1611500000000,0,15,3,1
1611500000000,1,11,2,0
1611500000000,2,774,187,138
1611500000000,3,14,5,1
1611500000000,4,145,37,26
1611500000000,5,729,160,52
1611500000000,6,246,65,33
1611500000000,7,918,233,124
1611500000000,9,253,57,26
1611680000000,2,20,6,2
1611680000000,3,2,1,0
1611680000000,5,31,8,2
1611680000000,6,105,29,7
1611680000000,7,11,2,1
1611760000000,1,31,10,2
1611760000000,2,5521,1277,1062
1611760000000,3,74,15,8
1611760000000,4,711,165,100
1611760000000,5,1583,341,114
1611760000000,6,351,84,26
1611760000000,7,1770,425,229
1611760000000,9,198,34,15
1611920000000,0,103,5,3
1611920000000,1,23,3,0
1611920000000,2,655,128,99
1611920000000,3,250,51,23
1611920000000,4,658,139,88
1611920000000,5,4418,717,320
1611920000000,6,850,145,52
1611920000000,7,678,70,32
1611920000000,9,168,16,11
1612000000000,0,92,4,3
1612000000000,1,13,3,2
1612000000000,2,386,68,53
1612000000000,3,22,5,1
1612000000000,4,167,36,24
1612000000000,5,1447,259,101
1612000000000,6,86,14,3
1612000000000,7,3008,584,364
1612000000000,9,413,70,45
1612340000000,1,7,3,0
1612340000000,2,232,70,35
1612340000000,3,36,8,1
1612340000000,4,193,47,26
1612340000000,5,954,236,53
1612340000000,6,102,29,5
1612340000000,7,307,85,30
1612340000000,9,56,10,4
1612420000000,1,10,1,0
1612420000000,2,860,213,146
1612420000000,3,133,29,19
1612420000000,4,874,215,143
1612420000000,5,1483,295,109
1612420000000,6,323,73,29
1612420000000,7,254,55,27
1612420000000,9,188,34,22
1612590000000,0,538,29,15
1612590000000,1,73,3,2
1612590000000,2,2797,348,251
1612590000000,3,265,19,7
1612590000000,4,233,27,20
1612590000000,5,13462,992,693
1612590000000,6,6904,570,228
1612590000000,7,1554,199,154
1612590000000,9,539,35,25
1612600000000,0,307,2,0
1612600000000,2,3485,2,0
1612600000000,4,226,1,0
1612600000000,5,8386,12,0
1612600000000,6,5747,12,0
1612600000000,7,3186,2,0
1612750000000,2,136,29,28
1612750000000,4,15,5,4
1612750000000,5,40,6,5
1612750000000,6,33,10,7
1612750000000,7,597,156,136
1612750000000,9,60,3,3
1612910000000,0,5,1,0
1612910000000,1,7,3,1
1612910000000,2,405,77,41
1612910000000,3,45,11,3
1612910000000,4,230,59,27
1612910000000,5,1239,291,85
1612910000000,6,497,103,26
1612910000000,7,248,57,19
1612910000000,9,69,18,6
1613090000000,1,16,5,2
1613090000000,2,726,146,104
1613090000000,3,51,7,3
1613090000000,4,341,74,41
1613090000000,5,2347,456,177
1613090000000,6,568,101,32
1613090000000,7,432,86,32
1613090000000,9,56,12,5
1750930000000,1,12,2,1
1750930000000,2,3156,131,121
1750930000000,3,17,3,2
1750930000000,4,417,54,36
1750930000000,5,586,95,43
1750930000000,6,236,35,15
1750930000000,7,1302,162,112
1750930000000,9,451,32,21
1751010000000,1,11,2,2
1751010000000,2,1569,347,327
1751010000000,3,14,5,4
1751010000000,4,137,31,27
1751010000000,5,479,115,90
1751010000000,6,108,32,26
1751010000000,7,2409,589,525
1751010000000,9,134,27,22
2100250000000,1,5,6,0
3100330000000,1,11,2,0
3100330000000,7,142,4,0
3100330000000,9,15,1,0
3739810000000,0,23,5,2
3739810000000,1,37,11,2
3739810000000,2,11,1,0
3739810000000,4,8,1,0
3739810000000,5,244,42,4
3739810000000,7,867,198,62
3739810000000,9,71,10,3
4100410000000,1,23,1,1
4100410000000,5,225,30,3
4100410000000,6,17,3,0
4100410000000,7,694,82,13
4100410000000,9,71,10,2
4614080000000,1,1,1,0
4614080000000,2,6,1,1
4614080000000,5,62,11,2
4614080000000,7,96,25,5
4614080000000,9,7,2,1
4614240000000,0,71,7,3
4614240000000,1,82,15,2
4614240000000,2,266,78,34
4614240000000,3,32,5,0
4614240000000,4,29,10,8
4614240000000,5,1057,207,60
4614240000000,6,137,24,5
4614240000000,7,3239,651,301
4614240000000,9,147,21,4
4614320000000,5,55,17,4
4614320000000,6,3,1,1
4614320000000,7,218,48,21
4614400000000,1,13,4,0
4614400000000,2,1,1,0
4614400000000,5,10,1,0
4614400000000,7,26,5,0
4614570000000,0,2,1,0
4614570000000,5,15,8,0
4614570000000,7,43,10,0
4615150000000,1,156,25,2
4615150000000,2,335,91,44
4615150000000,3,7,2,0
4615150000000,4,11,4,1
4615150000000,5,437,93,11
4615150000000,6,63,7,0
4615150000000,7,1081,188,31
4615150000000,9,133,50,4
4615310000000,1,18,1,0
4615310000000,4,9,2,0
4615310000000,5,170,32,5
4615310000000,6,12,2,0
4615310000000,7,1149,232,49
4615310000000,9,114,22,3
4615320000000,5,400,2,0
4615320000000,7,2116,18,0
4615320000000,9,200,2,0
4755070000000,0,5,2,0
4755070000000,1,4,1,0
4755070000000,2,16,3,2
4755070000000,4,1,1,0
4755070000000,5,377,98,20
4755070000000,7,241,62,13
5100580000000,1,6,2,0
5100580000000,5,78,15,0
5100580000000,7,366,56,0
5100580000000,9,59,4,0
5100590000000,5,12,3,0
5100590000000,7,34,1,0
5615560000000,1,16,7,0
5615560000000,3,1,1,0
5615560000000,4,5,1,0
5615560000000,5,151,33,0
5615560000000,6,1,1,0
5615560000000,7,494,115,0
5615560000000,9,43,12,0
5615640000000,1,22,2,1
5615640000000,2,12,2,2
5615640000000,4,6,1,0
5615640000000,5,138,36,10
5615640000000,6,12,3,1
5615640000000,7,804,210,59
5615640000000,9,26,5,1
6100660000000,5,7,2,0
6615980000000,1,14,1,0
6615980000000,2,4,1,1
6615980000000,3,1,1,0
6615980000000,5,273,61,13
6615980000000,7,153,34,11
6616060000000,1,8,1,0
6616060000000,5,88,16,1
6616060000000,7,76,11,4
6616140000000,1,1,1,1
6616140000000,3,1,1,0
6616140000000,5,332,86,22
6616140000000,6,8,2,0
6616140000000,7,110,26,10
6616220000000,2,11,3,2
6616220000000,3,2,1,1
6616220000000,5,821,77,26
6616220000000,7,40,6,2
7100740000000,0,52,3,0
7100740000000,1,15,2,0
7100740000000,2,206,37,25
7100740000000,3,26,2,2
7100740000000,4,127,32,23
7100740000000,5,1783,178,113
7100740000000,6,412,51,15
7100740000000,7,1283,254,162
7100740000000,9,181,11,6
7616300000000,0,51,11,7
7616300000000,1,9,1,0
7616300000000,2,688,138,112
7616300000000,3,19,4,3
7616300000000,4,120,28,21
7616300000000,5,487,108,62
7616300000000,6,87,15,8
7616300000000,7,3694,882,692
7616300000000,9,391,106,82
7616480000000,0,1,1,0
7616480000000,1,64,12,4
7616480000000,2,509,61,33
7616480000000,3,88,16,1
7616480000000,4,496,85,40
7616480000000,5,3366,450,102
7616480000000,6,2579,341,67
7616480000000,7,1638,258,95
7616480000000,9,457,56,27
7616630000000,2,24,1,1
7616630000000,3,2,1,0
7616630000000,5,161,18,0
7616630000000,7,335,14,4
7616630000000,9,18,1,0
7616970000000,2,72,16,6
7616970000000,3,5,1,0
7616970000000,4,65,12,4
7616970000000,5,189,45,5
7616970000000,6,112,26,3
7616970000000,7,117,21,4
7616970000000,9,49,11,0
7617210000000,0,14,1,0
7617210000000,1,38,10,3
7617210000000,2,283,54,40
7617210000000,3,54,12,7
7617210000000,4,434,106,67
7617210000000,5,2759,607,237
7617210000000,6,743,150,57
7617210000000,7,3533,798,405
7617210000000,9,327,96,54
7617390000000,0,14,1,1
7617390000000,1,4,1,0
7617390000000,2,52,11,10
7617390000000,3,5,1,0
7617390000000,4,44,12,10
7617390000000,5,367,80,25
7617390000000,6,44,5,1
7617390000000,7,677,149,74
7617390000000,9,121,30,14
7617540000000,0,123,9,3
7617540000000,1,37,7,2
7617540000000,2,750,163,88
7617540000000,3,96,22,3
