CDS_CODE,DISTRICT,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS
1612750000000,Piedmont City Unified,1,1,2,2,2
1612750000000,Piedmont City Unified,2,40,150,80,78
1612750000000,Piedmont City Unified,3,1,1,1,1
1612750000000,Piedmont City Unified,4,4,15,8,4
1612750000000,Piedmont City Unified,5,7,29,14,10
1612750000000,Piedmont City Unified,6,6,27,12,10
1612750000000,Piedmont City Unified,7,128,595,254,214
1612750000000,Piedmont City Unified,9,5,25,10,10
1612910000000,San Leandro Unified,1,2,6,4,0
1612910000000,San Leandro Unified,2,124,389,224,148
1612910000000,San Leandro Unified,3,14,44,18,6
1612910000000,San Leandro Unified,4,72,247,118,64
1612910000000,San Leandro Unified,5,312,1242,484,138
1612910000000,San Leandro Unified,6,147,507,264,66
1612910000000,San Leandro Unified,7,88,287,144,48
1612910000000,San Leandro Unified,9,13,47,20,8
1613090000000,San Lorenzo Unified,0,3,117,4,2
1613090000000,San Lorenzo Unified,1,4,14,8,4
1613090000000,San Lorenzo Unified,2,185,674,346,250
1613090000000,San Lorenzo Unified,3,15,60,22,8
1613090000000,San Lorenzo Unified,4,89,343,164,96
1613090000000,San Lorenzo Unified,5,478,2245,824,292
1613090000000,San Lorenzo Unified,6,149,620,248,60
1613090000000,San Lorenzo Unified,7,127,472,238,70
1613090000000,San Lorenzo Unified,9,9,57,18,16
1750930000000,Dublin Unified,1,2,15,4,4
1750930000000,Dublin Unified,2,113,2139,222,190
1750930000000,Dublin Unified,3,3,25,6,4
1750930000000,Dublin Unified,4,29,373,52,44
1750930000000,Dublin Unified,5,74,553,130,64
1750930000000,Dublin Unified,6,38,279,66,36
1750930000000,Dublin Unified,7,203,1398,392,242
1750930000000,Dublin Unified,9,3,93,6,4
1751010000000,Pleasanton Unified,1,14,32,28,16
1751010000000,Pleasanton Unified,2,337,1444,666,520
1751010000000,Pleasanton Unified,3,6,19,8,4
1751010000000,Pleasanton Unified,4,32,132,60,36
1751010000000,Pleasanton Unified,5,120,478,196,82
1751010000000,Pleasanton Unified,6,19,107,30,12
1751010000000,Pleasanton Unified,7,741,2626,1408,902
1751010000000,Pleasanton Unified,9,33,114,60,38
1766530000000,SBE - Livermore Valley Charter Preparatory High,2,9,50,18,18
1766530000000,SBE - Livermore Valley Charter Preparatory High,4,1,10,4,4
1766530000000,SBE - Livermore Valley Charter Preparatory High,5,22,89,42,42
1766530000000,SBE - Livermore Valley Charter Preparatory High,7,42,243,82,82
1766530000000,SBE - Livermore Valley Charter Preparatory High,9,6,31,10,10
2100250000000,Alpine County Office of Education,1,1,6,2,0
2613330000000,Alpine County Unified,1,1,1,1,0
3100330000000,Amador County Office of Education,5,3,108,4,0
3100330000000,Amador County Office of Education,7,17,283,12,0
3739810000000,Amador County Unified,0,10,29,20,10
3739810000000,Amador County Unified,1,12,38,18,2
3739810000000,Amador County Unified,2,5,15,10,6
3739810000000,Amador County Unified,3,1,3,2,0
3739810000000,Amador County Unified,4,2,9,2,0
3739810000000,Amador County Unified,5,55,214,94,18
3739810000000,Amador County Unified,6,2,5,6,2
3739810000000,Amador County Unified,7,250,941,450,124
3739810000000,Amador County Unified,9,18,60,28,6
4100410000000,Butte County Office of Education,0,2,3,4,0
4100410000000,Butte County Office of Education,1,7,36,8,0
4100410000000,Butte County Office of Education,2,1,12,4,4
4100410000000,Butte County Office of Education,4,1,3,4,0
4100410000000,Butte County Office of Education,5,37,238,66,4
4100410000000,Butte County Office of Education,6,3,18,2,0
4100410000000,Butte County Office of Education,7,117,725,186,36
4100410000000,Butte County Office of Education,9,5,27,6,0
4614080000000,Biggs Unified,1,2,3,2,0
4614080000000,Biggs Unified,5,26,64,50,10
4614080000000,Biggs Unified,7,21,78,38,4
4614240000000,Chico Unified,0,14,38,22,8
4614240000000,Chico Unified,1,18,89,26,4
4614240000000,Chico Unified,2,88,274,148,82
4614240000000,Chico Unified,3,2,21,6,2
4614240000000,Chico Unified,4,4,28,6,6
4614240000000,Chico Unified,5,220,1002,390,122
4614240000000,Chico Unified,6,40,163,70,12
4614240000000,Chico Unified,7,744,3306,1388,628
4614240000000,Chico Unified,9,9,98,14,4
4614320000000,Durham Unified,1,4,8,8,0
4614320000000,Durham Unified,5,19,74,34,10
4614320000000,Durham Unified,7,62,236,114,60
4614400000000,Feather Falls Union Elementary,1,3,13,4,0
4614400000000,Feather Falls Union Elementary,5,3,6,2,0
4614400000000,Feather Falls Union Elementary,7,2,8,4,0
4614570000000,Golden Feather Union Elementary,5,2,9,2,0
4614570000000,Golden Feather Union Elementary,7,6,35,20,0
4615150000000,Oroville Union High,1,22,101,34,2
4615150000000,Oroville Union High,2,117,401,222,92
4615150000000,Oroville Union High,4,1,4,1,0
4615150000000,Oroville Union High,5,122,471,198,24
4615150000000,Oroville Union High,6,12,56,16,0
4615150000000,Oroville Union High,7,271,1126,474,54
4615150000000,Oroville Union High,9,46,197,74,8
4615310000000,Paradise Unified,1,5,19,10,0
4615310000000,Paradise Unified,2,3,9,6,4
4615310000000,Paradise Unified,4,1,11,2,0
4615310000000,Paradise Unified,5,34,164,56,12
4615310000000,Paradise Unified,6,1,12,2,0
4615310000000,Paradise Unified,7,268,1152,478,130
