CDS_CODE,DISTRICT,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS
1100170000000,Alameda County Office of Education,1,1,16,4,2
1100170000000,Alameda County Office of Education,2,9,201,12,2
1100170000000,Alameda County Office of Education,3,4,8,4,0
1100170000000,Alameda County Office of Education,4,2,19,2,0
1100170000000,Alameda County Office of Education,5,117,627,226,80
1100170000000,Alameda County Office of Education,6,113,418,166,70
1100170000000,Alameda County Office of Education,7,11,187,18,2
1100170000000,Alameda County Office of Education,9,5,178,10,6
1316170000000,California School for the Deaf-Fremont (State Spec,2,4,27,4,0
1316170000000,California School for the Deaf-Fremont (State Spec,4,4,17,2,0
1316170000000,California School for the Deaf-Fremont (State Spec,5,45,190,36,0
1316170000000,California School for the Deaf-Fremont (State Spec,6,12,34,6,0
1316170000000,California School for the Deaf-Fremont (State Spec,7,15,105,24,0
1316170000000,California School for the Deaf-Fremont (State Spec,9,2,17,2,0
1611190000000,Alameda Unified,1,1,23,2,2
1611190000000,Alameda Unified,2,287,1460,528,330
1611190000000,Alameda Unified,3,12,62,18,4
1611190000000,Alameda Unified,4,61,461,116,70
1611190000000,Alameda Unified,5,148,1079,234,108
1611190000000,Alameda Unified,6,97,700,150,48
1611190000000,Alameda Unified,7,217,1671,408,228
1611190000000,Alameda Unified,9,33,388,56,32
1611270000000,Albany City Unified,2,88,348,180,122
1611270000000,Albany City Unified,3,1,4,2,2
1611270000000,Albany City Unified,4,5,22,8,4
1611270000000,Albany City Unified,5,49,209,94,42
1611270000000,Albany City Unified,6,21,64,38,10
1611270000000,Albany City Unified,7,109,452,208,150
1611270000000,Albany City Unified,9,27,127,54,34
1611430000000,Berkeley Unified,0,2,14,4,2
1611430000000,Berkeley Unified,1,3,11,4,0
1611430000000,Berkeley Unified,2,71,284,142,94
1611430000000,Berkeley Unified,3,4,9,8,4
1611430000000,Berkeley Unified,4,6,32,12,12
1611430000000,Berkeley Unified,5,248,1090,436,280
1611430000000,Berkeley Unified,6,198,756,346,122
1611430000000,Berkeley Unified,7,310,1291,582,498
1611430000000,Berkeley Unified,9,80,383,142,108
1611500000000,Castro Valley Unified,0,3,15,6,2
1611500000000,Castro Valley Unified,1,2,11,4,0
1611500000000,Castro Valley Unified,2,192,774,374,276
1611500000000,Castro Valley Unified,3,5,14,10,2
1611500000000,Castro Valley Unified,4,37,145,74,52
1611500000000,Castro Valley Unified,5,179,729,320,104
1611500000000,Castro Valley Unified,6,70,246,130,66
1611500000000,Castro Valley Unified,7,241,918,466,248
1611500000000,Castro Valley Unified,9,60,253,114,52
1611680000000,Emery Unified,2,6,20,12,4
1611680000000,Emery Unified,3,1,2,1,0
1611680000000,Emery Unified,5,8,31,16,4
1611680000000,Emery Unified,6,33,105,58,14
1611680000000,Emery Unified,7,2,11,2,1
1611760000000,Fremont Unified,1,10,31,20,4
1611760000000,Fremont Unified,2,1328,5521,2554,2124
1611760000000,Fremont Unified,3,13,74,30,16
1611760000000,Fremont Unified,4,173,711,330,200
1611760000000,Fremont Unified,5,423,1583,682,228
1611760000000,Fremont Unified,6,96,351,168,52
1611760000000,Fremont Unified,7,467,1770,850,458
1611760000000,Fremont Unified,9,38,198,68,30
1611920000000,Hayward Unified,0,8,103,10,6
1611920000000,Hayward Unified,1,4,23,6,0
1611920000000,Hayward Unified,2,131,655,256,198
1611920000000,Hayward Unified,3,58,250,102,46
1611920000000,Hayward Unified,4,147,658,278,176
1611920000000,Hayward Unified,5,858,4418,1434,640
1611920000000,Hayward Unified,6,174,850,290,104
1611920000000,Hayward Unified,7,91,678,140,64
1611920000000,Hayward Unified,9,19,168,32,22
1612000000000,Livermore Valley Joint Unified,0,4,92,8,6
1612000000000,Livermore Valley Joint Unified,1,3,13,6,4
1612000000000,Livermore Valley Joint Unified,2,70,386,136,106
1612000000000,Livermore Valley Joint Unified,3,5,22,10,2
1612000000000,Livermore Valley Joint Unified,4,37,167,72,48
1612000000000,Livermore Valley Joint Unified,5,279,1447,518,202
1612000000000,Livermore Valley Joint Unified,6,16,86,28,6
1612000000000,Livermore Valley Joint Unified,7,590,3008,1168,728
1612000000000,Livermore Valley Joint Unified,9,72,413,140,90
1612340000000,Newark Unified,1,2,7,6,0
1612340000000,Newark Unified,2,71,232,140,70
1612340000000,Newark Unified,3,8,36,16,2
1612340000000,Newark Unified,4,49,193,94,52
1612340000000,Newark Unified,5,252,954,472,106
1612340000000,Newark Unified,6,33,102,58,10
1612340000000,Newark Unified,7,92,307,170,60
1612340000000,Newark Unified,9,10,56,20,8
1612420000000,New Haven Unified,1,1,10,2,0
1612420000000,New Haven Unified,2,235,860,426,292
1612420000000,New Haven Unified,3,37,133,58,38
1612420000000,New Haven Unified,4,242,874,430,286
1612420000000,New Haven Unified,5,398,1483,590,218
1612420000000,New Haven Unified,6,97,323,146,58
1612420000000,New Haven Unified,7,81,254,110,54
1612420000000,New Haven Unified,9,41,188,68,44
1612590000000,Oakland Unified,0,35,538,58,30
1612590000000,Oakland Unified,1,7,73,6,4
1612590000000,Oakland Unified,2,425,2797,696,502
1612590000000,Oakland Unified,3,28,265,38,14
1612590000000,Oakland Unified,4,32,233,54,40
1612590000000,Oakland Unified,5,1331,13462,1984,1386
1612590000000,Oakland Unified,6,832,6904,1140,456
1612590000000,Oakland Unified,7,215,1554,398,308
1612590000000,Oakland Unified,9,44,539,70,50
1612600000000,Oakland Unified,0,2,307,4,0
1612600000000,Oakland Unified,2,2,3485,4,0
1612600000000,Oakland Unified,4,1,226,2,0
1612600000000,Oakland Unified,5,28,8386,24,0
1612600000000,Oakland Unified,6,26,5747,24,0
1612600000000,Oakland Unified,7,8,3186,4,0
1612750000000,Piedmont City Unified,2,29,136,58,56
1612750000000,Piedmont City Unified,4,5,15,10,8
1612750000000,Piedmont City Unified,5,6,40,12,10
1612750000000,Piedmont City Unified,6,10,33,20,14
1612750000000,Piedmont City Unified,7,155,597,312,272
1612750000000,Piedmont City Unified,9,3,60,6,6
1612910000000,San Leandro Unified,0,3,5,2,0
1612910000000,San Leandro Unified,1,4,7,6,2
1612910000000,San Leandro Unified,2,90,405,154,82
1612910000000,San Leandro Unified,3,12,45,22,6
1612910000000,San Leandro Unified,4,67,230,118,54
1612910000000,San Leandro Unified,5,324,1239,582,170
1612910000000,San Leandro Unified,6,111,497,206,52
1612910000000,San Leandro Unified,7,67,248,114,38
1612910000000,San Leandro Unified,9,21,69,36,12
1613090000000,San Lorenzo Unified,1,5,16,10,4
1613090000000,San Lorenzo Unified,2,150,726,292,208
1613090000000,San Lorenzo Unified,3,9,51,14,6
1613090000000,San Lorenzo Unified,4,74,341,148,82
1613090000000,San Lorenzo Unified,5,505,2347,912,354
1613090000000,San Lorenzo Unified,6,121,568,202,64
1613090000000,San Lorenzo Unified,7,95,432,172,64
1613090000000,San Lorenzo Unified,9,15,56,24,10
1750930000000,Dublin Unified,1,2,12,4,2
1750930000000,Dublin Unified,2,136,3156,262,242
1750930000000,Dublin Unified,3,3,17,6,4
1750930000000,Dublin Unified,4,54,417,108,72
1750930000000,Dublin Unified,5,97,586,190,86
1750930000000,Dublin Unified,6,37,236,70,30
1750930000000,Dublin Unified,7,162,1302,324,224
1750930000000,Dublin Unified,9,32,451,64,42
1751010000000,Pleasanton Unified,1,2,11,4,4
1751010000000,Pleasanton Unified,2,351,1569,694,654
1751010000000,Pleasanton Unified,3,5,14,10,8
1751010000000,Pleasanton Unified,4,32,137,62,54
1751010000000,Pleasanton Unified,5,129,479,230,180
1751010000000,Pleasanton Unified,6,35,108,64,52
1751010000000,Pleasanton Unified,7,622,2409,1178,1050
1751010000000,Pleasanton Unified,9,27,134,54,44
2100250000000,Alpine County Office of Education,1,3,5,12,0
3100330000000,Amador County Office of Education,1,2,11,4,0
3100330000000,Amador County Office of Education,7,12,142,8,0
3100330000000,Amador County Office of Education,9,1,15,2,0
3739810000000,Amador County Unified,0,5,23,10,4
3739810000000,Amador County Unified,1,12,37,22,4
3739810000000,Amador County Unified,2,2,11,2,0
3739810000000,Amador County Unified,4,1,8,2,0
3739810000000,Amador County Unified,5,58,244,84,8
3739810000000,Amador County Unified,7,218,867,396,124
3739810000000,Amador County Unified,9,12,71,20,6
4100410000000,Butte County Office of Education,1,2,23,2,2
4100410000000,Butte County Office of Education,5,30,225,60,6
4100410000000,Butte County Office of Education,6,2,17,6,0
4100410000000,Butte County Office of Education,7,74,694,164,26
4100410000000,Butte County Office of Education,9,10,71,20,4
4614080000000,Biggs Unified,1,1,1,1,0
4614080000000,Biggs Unified,2,1,6,2,2
4614080000000,Biggs Unified,5,12,62,22,4
4614080000000,Biggs Unified,7,26,96,50,10
4614080000000,Biggs Unified,9,2,7,4,2
4614240000000,Chico Unified,0,11,71,14,6
4614240000000,Chico Unified,1,20,82,30,4
4614240000000,Chico Unified,2,75,266,156,68
4614240000000,Chico Unified,3,5,32,10,0
4614240000000,Chico Unified,4,10,29,20,16
4614240000000,Chico Unified,5,229,1057,414,120
4614240000000,Chico Unified,6,25,137,48,10
4614240000000,Chico Unified,7,698,3239,1302,602
4614240000000,Chico Unified,9,21,147,42,8
4614320000000,Durham Unified,5,18,55,34,8
4614320000000,Durham Unified,6,1,3,2,2
4614320000000,Durham Unified,7,49,218,96,42
4614400000000,Feather Falls Union Elementary,1,5,13,8,0
4614400000000,Feather Falls Union Elementary,2,1,1,1,0
4614400000000,Feather Falls Union Elementary,5,0,10,2,0
4614400000000,Feather Falls Union Elementary,7,6,26,10,0
4614570000000,Golden Feather Union Elementary,0,1,2,1,0
4614570000000,Golden Feather Union Elementary,5,8,15,16,0
4614570000000,Golden Feather Union Elementary,7,9,43,20,0
4615150000000,Oroville Union High,1,29,156,50,4
4615150000000,Oroville Union High,2,95,335,182,88
4615150000000,Oroville Union High,3,2,7,4,0
4615150000000,Oroville Union High,4,4,11,8,2
4615150000000,Oroville Union High,5,111,437,186,22
4615150000000,Oroville Union High,6,10,63,14,0
4615150000000,Oroville Union High,7,231,1081,376,62
4615150000000,Oroville Union High,9,61,133,100,8
4615310000000,Paradise Unified,1,1,18,2,0
4615310000000,Paradise Unified,4,2,9,4,0
4615310000000,Paradise Unified,5,39,170,64,10
4615310000000,Paradise Unified,6,2,12,4,0
4615310000000,Paradise Unified,7,265,1149,464,98
4615310000000,Paradise Unified,9,26,114,44,6
4615320000000,Paradise Unified,5,5,400,4,0
4615320000000,Paradise Unified,7,22,2116,36,0
4615320000000,Paradise Unified,9,6,200,4,0
4755070000000,Gridley Unified,0,4,5,4,0
4755070000000,Gridley Unified,1,1,4,2,0
4755070000000,Gridley Unified,2,3,16,6,4
4755070000000,Gridley Unified,4,1,1,1,0
4755070000000,Gridley Unified,5,105,377,196,40
4755070000000,Gridley Unified,7,66,241,124,26
5100580000000,Calaveras County Office of Education,1,2,6,4,0
5100580000000,Calaveras County Office of Education,5,14,78,30,0
5100580000000,Calaveras County Office of Education,7,42,366,112,0
5100580000000,Calaveras County Office of Education,9,5,59,8,0
5100590000000,Calaveras County Office of Education,5,3,12,6,0
5100590000000,Calaveras County Office of Education,7,0,34,2,0
5615560000000,Bret Harte Union High,1,7,16,14,0
5615560000000,Bret Harte Union High,3,1,1,1,0
5615560000000,Bret Harte Union High,4,1,5,2,0
5615560000000,Bret Harte Union High,5,31,151,66,0
5615560000000,Bret Harte Union High,6,1,1,1,0
5615560000000,Bret Harte Union High,7,121,494,230,0
5615560000000,Bret Harte Union High,9,12,43,24,0
5615640000000,Calaveras Unified,1,4,22,4,2
5615640000000,Calaveras Unified,2,3,12,4,4
5615640000000,Calaveras Unified,4,1,6,2,0
5615640000000,Calaveras Unified,5,38,138,72,20
5615640000000,Calaveras Unified,6,3,12,6,2
5615640000000,Calaveras Unified,7,204,804,420,118
5615640000000,Calaveras Unified,9,5,26,10,2
6100660000000,Colusa County Office of Education,5,2,7,4,0
6615980000000,Colusa Unified,1,2,14,2,0
6615980000000,Colusa Unified,2,1,4,2,2
6615980000000,Colusa Unified,3,1,1,1,0
6615980000000,Colusa Unified,5,70,273,122,26
6615980000000,Colusa Unified,7,36,153,68,22
6616060000000,Maxwell Unified,1,2,8,2,0
6616060000000,Maxwell Unified,5,16,88,32,2
6616060000000,Maxwell Unified,7,12,76,22,8
6616140000000,Pierce Joint Unified,1,1,1,1,1
6616140000000,Pierce Joint Unified,3,1,1,1,0
6616140000000,Pierce Joint Unified,5,91,332,172,44
6616140000000,Pierce Joint Unified,6,2,8,4,0
6616140000000,Pierce Joint Unified,7,27,110,52,20
6616220000000,Williams Unified,2,3,11,6,4
6616220000000,Williams Unified,3,1,2,1,1
6616220000000,Williams Unified,5,81,821,154,52
6616220000000,Williams Unified,7,7,40,12,4
7100740000000,Contra Costa County Office of Education,0,3,52,6,0
7100740000000,Contra Costa County Office of Education,1,2,15,4,0
7100740000000,Contra Costa County Office of Education,2,38,206,74,50
7100740000000,Contra Costa County Office of Education,3,2,26,4,4
7100740000000,Contra Costa County Office of Education,4,33,127,64,46
7100740000000,Contra Costa County Office of Education,5,194,1783,356,226
7100740000000,Contra Costa County Office of Education,6,56,412,102,30
7100740000000,Contra Costa County Office of Education,7,280,1283,508,324
7100740000000,Contra Costa County Office of Education,9,10,181,22,12
7616300000000,Acalanes Union High,0,11,51,22,14
7616300000000,Acalanes Union High,1,1,9,2,0
7616300000000,Acalanes Union High,2,140,688,276,224
7616300000000,Acalanes Union High,3,4,19,8,6
7616300000000,Acalanes Union High,4,28,120,56,42
7616300000000,Acalanes Union High,5,106,487,216,124
7616300000000,Acalanes Union High,6,15,87,30,16
7616300000000,Acalanes Union High,7,905,3694,1764,1384
