,CDS_CODE,District_Code,Function_Code,Function,Amount,Year
28,1611680000000,61168,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,3111.42,1213
29,1611760000000,61176,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,14266920.020000005,1213
30,1611760000000,61176,2200,Classified Support Salaries                                                                                                                                                                                                                               ,230976.79,1213
31,1611760000000,61176,9200,Accounts Receivable                                                                                                                                                                                                                                       ,17877442.27,1213
32,1611920000000,61192,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,4688651.660000003,1213
33,1611920000000,61192,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,23756.31,1213
34,1611920000000,61192,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,385962.02,1213
35,1611920000000,61192,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,211511.32,1213
36,1611920000000,61192,7310,Transfers of Indirect Costs                                                                                                                                                                                                                               ,179178.18,1213
37,1611920000000,61192,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3439219.0,1213
38,1612000000000,61200,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2514060.959999999,1213
39,1612000000000,61200,9200,Accounts Receivable                                                                                                                                                                                                                                       ,5129462.539999999,1213
40,1612180000000,61218,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,15572.4,1213
41,1612340000000,61234,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3454305.5600000005,1213
42,1612340000000,61234,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1575938.73,1213
43,1612420000000,61242,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3592996.9600000004,1213
44,1612420000000,61242,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,172931.15000000002,1213
45,1612420000000,61242,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,253254.74999999988,1213
46,1612420000000,61242,5400,Insurance                                                                                                                                                                                                                                                 ,76073.93000000001,1213
47,1612420000000,61242,5900,Communications                                                                                                                                                                                                                                            ,6447.910000000002,1213
48,1612420000000,61242,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,160392.71000000002,1213
49,1612420000000,61242,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1372269.37,1213
50,1612590000000,61259,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,28923677.179999974,1213
51,1612590000000,61259,9200,Accounts Receivable                                                                                                                                                                                                                                       ,4511514.0600000005,1213
52,1612750000000,61275,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,348203.66000000003,1213
53,1612750000000,61275,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,330966.11999999994,1213
54,1612750000000,61275,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,10264.01,1213
55,1612750000000,61275,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,1192078.35,1213
56,1612910000000,61291,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3725935.0599999996,1213
57,1612910000000,61291,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,237171.65,1213
58,1612910000000,61291,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1155425.0,1213
59,1613090000000,61309,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3262646.66,1213
60,1613090000000,61309,5900,Communications                                                                                                                                                                                                                                            ,34810.090000000004,1213
61,1613090000000,61309,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,43746.29,1213
62,1613090000000,61309,7310,Transfers of Indirect Costs                                                                                                                                                                                                                               ,176619.11000000004,1213
63,1613090000000,61309,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,4096139.2299999986,1213
64,1613090000000,61309,9200,Accounts Receivable                                                                                                                                                                                                                                       ,2003454.12,1213
65,1750930000000,75093,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1483645.05,1213
66,1750930000000,75093,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,292712.0299999999,1213
67,1750930000000,75093,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,99284.2,1213
68,1750930000000,75093,9200,Accounts Receivable                                                                                                                                                                                                                                       ,276435.0,1213
69,1751010000000,75101,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5264172.049999996,1213
70,1751010000000,75101,2200,Classified Support Salaries                                                                                                                                                                                                                               ,182142.06,1213
71,1751010000000,75101,9200,Accounts Receivable                                                                                                                                                                                                                                       ,15272799.12,1213
72,1751190000000,75119,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,16299.77,1213
73,1751190000000,75119,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,181916.27999999997,1213
74,2100250000000,10025,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,1156.24,1213
75,2100250000000,10025,9200,Accounts Receivable                                                                                                                                                                                                                                       ,550552.54,1213
76,2613330000000,61333,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1540.0,1213
77,2613330000000,61333,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,58953.2,1213
78,3100330000000,10033,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,540283.7200000001,1213
79,3100330000000,10033,9200,Accounts Receivable                                                                                                                                                                                                                                       ,159397.68,1213
80,3739810000000,73981,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,388465.42,1213
81,3739810000000,73981,9200,Accounts Receivable                                                                                                                                                                                                                                       ,2456667.26,1213
82,4100410000000,10041,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5609469.019999996,1213
83,4100410000000,10041,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,67197.09,1213
84,4100410000000,10041,5900,Communications                                                                                                                                                                                                                                            ,72931.67,1213
85,4100410000000,10041,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,173267.86,1213
86,4100410000000,10041,9200,Accounts Receivable                                                                                                                                                                                                                                       ,14555118.78,1213
87,4100410114991,10041,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,7390.0,1213
88,4100410114991,10041,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,2420.66,1213
89,4100410114991,10041,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3399.0,1213
90,4613820000000,61382,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,108981.69,1213
91,4613820000000,61382,9200,Accounts Receivable                                                                                                                                                                                                                                       ,42382.56,1213
92,4614080000000,61408,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,20052.93,1213
93,4614080000000,61408,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,73802.83,1213
94,4614080000000,61408,5100,Subagreements for Services                                                                                                                                                                                                                                ,75156.61,1213
95,4614080000000,61408,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2290365.08,1213
96,4614080000000,61408,9200,Accounts Receivable                                                                                                                                                                                                                                       ,141110.7,1213
97,4614240000000,61424,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1964115.419999999,1213
98,4614240000000,61424,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,246147.47,1213
99,4614240000000,61424,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,5207721.62,1213
100,4614240000000,61424,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3593471.6,1213
101,4614320000000,61432,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,60479.45,1213
102,4614320000000,61432,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,18389.000000000004,1213
103,4614320000000,61432,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,129025.39999999998,1213
104,4614320000000,61432,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,13677.12,1213
105,4614320000000,61432,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,561076.2999999999,1213
106,4614320000000,61432,9200,Accounts Receivable                                                                                                                                                                                                                                       ,369209.2,1213
107,4614400000000,61440,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,77658.70000000001,1213
108,4614400000000,61440,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3628.5,1213
109,4614570000000,61457,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,13478.490000000002,1213
110,4614570000000,61457,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,26932.73,1213
111,4614570000000,61457,9200,Accounts Receivable                                                                                                                                                                                                                                       ,57583.9,1213
112,4614990000000,61499,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,7311.839999999998,1213
113,4614990000000,61499,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,36243.570000000014,1213
114,4614990000000,61499,9200,Accounts Receivable                                                                                                                                                                                                                                       ,93492.3,1213
115,4615070000000,61507,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,167924.48,1213
116,4615070000000,61507,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,1357066.3500000006,1213
117,4615070000000,61507,9200,Accounts Receivable                                                                                                                                                                                                                                       ,781620.4099999998,1213
118,4615150000000,61515,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,291363.35,1213
119,4615150000000,61515,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,364145.36,1213
120,4615150000000,61515,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2094831.95,1213
121,4615150000000,61515,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1276828.02,1213
122,4615230000000,61523,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,170015.54,1213
123,4615230000000,61523,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,151.21,1213
124,4615230000000,61523,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,915865.5899999995,1213
125,4615230000000,61523,9200,Accounts Receivable                                                                                                                                                                                                                                       ,388535.28,1213
126,4615310000000,61531,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1954571.08,1213
127,4615310000000,61531,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1094504.16,1213
128,4615490000000,61549,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,615315.3799999999,1213
129,4615490000000,61549,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,16371.37,1213
130,4615490000000,61549,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,32900.79,1213
131,4615490000000,61549,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,802230.11,1213
132,4615490000000,61549,9200,Accounts Receivable                                                                                                                                                                                                                                       ,574254.31,1213
133,4733790000000,73379,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,257.4,1213
134,4733790000000,73379,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,70602.35,1213
135,4733790000000,73379,9200,Accounts Receivable                                                                                                                                                                                                                                       ,6139.46,1213
136,4755070000000,75507,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,197687.18000000005,1213
137,4755070000000,75507,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,11107.82,1213
138,4755070000000,75507,9200,Accounts Receivable                                                                                                                                                                                                                                       ,712195.43,1213
139,5100580000000,10058,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3446.48,1213
140,5100580000000,10058,2200,Classified Support Salaries                                                                                                                                                                                                                               ,732558.61,1213
141,5100580000000,10058,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,17926.870000000006,1213
142,5100580000000,10058,5900,Communications                                                                                                                                                                                                                                            ,762549.15,1213
143,5100580000000,10058,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,33899.11999999999,1213
144,5100580000000,10058,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,178180.36999999997,1213
145,5100580000000,10058,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1833496.74,1213
146,5615560000000,61556,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,31282.81,1213
147,5615560000000,61556,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,125404.82,1213
148,5615560000000,61556,5100,Subagreements for Services                                                                                                                                                                                                                                ,34593.270000000004,1213
149,5615560000000,61556,5900,Communications                                                                                                                                                                                                                                            ,14668.45,1213
150,5615560000000,61556,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,60865.26,1213
151,5615560000000,61556,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,611493.5700000001,1213
