,CDS_CODE,District_Code,Function_Code,Function,Amount,Year
0,1100170000000,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003,1213
1,1100170000000,10017,5900,Communications                                                                                                                                                                                                                                            ,2126900.99,1213
2,1100170000000,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004,1213
3,1100170000000,10017,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78,1213
4,1100170000000,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98,1213
5,1404020000000,40402,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,370605.81000000006,1213
6,1404100000000,40410,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3927.3,1213
7,1404280000000,40428,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,7165053.0,1213
8,1404280000000,40428,9200,Accounts Receivable                                                                                                                                                                                                                                       ,134290.0,1213
9,1405010000000,40501,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,218.6,1213
10,1611190000000,61119,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001,1213
11,1611190000000,61119,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61,1213
12,1611190000000,61119,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67,1213
13,1611270000000,61127,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1058343.9699999995,1213
14,1611270000000,61127,2200,Classified Support Salaries                                                                                                                                                                                                                               ,408753.7,1213
15,1611270000000,61127,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,15571.05,1213
16,1611270000000,61127,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,328938.8500000001,1213
17,1611270000000,61127,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,1161577.9799999995,1213
18,1611270000000,61127,9200,Accounts Receivable                                                                                                                                                                                                                                       ,18015623.83,1213
19,1611430000000,61143,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,7177684.690000005,1213
20,1611430000000,61143,9200,Accounts Receivable                                                                                                                                                                                                                                       ,21053.0,1213
21,1611500000000,61150,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3253638.929999999,1213
22,1611500000000,61150,2200,Classified Support Salaries                                                                                                                                                                                                                               ,164034.67,1213
23,1611500000000,61150,9200,Accounts Receivable                                                                                                                                                                                                                                       ,29115614.36,1213
24,1611680000000,61168,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,389024.02,1213
25,1611680000000,61168,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,1542.77,1213
26,1611680000000,61168,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,87186.55000000003,1213
27,1611680000000,61168,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,85988.98,1213
