,CDS_CODE,DISTRICT,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,Year
0,1100170000000,Alameda County Office of Education,0,1,29,4,0,1314
1,1100170000000,Alameda County Office of Education,1,3,23,2,2,1314
2,1100170000000,Alameda County Office of Education,2,13,395,26,10,1314
3,1100170000000,Alameda County Office of Education,3,2,33,2,0,1314
4,1100170000000,Alameda County Office of Education,4,3,42,12,6,1314
5,1100170000000,Alameda County Office of Education,5,102,816,196,88,1314
6,1100170000000,Alameda County Office of Education,6,62,597,134,66,1314
7,1100170000000,Alameda County Office of Education,7,29,875,100,20,1314
8,1100170000000,Alameda County Office of Education,9,7,152,10,2,1314
9,1316170000000,California School for the Deaf-Fremont (State Spec,2,8,28,10,0,1314
10,1316170000000,California School for the Deaf-Fremont (State Spec,5,35,181,30,0,1314
11,1316170000000,California School for the Deaf-Fremont (State Spec,6,11,37,6,0,1314
12,1316170000000,California School for the Deaf-Fremont (State Spec,7,17,119,24,0,1314
13,1316170000000,California School for the Deaf-Fremont (State Spec,9,1,12,2,0,1314
14,1611190000000,Alameda Unified,1,3,20,2,0,1314
15,1611190000000,Alameda Unified,2,330,1511,602,416,1314
16,1611190000000,Alameda Unified,3,15,78,24,2,1314
17,1611190000000,Alameda Unified,4,92,467,170,62,1314
18,1611190000000,Alameda Unified,5,148,1054,236,104,1314
19,1611190000000,Alameda Unified,6,101,822,148,42,1314
20,1611190000000,Alameda Unified,7,229,1472,406,224,1314
21,1611190000000,Alameda Unified,9,14,317,24,12,1314
22,1611270000000,Albany City Unified,1,1,2,2,0,1314
23,1611270000000,Albany City Unified,2,102,366,190,100,1314
24,1611270000000,Albany City Unified,3,1,2,1,0,1314
25,1611270000000,Albany City Unified,4,2,16,4,0,1314
26,1611270000000,Albany City Unified,5,54,214,100,24,1314
27,1611270000000,Albany City Unified,6,17,73,34,12,1314
28,1611270000000,Albany City Unified,7,90,410,172,68,1314
29,1611270000000,Albany City Unified,9,29,116,58,10,1314
30,1611430000000,Berkeley Unified,0,3,49,2,0,1314
31,1611430000000,Berkeley Unified,1,4,13,6,2,1314
32,1611430000000,Berkeley Unified,2,84,285,150,92,1314
33,1611430000000,Berkeley Unified,3,1,7,2,0,1314
34,1611430000000,Berkeley Unified,4,3,24,8,6,1314
35,1611430000000,Berkeley Unified,5,164,1039,290,110,1314
36,1611430000000,Berkeley Unified,6,204,856,340,76,1314
37,1611430000000,Berkeley Unified,7,292,1253,560,406,1314
38,1611430000000,Berkeley Unified,9,91,356,162,108,1314
39,1611500000000,Castro Valley Unified,0,7,21,10,2,1314
40,1611500000000,Castro Valley Unified,1,3,10,4,0,1314
41,1611500000000,Castro Valley Unified,2,193,720,376,304,1314
42,1611500000000,Castro Valley Unified,3,4,21,8,2,1314
43,1611500000000,Castro Valley Unified,4,21,102,56,30,1314
44,1611500000000,Castro Valley Unified,5,204,748,378,124,1314
45,1611500000000,Castro Valley Unified,6,67,244,118,48,1314
46,1611500000000,Castro Valley Unified,7,260,997,492,250,1314
47,1611500000000,Castro Valley Unified,9,77,294,136,76,1314
48,1611680000000,Emery Unified,2,7,21,14,0,1314
49,1611680000000,Emery Unified,5,14,41,28,0,1314
50,1611680000000,Emery Unified,6,29,138,46,4,1314
51,1611680000000,Emery Unified,7,5,14,6,0,1314
52,1611760000000,Fremont Unified,0,0,1,1,1,1314
53,1611760000000,Fremont Unified,1,13,39,22,10,1314
54,1611760000000,Fremont Unified,2,1299,5181,2468,2074,1314
55,1611760000000,Fremont Unified,3,12,71,20,10,1314
56,1611760000000,Fremont Unified,4,172,665,338,192,1314
57,1611760000000,Fremont Unified,5,404,1604,702,226,1314
58,1611760000000,Fremont Unified,6,111,419,176,70,1314
59,1611760000000,Fremont Unified,7,550,1990,1024,530,1314
60,1611760000000,Fremont Unified,9,43,173,64,38,1314
61,1611920000000,Hayward Unified,1,11,38,18,6,1314
62,1611920000000,Hayward Unified,2,132,658,234,144,1314
63,1611920000000,Hayward Unified,3,81,269,150,66,1314
64,1611920000000,Hayward Unified,4,141,608,254,142,1314
65,1611920000000,Hayward Unified,5,778,3877,1230,532,1314
66,1611920000000,Hayward Unified,6,240,1013,318,110,1314
67,1611920000000,Hayward Unified,7,115,547,190,96,1314
68,1611920000000,Hayward Unified,9,17,166,36,20,1314
69,1612000000000,Livermore Valley Joint Unified,0,3,61,4,4,1314
70,1612000000000,Livermore Valley Joint Unified,1,4,18,8,4,1314
71,1612000000000,Livermore Valley Joint Unified,2,52,350,100,70,1314
72,1612000000000,Livermore Valley Joint Unified,3,2,17,4,0,1314
73,1612000000000,Livermore Valley Joint Unified,4,30,159,58,40,1314
74,1612000000000,Livermore Valley Joint Unified,5,243,1177,398,128,1314
75,1612000000000,Livermore Valley Joint Unified,6,21,100,34,14,1314
76,1612000000000,Livermore Valley Joint Unified,7,608,2967,1168,638,1314
77,1612000000000,Livermore Valley Joint Unified,9,88,286,160,88,1314
78,1612340000000,Newark Unified,2,51,227,98,46,1314
79,1612340000000,Newark Unified,3,11,49,18,10,1314
80,1612340000000,Newark Unified,4,61,214,114,54,1314
81,1612340000000,Newark Unified,5,220,939,392,84,1314
82,1612340000000,Newark Unified,6,44,147,76,18,1314
83,1612340000000,Newark Unified,7,86,355,164,58,1314
84,1612340000000,Newark Unified,9,17,56,30,8,1314
85,1612420000000,New Haven Unified,1,3,9,4,0,1314
86,1612420000000,New Haven Unified,2,266,876,476,348,1314
87,1612420000000,New Haven Unified,3,49,173,90,44,1314
88,1612420000000,New Haven Unified,4,251,898,456,322,1314
89,1612420000000,New Haven Unified,5,383,1432,548,194,1314
90,1612420000000,New Haven Unified,6,113,370,178,94,1314
91,1612420000000,New Haven Unified,7,83,301,110,64,1314
92,1612420000000,New Haven Unified,9,22,156,40,22,1314
93,1612590000000,Oakland Unified,0,33,320,50,32,1314
94,1612590000000,Oakland Unified,1,16,75,22,8,1314
95,1612590000000,Oakland Unified,2,496,2476,782,512,1314
96,1612590000000,Oakland Unified,3,48,281,68,16,1314
97,1612590000000,Oakland Unified,4,30,188,40,20,1314
98,1612590000000,Oakland Unified,5,1124,12151,1656,890,1314
99,1612590000000,Oakland Unified,6,948,6877,1342,364,1314
100,1612590000000,Oakland Unified,7,214,1333,354,286,1314
101,1612590000000,Oakland Unified,9,30,382,50,32,1314
102,1612600000000,Oakland Unified,2,2,3754,2,0,1314
103,1612600000000,Oakland Unified,5,35,7998,14,0,1314
104,1612600000000,Oakland Unified,6,41,6345,14,0,1314
105,1612600000000,Oakland Unified,7,4,3288,4,0,1314
106,1612750000000,Piedmont City Unified,1,1,2,2,2,1314
107,1612750000000,Piedmont City Unified,2,40,150,80,78,1314
108,1612750000000,Piedmont City Unified,3,1,1,1,1,1314
109,1612750000000,Piedmont City Unified,4,4,15,8,4,1314
110,1612750000000,Piedmont City Unified,5,7,29,14,10,1314
111,1612750000000,Piedmont City Unified,6,6,27,12,10,1314
112,1612750000000,Piedmont City Unified,7,128,595,254,214,1314
113,1612750000000,Piedmont City Unified,9,5,25,10,10,1314
114,1612910000000,San Leandro Unified,1,2,6,4,0,1314
115,1612910000000,San Leandro Unified,2,124,389,224,148,1314
116,1612910000000,San Leandro Unified,3,14,44,18,6,1314
117,1612910000000,San Leandro Unified,4,72,247,118,64,1314
118,1612910000000,San Leandro Unified,5,312,1242,484,138,1314
119,1612910000000,San Leandro Unified,6,147,507,264,66,1314
120,1612910000000,San Leandro Unified,7,88,287,144,48,1314
121,1612910000000,San Leandro Unified,9,13,47,20,8,1314
122,1613090000000,San Lorenzo Unified,0,3,117,4,2,1314
123,1613090000000,San Lorenzo Unified,1,4,14,8,4,1314
124,1613090000000,San Lorenzo Unified,2,185,674,346,250,1314
125,1613090000000,San Lorenzo Unified,3,15,60,22,8,1314
126,1613090000000,San Lorenzo Unified,4,89,343,164,96,1314
127,1613090000000,San Lorenzo Unified,5,478,2245,824,292,1314
128,1613090000000,San Lorenzo Unified,6,149,620,248,60,1314
129,1613090000000,San Lorenzo Unified,7,127,472,238,70,1314
130,1613090000000,San Lorenzo Unified,9,9,57,18,16,1314
131,1750930000000,Dublin Unified,1,2,15,4,4,1314
132,1750930000000,Dublin Unified,2,113,2139,222,190,1314
133,1750930000000,Dublin Unified,3,3,25,6,4,1314
134,1750930000000,Dublin Unified,4,29,373,52,44,1314
135,1750930000000,Dublin Unified,5,74,553,130,64,1314
136,1750930000000,Dublin Unified,6,38,279,66,36,1314
137,1750930000000,Dublin Unified,7,203,1398,392,242,1314
138,1750930000000,Dublin Unified,9,3,93,6,4,1314
139,1751010000000,Pleasanton Unified,1,14,32,28,16,1314
140,1751010000000,Pleasanton Unified,2,337,1444,666,520,1314
141,1751010000000,Pleasanton Unified,3,6,19,8,4,1314
142,1751010000000,Pleasanton Unified,4,32,132,60,36,1314
143,1751010000000,Pleasanton Unified,5,120,478,196,82,1314
144,1751010000000,Pleasanton Unified,6,19,107,30,12,1314
145,1751010000000,Pleasanton Unified,7,741,2626,1408,902,1314
146,1751010000000,Pleasanton Unified,9,33,114,60,38,1314
147,1766530000000,SBE - Livermore Valley Charter Preparatory High,2,9,50,18,18,1314
148,1766530000000,SBE - Livermore Valley Charter Preparatory High,4,1,10,4,4,1314
149,1766530000000,SBE - Livermore Valley Charter Preparatory High,5,22,89,42,42,1314
150,1766530000000,SBE - Livermore Valley Charter Preparatory High,7,42,243,82,82,1314
151,1766530000000,SBE - Livermore Valley Charter Preparatory High,9,6,31,10,10,1314
152,2100250000000,Alpine County Office of Education,1,1,6,2,0,1314
153,2613330000000,Alpine County Unified,1,1,1,1,0,1314
154,3100330000000,Amador County Office of Education,5,3,108,4,0,1314
155,3100330000000,Amador County Office of Education,7,17,283,12,0,1314
156,3739810000000,Amador County Unified,0,10,29,20,10,1314
157,3739810000000,Amador County Unified,1,12,38,18,2,1314
158,3739810000000,Amador County Unified,2,5,15,10,6,1314
159,3739810000000,Amador County Unified,3,1,3,2,0,1314
160,3739810000000,Amador County Unified,4,2,9,2,0,1314
161,3739810000000,Amador County Unified,5,55,214,94,18,1314
162,3739810000000,Amador County Unified,6,2,5,6,2,1314
163,3739810000000,Amador County Unified,7,250,941,450,124,1314
164,3739810000000,Amador County Unified,9,18,60,28,6,1314
165,4100410000000,Butte County Office of Education,0,2,3,4,0,1314
166,4100410000000,Butte County Office of Education,1,7,36,8,0,1314
167,4100410000000,Butte County Office of Education,2,1,12,4,4,1314
168,4100410000000,Butte County Office of Education,4,1,3,4,0,1314
169,4100410000000,Butte County Office of Education,5,37,238,66,4,1314
170,4100410000000,Butte County Office of Education,6,3,18,2,0,1314
171,4100410000000,Butte County Office of Education,7,117,725,186,36,1314
172,4100410000000,Butte County Office of Education,9,5,27,6,0,1314
173,4614080000000,Biggs Unified,1,2,3,2,0,1314
174,4614080000000,Biggs Unified,5,26,64,50,10,1314
175,4614080000000,Biggs Unified,7,21,78,38,4,1314
176,4614240000000,Chico Unified,0,14,38,22,8,1314
177,4614240000000,Chico Unified,1,18,89,26,4,1314
178,4614240000000,Chico Unified,2,88,274,148,82,1314
179,4614240000000,Chico Unified,3,2,21,6,2,1314
180,4614240000000,Chico Unified,4,4,28,6,6,1314
181,4614240000000,Chico Unified,5,220,1002,390,122,1314
182,4614240000000,Chico Unified,6,40,163,70,12,1314
183,4614240000000,Chico Unified,7,744,3306,1388,628,1314
184,4614240000000,Chico Unified,9,9,98,14,4,1314
185,4614320000000,Durham Unified,1,4,8,8,0,1314
186,4614320000000,Durham Unified,5,19,74,34,10,1314
187,4614320000000,Durham Unified,7,62,236,114,60,1314
188,4614400000000,Feather Falls Union Elementary,1,3,13,4,0,1314
189,4614400000000,Feather Falls Union Elementary,5,3,6,2,0,1314
190,4614400000000,Feather Falls Union Elementary,7,2,8,4,0,1314
191,4614570000000,Golden Feather Union Elementary,5,2,9,2,0,1314
192,4614570000000,Golden Feather Union Elementary,7,6,35,20,0,1314
193,4615150000000,Oroville Union High,1,22,101,34,2,1314
194,4615150000000,Oroville Union High,2,117,401,222,92,1314
195,4615150000000,Oroville Union High,4,1,4,1,0,1314
196,4615150000000,Oroville Union High,5,122,471,198,24,1314
197,4615150000000,Oroville Union High,6,12,56,16,0,1314
198,4615150000000,Oroville Union High,7,271,1126,474,54,1314
199,4615150000000,Oroville Union High,9,46,197,74,8,1314
200,4615310000000,Paradise Unified,1,5,19,10,0,1314
201,4615310000000,Paradise Unified,2,3,9,6,4,1314
202,4615310000000,Paradise Unified,4,1,11,2,0,1314
203,4615310000000,Paradise Unified,5,34,164,56,12,1314
204,4615310000000,Paradise Unified,6,1,12,2,0,1314
205,4615310000000,Paradise Unified,7,268,1152,478,130,1314
206,4615310000000,Paradise Unified,9,17,103,32,6,1314
207,4615320000000,Paradise Unified,5,2,345,4,0,1314
208,4615320000000,Paradise Unified,7,20,2130,30,0,1314
209,4615320000000,Paradise Unified,9,6,225,10,0,1314
210,4755070000000,Gridley Unified,0,4,36,4,0,1314
211,4755070000000,Gridley Unified,2,4,23,8,2,1314
212,4755070000000,Gridley Unified,4,1,1,1,1,1314
213,4755070000000,Gridley Unified,5,86,382,164,54,1314
214,4755070000000,Gridley Unified,6,1,4,2,2,1314
215,4755070000000,Gridley Unified,7,74,244,126,30,1314
216,5100580000000,Calaveras County Office of Education,1,2,8,2,0,1314
217,5100580000000,Calaveras County Office of Education,2,1,2,2,0,1314
218,5100580000000,Calaveras County Office of Education,3,0,3,2,0,1314
219,5100580000000,Calaveras County Office of Education,5,7,71,18,0,1314
220,5100580000000,Calaveras County Office of Education,7,53,374,114,0,1314
221,5100580000000,Calaveras County Office of Education,9,3,36,10,0,1314
222,5100590000000,Calaveras County Office of Education,5,1,9,2,0,1314
223,5100590000000,Calaveras County Office of Education,7,2,59,8,0,1314
224,5615560000000,Bret Harte Union High,1,3,16,6,2,1314
225,5615560000000,Bret Harte Union High,2,0,2,1,0,1314
226,5615560000000,Bret Harte Union High,5,30,133,60,22,1314
227,5615560000000,Bret Harte Union High,7,123,527,248,110,1314
228,5615560000000,Bret Harte Union High,9,13,43,20,10,1314
229,5615640000000,Calaveras Unified,1,3,17,6,0,1314
230,5615640000000,Calaveras Unified,2,3,6,2,0,1314
231,5615640000000,Calaveras Unified,4,4,10,8,2,1314
232,5615640000000,Calaveras Unified,5,31,154,58,22,1314
233,5615640000000,Calaveras Unified,6,3,22,10,2,1314
234,5615640000000,Calaveras Unified,7,215,877,414,132,1314
235,5615640000000,Calaveras Unified,9,2,15,4,0,1314
236,6615980000000,Colusa Unified,1,4,17,2,0,1314
237,6615980000000,Colusa Unified,5,51,261,74,4,1314
238,6615980000000,Colusa Unified,6,3,3,4,0,1314
239,6615980000000,Colusa Unified,7,47,159,80,8,1314
240,6616060000000,Maxwell Unified,1,1,2,2,0,1314
241,6616060000000,Maxwell Unified,5,11,52,24,4,1314
242,6616060000000,Maxwell Unified,7,14,52,28,6,1314
243,6616140000000,Pierce Joint Unified,3,1,3,1,0,1314
244,6616140000000,Pierce Joint Unified,5,67,297,122,38,1314
245,6616140000000,Pierce Joint Unified,7,19,98,36,8,1314
246,6616220000000,Williams Unified,1,0,3,2,0,1314
247,6616220000000,Williams Unified,5,78,780,122,18,1314
248,6616220000000,Williams Unified,6,2,6,4,0,1314
249,6616220000000,Williams Unified,7,5,63,8,0,1314
250,7100740000000,Contra Costa County Office of Education,0,5,49,8,8,1314
251,7100740000000,Contra Costa County Office of Education,1,3,18,4,4,1314
252,7100740000000,Contra Costa County Office of Education,2,46,194,90,86,1314
253,7100740000000,Contra Costa County Office of Education,3,4,27,6,6,1314
254,7100740000000,Contra Costa County Office of Education,4,21,124,40,40,1314
255,7100740000000,Contra Costa County Office of Education,5,146,1246,242,220,1314
256,7100740000000,Contra Costa County Office of Education,6,60,370,62,30,1314
257,7100740000000,Contra Costa County Office of Education,7,269,1267,470,462,1314
258,7100740000000,Contra Costa County Office of Education,9,14,84,26,26,1314
259,7616300000000,Acalanes Union High,0,7,59,8,4,1314
260,7616300000000,Acalanes Union High,1,2,8,4,2,1314
261,7616300000000,Acalanes Union High,2,176,649,338,288,1314
262,7616300000000,Acalanes Union High,3,2,13,4,4,1314
263,7616300000000,Acalanes Union High,4,28,105,58,42,1314
264,7616300000000,Acalanes Union High,5,88,403,170,98,1314
265,7616300000000,Acalanes Union High,6,26,83,52,26,1314
266,7616300000000,Acalanes Union High,7,930,3686,1852,1352,1314
267,7616300000000,Acalanes Union High,9,81,338,150,110,1314
268,7616480000000,Antioch Unified,0,1,6,2,0,1314
269,7616480000000,Antioch Unified,1,16,73,14,0,1314
270,7616480000000,Antioch Unified,2,81,548,146,98,1314
271,7616480000000,Antioch Unified,3,21,76,30,8,1314
272,7616480000000,Antioch Unified,4,88,531,168,92,1314
273,7616480000000,Antioch Unified,5,579,3252,906,228,1314
274,7616480000000,Antioch Unified,6,444,2605,586,152,1314
275,7616480000000,Antioch Unified,7,391,1967,626,216,1314
276,7616480000000,Antioch Unified,9,72,531,116,46,1314
277,7616970000000,John Swett Unified,0,1,1,2,0,1314
278,7616970000000,John Swett Unified,1,1,2,2,0,1314
279,7616970000000,John Swett Unified,2,13,55,26,10,1314
280,7616970000000,John Swett Unified,4,14,58,22,6,1314
281,7616970000000,John Swett Unified,5,44,162,72,8,1314
282,7616970000000,John Swett Unified,6,24,103,36,2,1314
283,7616970000000,John Swett Unified,7,38,121,60,4,1314
284,7616970000000,John Swett Unified,9,13,48,26,8,1314
285,7617210000000,Liberty Union High,1,17,43,18,6,1314
286,7617210000000,Liberty Union High,2,55,225,100,52,1314
287,7617210000000,Liberty Union High,3,14,53,28,8,1314
288,7617210000000,Liberty Union High,4,84,352,152,102,1314
289,7617210000000,Liberty Union High,5,657,2651,1086,366,1314
290,7617210000000,Liberty Union High,6,219,748,320,102,1314
291,7617210000000,Liberty Union High,7,933,3547,1634,764,1314
292,7617210000000,Liberty Union High,9,50,290,92,34,1314
293,7617390000000,Martinez Unified,1,2,6,2,2,1314
294,7617390000000,Martinez Unified,2,9,43,18,14,1314
295,7617390000000,Martinez Unified,3,1,10,2,0,1314
296,7617390000000,Martinez Unified,4,5,39,12,8,1314
297,7617390000000,Martinez Unified,5,84,352,154,46,1314
298,7617390000000,Martinez Unified,6,13,40,24,6,1314
299,7617390000000,Martinez Unified,7,202,738,356,168,1314
300,7617390000000,Martinez Unified,9,42,135,72,38,1314
301,7617540000000,Mt. Diablo Unified,0,8,60,6,4,1314
302,7617540000000,Mt. Diablo Unified,1,11,49,20,0,1314
303,7617540000000,Mt. Diablo Unified,2,173,775,330,140,1314
304,7617540000000,Mt. Diablo Unified,3,22,108,34,6,1314
305,7617540000000,Mt. Diablo Unified,4,119,525,230,98,1314
306,7617540000000,Mt. Diablo Unified,5,810,3461,1242,174,1314
307,7617540000000,Mt. Diablo Unified,6,120,510,182,28,1314
308,7617540000000,Mt. Diablo Unified,7,885,3494,1594,624,1314
309,7617540000000,Mt. Diablo Unified,9,21,168,32,4,1314
310,7617880000000,Pittsburg Unified,1,1,12,2,0,1314
311,7617880000000,Pittsburg Unified,2,33,146,56,18,1314
312,7617880000000,Pittsburg Unified,3,7,64,12,2,1314
313,7617880000000,Pittsburg Unified,4,37,276,70,30,1314
314,7617880000000,Pittsburg Unified,5,388,2645,696,170,1314
315,7617880000000,Pittsburg Unified,6,178,1095,304,60,1314
316,7617880000000,Pittsburg Unified,7,47,281,80,20,1314
317,7617880000000,Pittsburg Unified,9,9,60,16,4,1314
318,7617960000000,West Contra Costa Unified,1,2,13,4,2,1314
319,7617960000000,West Contra Costa Unified,2,245,919,448,286,1314
320,7617960000000,West Contra Costa Unified,3,25,86,42,10,1314
321,7617960000000,West Contra Costa Unified,4,173,610,328,176,1314
322,7617960000000,West Contra Costa Unified,5,1105,4727,1682,638,1314
323,7617960000000,West Contra Costa Unified,6,478,1997,736,248,1314
324,7617960000000,West Contra Costa Unified,7,212,829,350,156,1314
325,7617960000000,West Contra Costa Unified,9,14,63,18,4,1314
326,7618040000000,San Ramon Valley Unified,1,4,20,8,0,1314
327,7618040000000,San Ramon Valley Unified,2,519,6354,1034,882,1314
328,7618040000000,San Ramon Valley Unified,3,6,37,12,6,1314
329,7618040000000,San Ramon Valley Unified,4,73,596,154,104,1314
330,7618040000000,San Ramon Valley Unified,5,204,1211,396,152,1314
331,7618040000000,San Ramon Valley Unified,6,65,350,132,50,1314
332,7618040000000,San Ramon Valley Unified,7,1301,6351,2572,1690,1314
333,7618040000000,San Ramon Valley Unified,9,122,1075,234,160,1314
334,8100820000000,Del Norte County Office of Education,1,16,117,20,0,1314
335,8100820000000,Del Norte County Office of Education,2,2,5,2,0,1314
336,8100820000000,Del Norte County Office of Education,5,19,69,28,0,1314
337,8100820000000,Del Norte County Office of Education,6,3,5,4,0,1314
338,8100820000000,Del Norte County Office of Education,7,59,351,110,2,1314
339,8100820000000,Del Norte County Office of Education,9,2,5,2,0,1314
340,8618200000000,Del Norte County Unified,1,27,120,40,4,1314
341,8618200000000,Del Norte County Unified,2,30,96,54,20,1314
342,8618200000000,Del Norte County Unified,5,48,194,92,22,1314
343,8618200000000,Del Norte County Unified,6,3,9,6,0,1314
344,8618200000000,Del Norte County Unified,7,175,599,300,54,1314
345,8618200000000,Del Norte County Unified,9,1,7,2,0,1314
346,9100900000000,El Dorado County Office of Education,1,1,13,2,0,1314
347,9100900000000,El Dorado County Office of Education,2,1,3,2,0,1314
348,9100900000000,El Dorado County Office of Education,3,2,3,2,0,1314
349,9100900000000,El Dorado County Office of Education,5,42,208,102,0,1314
350,9100900000000,El Dorado County Office of Education,6,12,38,42,0,1314
351,9100900000000,El Dorado County Office of Education,7,58,519,94,0,1314
352,9100900000000,El Dorado County Office of Education,9,3,46,4,0,1314
353,9618530000000,El Dorado Union High,0,14,17,26,10,1314
354,9618530000000,El Dorado Union High,1,20,64,36,12,1314
355,9618530000000,El Dorado Union High,2,56,250,110,90,1314
356,9618530000000,El Dorado Union High,3,7,25,12,8,1314
357,9618530000000,El Dorado Union High,4,13,48,26,16,1314
358,9618530000000,El Dorado Union High,5,192,840,348,162,1314
359,9618530000000,El Dorado Union High,6,24,85,46,20,1314
360,9618530000000,El Dorado Union High,7,1353,5020,2560,1380,1314
361,9618530000000,El Dorado Union High,9,45,498,88,42,1314
362,9619030000000,Lake Tahoe Unified,1,4,12,10,8,1314
363,9619030000000,Lake Tahoe Unified,2,9,28,20,16,1314
364,9619030000000,Lake Tahoe Unified,3,1,3,2,0,1314
365,9619030000000,Lake Tahoe Unified,4,16,57,30,24,1314
366,9619030000000,Lake Tahoe Unified,5,116,487,188,46,1314
367,9619030000000,Lake Tahoe Unified,6,5,18,10,2,1314
368,9619030000000,Lake Tahoe Unified,7,147,917,274,136,1314
369,9619030000000,Lake Tahoe Unified,9,2,22,4,0,1314
370,9737830000000,Black Oak Mine Unified,1,4,18,8,0,1314
371,9737830000000,Black Oak Mine Unified,2,2,6,4,2,1314
372,9737830000000,Black Oak Mine Unified,4,1,5,1,1,1314
373,9737830000000,Black Oak Mine Unified,5,5,58,10,2,1314
374,9737830000000,Black Oak Mine Unified,6,2,7,2,0,1314
375,9737830000000,Black Oak Mine Unified,7,120,694,232,42,1314
376,10101100000000,Fresno County Office of Education,0,5,16,2,0,1314
377,10101100000000,Fresno County Office of Education,2,42,153,42,0,1314
378,10101100000000,Fresno County Office of Education,5,236,1402,80,6,1314
379,10101100000000,Fresno County Office of Education,6,42,352,28,4,1314
380,10101100000000,Fresno County Office of Education,7,77,337,42,6,1314
381,10621200000000,Clovis Unified,0,1,69,2,0,1314
382,10621200000000,Clovis Unified,1,26,289,36,12,1314
383,10621200000000,Clovis Unified,2,430,5178,788,574,1314
384,10621200000000,Clovis Unified,3,8,111,12,6,1314
385,10621200000000,Clovis Unified,4,57,764,102,64,1314
