,CDS_CODE,DISTRICT,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,Year
0,1100170000000,Alameda County Office of Education,1,1,16,4,2,1516
1,1100170000000,Alameda County Office of Education,2,9,201,12,2,1516
2,1100170000000,Alameda County Office of Education,3,4,8,4,0,1516
3,1100170000000,Alameda County Office of Education,4,2,19,2,0,1516
4,1100170000000,Alameda County Office of Education,5,117,627,226,80,1516
5,1100170000000,Alameda County Office of Education,6,113,418,166,70,1516
6,1100170000000,Alameda County Office of Education,7,11,187,18,2,1516
7,1100170000000,Alameda County Office of Education,9,5,178,10,6,1516
8,1316170000000,California School for the Deaf-Fremont (State Spec,2,4,27,4,0,1516
9,1316170000000,California School for the Deaf-Fremont (State Spec,4,4,17,2,0,1516
10,1316170000000,California School for the Deaf-Fremont (State Spec,5,45,190,36,0,1516
11,1316170000000,California School for the Deaf-Fremont (State Spec,6,12,34,6,0,1516
12,1316170000000,California School for the Deaf-Fremont (State Spec,7,15,105,24,0,1516
13,1316170000000,California School for the Deaf-Fremont (State Spec,9,2,17,2,0,1516
14,1611190000000,Alameda Unified,1,1,23,2,2,1516
15,1611190000000,Alameda Unified,2,287,1460,528,330,1516
16,1611190000000,Alameda Unified,3,12,62,18,4,1516
17,1611190000000,Alameda Unified,4,61,461,116,70,1516
18,1611190000000,Alameda Unified,5,148,1079,234,108,1516
19,1611190000000,Alameda Unified,6,97,700,150,48,1516
20,1611190000000,Alameda Unified,7,217,1671,408,228,1516
21,1611190000000,Alameda Unified,9,33,388,56,32,1516
22,1611270000000,Albany City Unified,2,88,348,180,122,1516
23,1611270000000,Albany City Unified,3,1,4,2,2,1516
24,1611270000000,Albany City Unified,4,5,22,8,4,1516
25,1611270000000,Albany City Unified,5,49,209,94,42,1516
26,1611270000000,Albany City Unified,6,21,64,38,10,1516
27,1611270000000,Albany City Unified,7,109,452,208,150,1516
28,1611270000000,Albany City Unified,9,27,127,54,34,1516
29,1611430000000,Berkeley Unified,0,2,14,4,2,1516
30,1611430000000,Berkeley Unified,1,3,11,4,0,1516
31,1611430000000,Berkeley Unified,2,71,284,142,94,1516
32,1611430000000,Berkeley Unified,3,4,9,8,4,1516
33,1611430000000,Berkeley Unified,4,6,32,12,12,1516
34,1611430000000,Berkeley Unified,5,248,1090,436,280,1516
35,1611430000000,Berkeley Unified,6,198,756,346,122,1516
36,1611430000000,Berkeley Unified,7,310,1291,582,498,1516
37,1611430000000,Berkeley Unified,9,80,383,142,108,1516
38,1611500000000,Castro Valley Unified,0,3,15,6,2,1516
39,1611500000000,Castro Valley Unified,1,2,11,4,0,1516
40,1611500000000,Castro Valley Unified,2,192,774,374,276,1516
41,1611500000000,Castro Valley Unified,3,5,14,10,2,1516
42,1611500000000,Castro Valley Unified,4,37,145,74,52,1516
43,1611500000000,Castro Valley Unified,5,179,729,320,104,1516
44,1611500000000,Castro Valley Unified,6,70,246,130,66,1516
45,1611500000000,Castro Valley Unified,7,241,918,466,248,1516
46,1611500000000,Castro Valley Unified,9,60,253,114,52,1516
47,1611680000000,Emery Unified,2,6,20,12,4,1516
48,1611680000000,Emery Unified,3,1,2,1,0,1516
49,1611680000000,Emery Unified,5,8,31,16,4,1516
50,1611680000000,Emery Unified,6,33,105,58,14,1516
51,1611680000000,Emery Unified,7,2,11,2,1,1516
52,1611760000000,Fremont Unified,1,10,31,20,4,1516
53,1611760000000,Fremont Unified,2,1328,5521,2554,2124,1516
54,1611760000000,Fremont Unified,3,13,74,30,16,1516
55,1611760000000,Fremont Unified,4,173,711,330,200,1516
56,1611760000000,Fremont Unified,5,423,1583,682,228,1516
57,1611760000000,Fremont Unified,6,96,351,168,52,1516
58,1611760000000,Fremont Unified,7,467,1770,850,458,1516
59,1611760000000,Fremont Unified,9,38,198,68,30,1516
60,1611920000000,Hayward Unified,0,8,103,10,6,1516
61,1611920000000,Hayward Unified,1,4,23,6,0,1516
62,1611920000000,Hayward Unified,2,131,655,256,198,1516
63,1611920000000,Hayward Unified,3,58,250,102,46,1516
64,1611920000000,Hayward Unified,4,147,658,278,176,1516
65,1611920000000,Hayward Unified,5,858,4418,1434,640,1516
66,1611920000000,Hayward Unified,6,174,850,290,104,1516
67,1611920000000,Hayward Unified,7,91,678,140,64,1516
68,1611920000000,Hayward Unified,9,19,168,32,22,1516
69,1612000000000,Livermore Valley Joint Unified,0,4,92,8,6,1516
70,1612000000000,Livermore Valley Joint Unified,1,3,13,6,4,1516
71,1612000000000,Livermore Valley Joint Unified,2,70,386,136,106,1516
72,1612000000000,Livermore Valley Joint Unified,3,5,22,10,2,1516
73,1612000000000,Livermore Valley Joint Unified,4,37,167,72,48,1516
74,1612000000000,Livermore Valley Joint Unified,5,279,1447,518,202,1516
75,1612000000000,Livermore Valley Joint Unified,6,16,86,28,6,1516
76,1612000000000,Livermore Valley Joint Unified,7,590,3008,1168,728,1516
77,1612000000000,Livermore Valley Joint Unified,9,72,413,140,90,1516
78,1612340000000,Newark Unified,1,2,7,6,0,1516
79,1612340000000,Newark Unified,2,71,232,140,70,1516
80,1612340000000,Newark Unified,3,8,36,16,2,1516
81,1612340000000,Newark Unified,4,49,193,94,52,1516
82,1612340000000,Newark Unified,5,252,954,472,106,1516
83,1612340000000,Newark Unified,6,33,102,58,10,1516
84,1612340000000,Newark Unified,7,92,307,170,60,1516
85,1612340000000,Newark Unified,9,10,56,20,8,1516
86,1612420000000,New Haven Unified,1,1,10,2,0,1516
87,1612420000000,New Haven Unified,2,235,860,426,292,1516
88,1612420000000,New Haven Unified,3,37,133,58,38,1516
89,1612420000000,New Haven Unified,4,242,874,430,286,1516
90,1612420000000,New Haven Unified,5,398,1483,590,218,1516
91,1612420000000,New Haven Unified,6,97,323,146,58,1516
92,1612420000000,New Haven Unified,7,81,254,110,54,1516
93,1612420000000,New Haven Unified,9,41,188,68,44,1516
94,1612590000000,Oakland Unified,0,35,538,58,30,1516
95,1612590000000,Oakland Unified,1,7,73,6,4,1516
96,1612590000000,Oakland Unified,2,425,2797,696,502,1516
97,1612590000000,Oakland Unified,3,28,265,38,14,1516
98,1612590000000,Oakland Unified,4,32,233,54,40,1516
99,1612590000000,Oakland Unified,5,1331,13462,1984,1386,1516
100,1612590000000,Oakland Unified,6,832,6904,1140,456,1516
101,1612590000000,Oakland Unified,7,215,1554,398,308,1516
102,1612590000000,Oakland Unified,9,44,539,70,50,1516
103,1612600000000,Oakland Unified,0,2,307,4,0,1516
104,1612600000000,Oakland Unified,2,2,3485,4,0,1516
105,1612600000000,Oakland Unified,4,1,226,2,0,1516
106,1612600000000,Oakland Unified,5,28,8386,24,0,1516
107,1612600000000,Oakland Unified,6,26,5747,24,0,1516
108,1612600000000,Oakland Unified,7,8,3186,4,0,1516
109,1612750000000,Piedmont City Unified,2,29,136,58,56,1516
110,1612750000000,Piedmont City Unified,4,5,15,10,8,1516
111,1612750000000,Piedmont City Unified,5,6,40,12,10,1516
112,1612750000000,Piedmont City Unified,6,10,33,20,14,1516
113,1612750000000,Piedmont City Unified,7,155,597,312,272,1516
114,1612750000000,Piedmont City Unified,9,3,60,6,6,1516
115,1612910000000,San Leandro Unified,0,3,5,2,0,1516
116,1612910000000,San Leandro Unified,1,4,7,6,2,1516
117,1612910000000,San Leandro Unified,2,90,405,154,82,1516
118,1612910000000,San Leandro Unified,3,12,45,22,6,1516
119,1612910000000,San Leandro Unified,4,67,230,118,54,1516
120,1612910000000,San Leandro Unified,5,324,1239,582,170,1516
121,1612910000000,San Leandro Unified,6,111,497,206,52,1516
122,1612910000000,San Leandro Unified,7,67,248,114,38,1516
123,1612910000000,San Leandro Unified,9,21,69,36,12,1516
124,1613090000000,San Lorenzo Unified,1,5,16,10,4,1516
125,1613090000000,San Lorenzo Unified,2,150,726,292,208,1516
126,1613090000000,San Lorenzo Unified,3,9,51,14,6,1516
127,1613090000000,San Lorenzo Unified,4,74,341,148,82,1516
128,1613090000000,San Lorenzo Unified,5,505,2347,912,354,1516
129,1613090000000,San Lorenzo Unified,6,121,568,202,64,1516
130,1613090000000,San Lorenzo Unified,7,95,432,172,64,1516
131,1613090000000,San Lorenzo Unified,9,15,56,24,10,1516
132,1750930000000,Dublin Unified,1,2,12,4,2,1516
133,1750930000000,Dublin Unified,2,136,3156,262,242,1516
134,1750930000000,Dublin Unified,3,3,17,6,4,1516
135,1750930000000,Dublin Unified,4,54,417,108,72,1516
136,1750930000000,Dublin Unified,5,97,586,190,86,1516
137,1750930000000,Dublin Unified,6,37,236,70,30,1516
138,1750930000000,Dublin Unified,7,162,1302,324,224,1516
139,1750930000000,Dublin Unified,9,32,451,64,42,1516
140,1751010000000,Pleasanton Unified,1,2,11,4,4,1516
141,1751010000000,Pleasanton Unified,2,351,1569,694,654,1516
142,1751010000000,Pleasanton Unified,3,5,14,10,8,1516
