,CDS_CODE,District_Code,Function_Code,Function,Amount,Year
586,12629760000000,62976,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,52072.72000000001,1415
587,12629760000000,62976,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,170225.09,1415
588,12629760000000,62976,9200,Accounts Receivable                                                                                                                                                                                                                                       ,104870.9,1415
589,12629840000000,62984,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,8473.270000000002,1415
590,12629840000000,62984,9200,Accounts Receivable                                                                                                                                                                                                                                       ,371.0,1415
591,12630080000000,63008,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,9545.629999999996,1415
592,12630080000000,63008,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2735.92,1415
593,12630080000000,63008,9200,Accounts Receivable                                                                                                                                                                                                                                       ,137992.12,1415
594,12630240000000,63024,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1177.0,1415
595,12630240000000,63024,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,138238.13,1415
596,12630240000000,63024,9200,Accounts Receivable                                                                                                                                                                                                                                       ,31007.95,1415
597,12630320000000,63032,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,9599.43,1415
598,12630320000000,63032,5900,Communications                                                                                                                                                                                                                                            ,68025.15,1415
599,12630320000000,63032,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,39462.05,1415
600,12630320000000,63032,9200,Accounts Receivable                                                                                                                                                                                                                                       ,225575.83,1415
601,12630400000000,63040,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,44182.35000000001,1415
602,12630400000000,63040,5100,Subagreements for Services                                                                                                                                                                                                                                ,137641.38,1415
603,12630400000000,63040,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,432250.15,1415
604,12630400000000,63040,9200,Accounts Receivable                                                                                                                                                                                                                                       ,62004.0,1415
605,12630570000000,63057,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,4090.98,1415
606,12630570000000,63057,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,68203.37,1415
607,12630570000000,63057,9200,Accounts Receivable                                                                                                                                                                                                                                       ,111992.33,1415
608,12753740000000,75374,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,68096.48999999999,1415
609,12753740000000,75374,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,426515.16,1415
610,12753740000000,75374,9200,Accounts Receivable                                                                                                                                                                                                                                       ,287611.53,1415
