,CDS_CODE,DISTRICT,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,Year
88,1612420000000,New Haven Unified,4,254,901,438,284,1415
89,1612420000000,New Haven Unified,5,394,1504,586,230,1415
90,1612420000000,New Haven Unified,6,84,341,130,70,1415
91,1612420000000,New Haven Unified,7,86,275,134,70,1415
92,1612420000000,New Haven Unified,9,31,170,58,32,1415
93,1612590000000,Oakland Unified,0,29,505,42,28,1415
94,1612590000000,Oakland Unified,1,15,75,14,4,1415
95,1612590000000,Oakland Unified,2,464,2743,764,508,1415
96,1612590000000,Oakland Unified,3,44,290,56,24,1415
97,1612590000000,Oakland Unified,4,27,227,42,20,1415
98,1612590000000,Oakland Unified,5,1190,12931,1826,1130,1415
99,1612590000000,Oakland Unified,6,889,6722,1250,462,1415
100,1612590000000,Oakland Unified,7,210,1452,364,286,1415
101,1612590000000,Oakland Unified,9,44,413,80,64,1415
102,1612600000000,Oakland Unified,2,3,3496,2,0,1415
103,1612600000000,Oakland Unified,4,2,220,2,0,1415
104,1612600000000,Oakland Unified,5,26,8108,12,0,1415
105,1612600000000,Oakland Unified,6,25,6117,20,4,1415
106,1612750000000,Piedmont City Unified,1,1,1,1,1,1415
107,1612750000000,Piedmont City Unified,2,40,139,80,78,1415
108,1612750000000,Piedmont City Unified,4,2,15,4,4,1415
109,1612750000000,Piedmont City Unified,5,9,32,18,16,1415
110,1612750000000,Piedmont City Unified,6,7,26,14,10,1415
111,1612750000000,Piedmont City Unified,7,166,608,328,300,1415
112,1612750000000,Piedmont City Unified,9,4,46,8,4,1415
113,1612910000000,San Leandro Unified,2,123,395,220,150,1415
114,1612910000000,San Leandro Unified,3,10,49,14,4,1415
115,1612910000000,San Leandro Unified,4,67,241,110,64,1415
116,1612910000000,San Leandro Unified,5,345,1265,582,148,1415
117,1612910000000,San Leandro Unified,6,121,497,204,46,1415
118,1612910000000,San Leandro Unified,7,71,253,110,40,1415
119,1612910000000,San Leandro Unified,9,13,49,24,4,1415
120,1613090000000,San Lorenzo Unified,0,2,114,4,2,1415
121,1613090000000,San Lorenzo Unified,1,2,12,4,2,1415
122,1613090000000,San Lorenzo Unified,2,145,683,290,188,1415
123,1613090000000,San Lorenzo Unified,3,21,66,40,10,1415
124,1613090000000,San Lorenzo Unified,4,83,330,168,80,1415
125,1613090000000,San Lorenzo Unified,5,529,2235,1034,364,1415
126,1613090000000,San Lorenzo Unified,6,154,577,300,112,1415
127,1613090000000,San Lorenzo Unified,7,115,443,214,74,1415
128,1613090000000,San Lorenzo Unified,9,17,61,28,14,1415
129,1750930000000,Dublin Unified,0,1,26,2,2,1415
130,1750930000000,Dublin Unified,1,2,10,8,8,1415
131,1750930000000,Dublin Unified,2,116,2556,232,178,1415
132,1750930000000,Dublin Unified,3,3,22,6,2,1415
133,1750930000000,Dublin Unified,4,35,387,72,48,1415
134,1750930000000,Dublin Unified,5,97,569,182,88,1415
135,1750930000000,Dublin Unified,6,42,242,90,44,1415
136,1750930000000,Dublin Unified,7,184,1312,364,226,1415
137,1750930000000,Dublin Unified,9,18,286,20,12,1415
138,1751010000000,Pleasanton Unified,1,12,24,22,8,1415
139,1751010000000,Pleasanton Unified,2,374,1531,748,606,1415
140,1751010000000,Pleasanton Unified,3,6,16,12,6,1415
141,1751010000000,Pleasanton Unified,4,32,126,62,40,1415
142,1751010000000,Pleasanton Unified,5,138,476,234,102,1415
143,1751010000000,Pleasanton Unified,6,35,113,58,30,1415
144,1751010000000,Pleasanton Unified,7,647,2507,1234,710,1415
145,1751010000000,Pleasanton Unified,9,26,115,48,24,1415
146,1766530000000,SBE - Livermore Valley Charter Preparatory High,0,1,6,1,1,1415
147,1766530000000,SBE - Livermore Valley Charter Preparatory High,2,12,40,24,24,1415
148,1766530000000,SBE - Livermore Valley Charter Preparatory High,4,3,11,6,6,1415
149,1766530000000,SBE - Livermore Valley Charter Preparatory High,5,22,79,44,44,1415
150,1766530000000,SBE - Livermore Valley Charter Preparatory High,6,2,10,4,4,1415
151,1766530000000,SBE - Livermore Valley Charter Preparatory High,7,64,238,126,124,1415
152,1766530000000,SBE - Livermore Valley Charter Preparatory High,9,3,21,8,8,1415
153,2100250000000,Alpine County Office of Education,1,4,6,2,0,1415
154,3100330000000,Amador County Office of Education,7,13,132,4,0,1415
155,3739810000000,Amador County Unified,0,5,26,8,0,1415
156,3739810000000,Amador County Unified,1,14,38,20,2,1415
157,3739810000000,Amador County Unified,2,4,9,6,2,1415
158,3739810000000,Amador County Unified,3,1,5,2,0,1415
159,3739810000000,Amador County Unified,4,2,9,4,2,1415
160,3739810000000,Amador County Unified,5,43,232,78,24,1415
161,3739810000000,Amador County Unified,6,1,2,1,0,1415
162,3739810000000,Amador County Unified,7,236,919,436,104,1415
163,3739810000000,Amador County Unified,9,11,57,20,0,1415
164,4100410000000,Butte County Office of Education,1,3,39,2,0,1415
165,4100410000000,Butte County Office of Education,2,1,9,2,0,1415
166,4100410000000,Butte County Office of Education,5,28,212,54,4,1415
167,4100410000000,Butte County Office of Education,6,3,16,6,0,1415
168,4100410000000,Butte County Office of Education,7,120,727,228,42,1415
169,4100410000000,Butte County Office of Education,9,7,25,8,0,1415
170,4100420000000,Butte County Office of Education,1,0,1,1,0,1415
171,4614080000000,Biggs Unified,2,0,1,1,0,1415
172,4614080000000,Biggs Unified,5,19,56,24,4,1415
173,4614080000000,Biggs Unified,6,1,3,2,0,1415
174,4614080000000,Biggs Unified,7,17,88,32,10,1415
175,4614240000000,Chico Unified,0,23,65,18,0,1415
176,4614240000000,Chico Unified,1,15,83,32,4,1415
177,4614240000000,Chico Unified,2,87,292,168,74,1415
178,4614240000000,Chico Unified,3,3,31,6,2,1415
179,4614240000000,Chico Unified,4,10,37,20,10,1415
180,4614240000000,Chico Unified,5,219,1005,428,90,1415
181,4614240000000,Chico Unified,6,34,156,72,10,1415
182,4614240000000,Chico Unified,7,681,3163,1278,604,1415
183,4614240000000,Chico Unified,9,22,132,38,4,1415
184,4614320000000,Durham Unified,1,0,4,1,0,1415
185,4614320000000,Durham Unified,5,22,63,40,6,1415
186,4614320000000,Durham Unified,7,53,220,100,50,1415
187,4614320000000,Durham Unified,9,1,3,1,1,1415
188,4614400000000,Feather Falls Union Elementary,1,3,9,6,0,1415
189,4614400000000,Feather Falls Union Elementary,5,3,7,4,0,1415
190,4614400000000,Feather Falls Union Elementary,7,7,20,6,0,1415
191,4614400000000,Feather Falls Union Elementary,9,1,2,1,0,1415
192,4614570000000,Golden Feather Union Elementary,0,1,3,1,0,1415
193,4614570000000,Golden Feather Union Elementary,5,2,13,6,0,1415
194,4614570000000,Golden Feather Union Elementary,7,8,37,12,0,1415
195,4615150000000,Oroville Union High,1,21,113,24,2,1415
196,4615150000000,Oroville Union High,2,90,347,176,84,1415
197,4615150000000,Oroville Union High,3,2,6,4,0,1415
198,4615150000000,Oroville Union High,4,1,8,2,0,1415
199,4615150000000,Oroville Union High,5,124,461,204,24,1415
200,4615150000000,Oroville Union High,6,15,61,16,0,1415
201,4615150000000,Oroville Union High,7,250,1097,424,60,1415
202,4615150000000,Oroville Union High,9,38,179,62,6,1415
203,4615310000000,Paradise Unified,1,3,17,4,0,1415
204,4615310000000,Paradise Unified,2,2,16,4,0,1415
205,4615310000000,Paradise Unified,4,3,12,6,2,1415
206,4615310000000,Paradise Unified,5,34,158,48,14,1415
207,4615310000000,Paradise Unified,6,5,16,6,0,1415
208,4615310000000,Paradise Unified,7,239,1162,416,76,1415
209,4615310000000,Paradise Unified,9,13,104,30,4,1415
210,4615320000000,Paradise Unified,5,4,368,2,0,1415
211,4615320000000,Paradise Unified,7,15,2102,20,0,1415
212,4615320000000,Paradise Unified,9,2,229,2,0,1415
213,4755070000000,Gridley Unified,0,4,18,4,0,1415
214,4755070000000,Gridley Unified,2,9,21,18,12,1415
215,4755070000000,Gridley Unified,5,91,368,150,30,1415
216,4755070000000,Gridley Unified,6,2,3,1,0,1415
217,4755070000000,Gridley Unified,7,56,226,108,20,1415
218,4755070000000,Gridley Unified,9,1,3,1,0,1415
219,5100580000000,Calaveras County Office of Education,2,2,2,2,0,1415
220,5100580000000,Calaveras County Office of Education,3,1,2,2,0,1415
221,5100580000000,Calaveras County Office of Education,5,14,77,36,0,1415
222,5100580000000,Calaveras County Office of Education,7,53,367,108,2,1415
223,5100580000000,Calaveras County Office of Education,9,3,50,10,0,1415
224,5100590000000,Calaveras County Office of Education,1,1,2,1,0,1415
225,5100590000000,Calaveras County Office of Education,2,1,1,1,0,1415
226,5100590000000,Calaveras County Office of Education,5,4,9,8,0,1415
227,5100590000000,Calaveras County Office of Education,6,1,4,1,0,1415
228,5100590000000,Calaveras County Office of Education,7,1,35,6,0,1415
229,5615560000000,Bret Harte Union High,1,4,17,8,4,1415
230,5615560000000,Bret Harte Union High,2,2,4,2,0,1415
231,5615560000000,Bret Harte Union High,5,26,142,46,18,1415
232,5615560000000,Bret Harte Union High,6,1,5,2,0,1415
233,5615560000000,Bret Harte Union High,7,139,516,278,116,1415
234,5615560000000,Bret Harte Union High,9,10,36,20,6,1415
235,5615640000000,Calaveras Unified,1,6,23,10,0,1415
236,5615640000000,Calaveras Unified,2,2,7,4,0,1415
237,5615640000000,Calaveras Unified,3,2,4,4,0,1415
238,5615640000000,Calaveras Unified,4,3,8,6,4,1415
239,5615640000000,Calaveras Unified,5,41,146,90,10,1415
240,5615640000000,Calaveras Unified,6,4,14,10,0,1415
241,5615640000000,Calaveras Unified,7,206,850,420,94,1415
242,5615640000000,Calaveras Unified,9,7,22,14,2,1415
243,6615980000000,Colusa Unified,1,5,19,4,2,1415
244,6615980000000,Colusa Unified,2,1,4,2,2,1415
245,6615980000000,Colusa Unified,5,75,277,120,28,1415
246,6615980000000,Colusa Unified,7,26,160,54,30,1415
247,6616060000000,Maxwell Unified,5,14,49,26,8,1415
248,6616060000000,Maxwell Unified,7,9,49,18,2,1415
249,6616060000000,Maxwell Unified,9,1,2,2,0,1415
250,6616140000000,Pierce Joint Unified,3,1,2,1,0,1415
251,6616140000000,Pierce Joint Unified,4,1,2,2,0,1415
252,6616140000000,Pierce Joint Unified,5,61,321,114,30,1415
253,6616140000000,Pierce Joint Unified,7,24,103,48,12,1415
254,6616220000000,Williams Unified,2,4,15,8,4,1415
255,6616220000000,Williams Unified,5,84,810,160,38,1415
256,6616220000000,Williams Unified,7,13,59,26,8,1415
257,7100740000000,Contra Costa County Office of Education,0,2,33,4,4,1415
258,7100740000000,Contra Costa County Office of Education,1,3,16,2,2,1415
259,7100740000000,Contra Costa County Office of Education,2,28,171,50,42,1415
260,7100740000000,Contra Costa County Office of Education,3,6,28,12,2,1415
261,7100740000000,Contra Costa County Office of Education,4,22,127,38,26,1415
262,7100740000000,Contra Costa County Office of Education,5,171,1560,286,148,1415
263,7100740000000,Contra Costa County Office of Education,6,81,373,112,32,1415
264,7100740000000,Contra Costa County Office of Education,7,295,1251,534,306,1415
265,7100740000000,Contra Costa County Office of Education,9,11,137,24,6,1415
266,7616300000000,Acalanes Union High,0,5,42,8,8,1415
267,7616300000000,Acalanes Union High,1,2,9,4,2,1415
268,7616300000000,Acalanes Union High,2,175,688,342,272,1415
269,7616300000000,Acalanes Union High,3,2,17,4,4,1415
270,7616300000000,Acalanes Union High,4,22,106,44,30,1415
271,7616300000000,Acalanes Union High,5,121,461,230,142,1415
272,7616300000000,Acalanes Union High,6,15,81,28,16,1415
273,7616300000000,Acalanes Union High,7,839,3664,1626,1232,1415
274,7616300000000,Acalanes Union High,9,70,334,142,112,1415
275,7616480000000,Antioch Unified,0,0,1,4,0,1415
276,7616480000000,Antioch Unified,1,15,71,34,6,1415
277,7616480000000,Antioch Unified,2,73,534,146,92,1415
278,7616480000000,Antioch Unified,3,16,96,18,4,1415
279,7616480000000,Antioch Unified,4,104,536,210,118,1415
280,7616480000000,Antioch Unified,5,596,3335,1042,296,1415
281,7616480000000,Antioch Unified,6,433,2621,640,106,1415
282,7616480000000,Antioch Unified,7,365,1816,624,246,1415
283,7616480000000,Antioch Unified,9,79,474,126,48,1415
284,7616630000000,Byron Union Elementary,2,2,12,4,2,1415
285,7616630000000,Byron Union Elementary,5,27,104,36,2,1415
286,7616630000000,Byron Union Elementary,7,15,230,30,18,1415
287,7616630000000,Byron Union Elementary,9,2,10,4,2,1415
288,7616970000000,John Swett Unified,1,0,1,1,0,1415
289,7616970000000,John Swett Unified,2,7,66,18,2,1415
290,7616970000000,John Swett Unified,3,2,6,4,0,1415
291,7616970000000,John Swett Unified,4,13,64,26,12,1415
292,7616970000000,John Swett Unified,5,37,171,72,10,1415
293,7616970000000,John Swett Unified,6,23,108,46,6,1415
294,7616970000000,John Swett Unified,7,26,118,44,4,1415
295,7616970000000,John Swett Unified,9,10,49,20,10,1415
