,CDS_CODE,DISTRICT,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,Year
0,1100170000000,Alameda County Office of Education,0,2,35,6,2,1213
1,1100170000000,Alameda County Office of Education,1,2,24,2,2,1213
2,1100170000000,Alameda County Office of Education,2,13,369,30,22,1213
3,1100170000000,Alameda County Office of Education,3,5,44,6,2,1213
4,1100170000000,Alameda County Office of Education,4,1,54,14,2,1213
5,1100170000000,Alameda County Office of Education,5,116,916,186,82,1213
6,1100170000000,Alameda County Office of Education,6,102,707,154,90,1213
7,1100170000000,Alameda County Office of Education,7,51,898,100,36,1213
8,1100170000000,Alameda County Office of Education,9,12,128,12,6,1213
9,1316170000000,California School for the Deaf-Fremont (State Spec,2,2,26,2,0,1213
10,1316170000000,California School for the Deaf-Fremont (State Spec,4,4,14,2,0,1213
11,1316170000000,California School for the Deaf-Fremont (State Spec,5,22,179,32,0,1213
12,1316170000000,California School for the Deaf-Fremont (State Spec,6,4,35,2,0,1213
13,1316170000000,California School for the Deaf-Fremont (State Spec,7,19,137,26,0,1213
14,1611190000000,Alameda Unified,1,3,21,6,4,1213
15,1611190000000,Alameda Unified,2,325,1506,602,392,1213
16,1611190000000,Alameda Unified,3,7,69,10,4,1213
17,1611190000000,Alameda Unified,4,84,479,154,60,1213
18,1611190000000,Alameda Unified,5,144,952,224,84,1213
19,1611190000000,Alameda Unified,6,114,862,164,30,1213
20,1611190000000,Alameda Unified,7,264,1480,478,270,1213
21,1611190000000,Alameda Unified,9,11,223,16,8,1213
22,1611270000000,Albany City Unified,2,108,388,214,114,1213
23,1611270000000,Albany City Unified,3,1,3,1,0,1213
24,1611270000000,Albany City Unified,4,3,15,6,2,1213
25,1611270000000,Albany City Unified,5,47,218,92,14,1213
26,1611270000000,Albany City Unified,6,22,78,38,12,1213
27,1611270000000,Albany City Unified,7,96,389,196,74,1213
28,1611270000000,Albany City Unified,9,29,116,58,26,1213
29,1611430000000,Berkeley Unified,2,87,294,164,82,1213
30,1611430000000,Berkeley Unified,4,6,24,16,2,1213
31,1611430000000,Berkeley Unified,5,178,948,322,114,1213
32,1611430000000,Berkeley Unified,6,227,845,380,70,1213
33,1611430000000,Berkeley Unified,7,296,1212,572,426,1213
34,1611430000000,Berkeley Unified,9,72,320,118,72,1213
35,1611500000000,Castro Valley Unified,0,7,23,6,4,1213
36,1611500000000,Castro Valley Unified,1,2,9,4,2,1213
37,1611500000000,Castro Valley Unified,2,171,727,334,264,1213
38,1611500000000,Castro Valley Unified,3,4,18,6,4,1213
39,1611500000000,Castro Valley Unified,4,27,88,56,36,1213
40,1611500000000,Castro Valley Unified,5,186,736,340,134,1213
41,1611500000000,Castro Valley Unified,6,54,241,100,30,1213
42,1611500000000,Castro Valley Unified,7,255,1001,480,258,1213
43,1611500000000,Castro Valley Unified,9,78,305,156,80,1213
44,1611680000000,Emery Unified,2,7,23,14,6,1213
45,1611680000000,Emery Unified,5,10,49,14,8,1213
46,1611680000000,Emery Unified,6,29,139,42,6,1213
47,1611680000000,Emery Unified,9,1,1,1,1,1213
48,1611760000000,Fremont Unified,1,13,50,20,6,1213
49,1611760000000,Fremont Unified,2,1243,5121,2402,1936,1213
50,1611760000000,Fremont Unified,3,20,75,38,18,1213
51,1611760000000,Fremont Unified,4,145,646,268,124,1213
52,1611760000000,Fremont Unified,5,376,1609,674,200,1213
53,1611760000000,Fremont Unified,6,96,457,154,34,1213
54,1611760000000,Fremont Unified,7,526,2090,984,496,1213
55,1611760000000,Fremont Unified,9,49,196,90,44,1213
56,1611920000000,Hayward Unified,1,11,41,18,8,1213
57,1611920000000,Hayward Unified,2,123,623,212,152,1213
58,1611920000000,Hayward Unified,3,85,288,148,70,1213
59,1611920000000,Hayward Unified,4,121,587,226,146,1213
60,1611920000000,Hayward Unified,5,767,3605,1234,516,1213
61,1611920000000,Hayward Unified,6,244,1042,390,114,1213
62,1611920000000,Hayward Unified,7,135,585,216,116,1213
63,1611920000000,Hayward Unified,9,28,165,46,26,1213
64,1612000000000,Livermore Valley Joint Unified,0,1,6,2,0,1213
65,1612000000000,Livermore Valley Joint Unified,1,7,21,14,8,1213
66,1612000000000,Livermore Valley Joint Unified,2,58,215,108,72,1213
67,1612000000000,Livermore Valley Joint Unified,3,4,13,8,4,1213
