,CDS_CODE,District_Code,Function_Code,Function,Amount,Year
0,1100170000000,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,11704762.379999993,1516
1,1100170000000,10017,5400,Insurance                                                                                                                                                                                                                                                 ,2487.98,1516
2,1100170000000,10017,5900,Communications                                                                                                                                                                                                                                            ,783162.85,1516
3,1100170000000,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248270.85,1516
4,1100170000000,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,5172564.52,1516
5,1404020000000,40402,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,392308.5,1516
6,1404100000000,40410,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,649847.03,1516
7,1404280000000,40428,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,231908.27,1516
8,1404280000000,40428,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,7182447.04,1516
9,1611190000000,61119,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3921451.559999997,1516
10,1611190000000,61119,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,773211.6099999999,1516
11,1611190000000,61119,9200,Accounts Receivable                                                                                                                                                                                                                                       ,583815.26,1516
12,1611270000000,61127,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3208053.01,1516
13,1611270000000,61127,2200,Classified Support Salaries                                                                                                                                                                                                                               ,479468.32000000007,1516
14,1611270000000,61127,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,21437.840000000007,1516
15,1611270000000,61127,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,398701.83,1516
16,1611270000000,61127,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2570832.220000001,1516
17,1611270000000,61127,9200,Accounts Receivable                                                                                                                                                                                                                                       ,17070043.0,1516
18,1611430000000,61143,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,9972193.080000006,1516
19,1611430000000,61143,9200,Accounts Receivable                                                                                                                                                                                                                                       ,822.0,1516
20,1611500000000,61150,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5255446.160000001,1516
21,1611500000000,61150,2200,Classified Support Salaries                                                                                                                                                                                                                               ,222068.06000000003,1516
22,1611500000000,61150,9200,Accounts Receivable                                                                                                                                                                                                                                       ,26726791.04,1516
23,1611680000000,61168,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,658577.84,1516
24,1611680000000,61168,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,85538.07,1516
25,1611680000000,61168,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,212100.45,1516
26,1611760000000,61176,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,20678583.71999999,1516
27,1611760000000,61176,2200,Classified Support Salaries                                                                                                                                                                                                                               ,198154.36,1516
28,1611760000000,61176,9200,Accounts Receivable                                                                                                                                                                                                                                       ,16780760.93,1516
29,1611920000000,61192,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,4374564.750000005,1516
30,1611920000000,61192,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,37185.08,1516
31,1611920000000,61192,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,671406.66,1516
32,1611920000000,61192,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,141861.06,1516
33,1611920000000,61192,7310,Transfers of Indirect Costs                                                                                                                                                                                                                               ,145014.13,1516
34,1611920000000,61192,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3441208.0,1516
35,1612000000000,61200,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5562990.6000000015,1516
36,1612000000000,61200,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3284927.85,1516
37,1612180000000,61218,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,51704.08,1516
38,1612340000000,61234,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3841417.5399999963,1516
39,1612340000000,61234,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,128952.16,1516
