,CDS_CODE,District_Code,Function_Code,Function,Amount,Year
0,1100170000000,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,10945394.960000012,1314
1,1100170000000,10017,5900,Communications                                                                                                                                                                                                                                            ,1087658.8,1314
2,1100170000000,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248516.98,1314
3,1100170000000,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,992168.53,1314
4,1404020000000,40402,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,405042.47000000015,1314
5,1404280000000,40428,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,7171993.59,1314
6,1405010000000,40501,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,10770.0,1314
7,1611190000000,61119,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3445023.9700000007,1314
8,1611190000000,61119,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,701796.73,1314
9,1611190000000,61119,9200,Accounts Receivable                                                                                                                                                                                                                                       ,458876.81,1314
10,1611270000000,61127,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2122408.08,1314
11,1611270000000,61127,2200,Classified Support Salaries                                                                                                                                                                                                                               ,410797.93,1314
12,1611270000000,61127,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,24745.279999999995,1314
13,1611270000000,61127,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,391201.63,1314
14,1611270000000,61127,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,1128175.67,1314
15,1611270000000,61127,9200,Accounts Receivable                                                                                                                                                                                                                                       ,16561313.0,1314
16,1611430000000,61143,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6750312.849999996,1314
17,1611430000000,61143,9200,Accounts Receivable                                                                                                                                                                                                                                       ,10794.44,1314
18,1611500000000,61150,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3847410.970000001,1314
19,1611500000000,61150,2200,Classified Support Salaries                                                                                                                                                                                                                               ,158781.81,1314
20,1611500000000,61150,9200,Accounts Receivable                                                                                                                                                                                                                                       ,21568403.55,1314
21,1611680000000,61168,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,528362.4099999999,1314
22,1611680000000,61168,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,98081.77,1314
23,1611680000000,61168,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,183672.58,1314
24,1611760000000,61176,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,15182524.040000005,1314
25,1611760000000,61176,2200,Classified Support Salaries                                                                                                                                                                                                                               ,194970.45,1314
26,1611760000000,61176,9200,Accounts Receivable                                                                                                                                                                                                                                       ,17648243.45,1314
27,1611920000000,61192,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3881033.02,1314
28,1611920000000,61192,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,23267.14,1314
29,1611920000000,61192,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,464429.99,1314
30,1611920000000,61192,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,176850.31,1314
31,1611920000000,61192,7310,Transfers of Indirect Costs                                                                                                                                                                                                                               ,188122.51,1314
32,1611920000000,61192,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3439677.0,1314
33,1612000000000,61200,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3451251.7999999993,1314
34,1612000000000,61200,9200,Accounts Receivable                                                                                                                                                                                                                                       ,9806021.02,1314
35,1612180000000,61218,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,11700.7,1314
36,1612340000000,61234,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3138699.379999998,1314
37,1612340000000,61234,9200,Accounts Receivable                                                                                                                                                                                                                                       ,2199472.01,1314
38,1612420000000,61242,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,8919036.220000003,1314
39,1612420000000,61242,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,110687.30000000003,1314
40,1612420000000,61242,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,320922.25,1314
41,1612420000000,61242,5400,Insurance                                                                                                                                                                                                                                                 ,78956.14,1314
42,1612420000000,61242,5900,Communications                                                                                                                                                                                                                                            ,7445.99,1314
43,1612420000000,61242,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,220591.52,1314
44,1612420000000,61242,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1411133.06,1314
45,1612590000000,61259,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,25509853.11,1314
46,1612590000000,61259,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3051563.63,1314
47,1612750000000,61275,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,364780.04,1314
48,1612750000000,61275,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,317239.73,1314
49,1612750000000,61275,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,10426.66,1314
50,1612750000000,61275,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,1196792.4,1314
51,1612910000000,61291,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3399147.6699999985,1314
52,1612910000000,61291,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,234698.51000000013,1314
53,1612910000000,61291,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1140554.13,1314
54,1613090000000,61309,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,4591955.220000002,1314
55,1613090000000,61309,5900,Communications                                                                                                                                                                                                                                            ,34859.42,1314
56,1613090000000,61309,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,43601.76,1314
57,1613090000000,61309,7310,Transfers of Indirect Costs                                                                                                                                                                                                                               ,7862.0,1314
58,1613090000000,61309,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,4576808.47,1314
59,1613090000000,61309,9200,Accounts Receivable                                                                                                                                                                                                                                       ,2018960.8,1314
60,1750930000000,75093,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1488962.9700000002,1314
61,1750930000000,75093,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,317919.2799999999,1314
62,1750930000000,75093,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,174402.25,1314
63,1750930000000,75093,9200,Accounts Receivable                                                                                                                                                                                                                                       ,517749.96,1314
64,1751010000000,75101,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6570769.4899999965,1314
65,1751010000000,75101,2200,Classified Support Salaries                                                                                                                                                                                                                               ,176799.72,1314
66,1751010000000,75101,9200,Accounts Receivable                                                                                                                                                                                                                                       ,15385381.18,1314
67,1751190000000,75119,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,25115.33,1314
68,1751190000000,75119,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,227065.96,1314
69,2100250000000,10025,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,1454.76,1314
70,2100250000000,10025,9200,Accounts Receivable                                                                                                                                                                                                                                       ,545318.27,1314
71,2613330000000,61333,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,52346.50000000002,1314
72,3100330000000,10033,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,619115.4700000004,1314
73,3100330000000,10033,9200,Accounts Receivable                                                                                                                                                                                                                                       ,148596.79,1314
74,3739810000000,73981,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,447107.5799999999,1314
75,3739810000000,73981,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3843241.58,1314
76,4100410000000,10041,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6272554.51,1314
77,4100410000000,10041,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,24288.17000000001,1314
78,4100410000000,10041,5900,Communications                                                                                                                                                                                                                                            ,10312.589999999998,1314
79,4100410000000,10041,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,111930.12,1314
80,4100410000000,10041,9200,Accounts Receivable                                                                                                                                                                                                                                       ,17481928.249999996,1314
81,4100410114991,10041,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,14796.0,1314
82,4100410114991,10041,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,2929.67,1314
83,4100410114991,10041,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,53887.0,1314
84,4100410114991,10041,9200,Accounts Receivable                                                                                                                                                                                                                                       ,4983.0,1314
85,4613820000000,61382,9200,Accounts Receivable                                                                                                                                                                                                                                       ,75260.98000000001,1314
86,4614080000000,61408,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,12935.97,1314
87,4614080000000,61408,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,106020.85,1314
88,4614080000000,61408,5100,Subagreements for Services                                                                                                                                                                                                                                ,80930.45000000001,1314
89,4614080000000,61408,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2144671.1300000004,1314
