CDS_CODE,ETHNIC,GRADS,UC_GRADS
1100170000000,0,2,0
1100170000000,1,1,1
1100170000000,2,13,5
1100170000000,3,1,0
1100170000000,4,6,3
1100170000000,5,98,44
1100170000000,6,67,33
1100170000000,7,50,10
1100170000000,9,5,1
1316170000000,2,5,0
1316170000000,5,15,0
1316170000000,6,3,0
1316170000000,7,12,0
1316170000000,9,1,0
1611190000000,1,1,0
1611190000000,2,301,208
1611190000000,3,12,1
1611190000000,4,85,31
1611190000000,5,118,52
1611190000000,6,74,21
1611190000000,7,203,112
1611190000000,9,12,6
1611270000000,1,1,0
1611270000000,2,95,50
1611270000000,3,1,0
1611270000000,4,2,0
1611270000000,5,50,12
1611270000000,6,17,6
1611270000000,7,86,34
1611270000000,9,29,5
1611430000000,0,1,0
1611430000000,1,3,1
1611430000000,2,75,46
1611430000000,3,1,0
1611430000000,4,4,3
1611430000000,5,145,55
1611430000000,6,170,38
1611430000000,7,280,203
1611430000000,9,81,54
1611500000000,0,5,1
1611500000000,1,2,0
1611500000000,2,188,152
1611500000000,3,4,1
1611500000000,4,28,15
1611500000000,5,189,62
1611500000000,6,59,24
1611500000000,7,246,125
1611500000000,9,68,38
1611680000000,2,7,0
1611680000000,5,14,0
1611680000000,6,23,2
1611680000000,7,3,0
1611760000000,0,1,1
1611760000000,1,11,5
1611760000000,2,1234,1037
1611760000000,3,10,5
1611760000000,4,169,96
1611760000000,5,351,113
1611760000000,6,88,35
1611760000000,7,512,265
1611760000000,9,32,19
1611920000000,1,9,3
1611920000000,2,117,72
1611920000000,3,75,33
1611920000000,4,127,71
1611920000000,5,615,266
1611920000000,6,159,55
1611920000000,7,95,48
1611920000000,9,18,10
1612000000000,0,2,2
1612000000000,1,4,2
1612000000000,2,50,35
1612000000000,3,2,0
1612000000000,4,29,20
1612000000000,5,199,64
1612000000000,6,17,7
1612000000000,7,584,319
1612000000000,9,80,44
1612340000000,2,49,23
1612340000000,3,9,5
1612340000000,4,57,27
1612340000000,5,196,42
1612340000000,6,38,9
1612340000000,7,82,29
1612340000000,9,15,4
1612420000000,1,2,0
1612420000000,2,238,174
1612420000000,3,45,22
1612420000000,4,228,161
1612420000000,5,274,97
1612420000000,6,89,47
1612420000000,7,55,32
1612420000000,9,20,11
1612590000000,0,25,16
1612590000000,1,11,4
1612590000000,2,391,256
1612590000000,3,34,8
1612590000000,4,20,10
1612590000000,5,828,445
1612590000000,6,671,182
1612590000000,7,177,143
1612590000000,9,25,16
1612600000000,2,1,0
1612600000000,5,7,0
1612600000000,6,7,0
1612600000000,7,2,0
1612750000000,1,1,1
1612750000000,2,40,39
1612750000000,3,1,1
1612750000000,4,4,2
1612750000000,5,7,5
1612750000000,6,6,5
1612750000000,7,127,107
1612750000000,9,5,5
1612910000000,1,2,0
1612910000000,2,112,74
1612910000000,3,9,3
1612910000000,4,59,32
1612910000000,5,242,69
1612910000000,6,132,33
1612910000000,7,72,24
1612910000000,9,10,4
1613090000000,0,2,1
1613090000000,1,4,2
1613090000000,2,173,125
1613090000000,3,11,4
1613090000000,4,82,48
1613090000000,5,412,146
1613090000000,6,124,30
1613090000000,7,119,35
1613090000000,9,9,8
1750930000000,1,2,2
1750930000000,2,111,95
1750930000000,3,3,2
1750930000000,4,26,22
