CDS_CODE,ETHNIC,GRADS,UC_GRADS
1100170000000,1,2,1
1100170000000,2,6,1
1100170000000,3,2,0
1100170000000,4,1,0
1100170000000,5,113,40
1100170000000,6,83,35
1100170000000,7,9,1
1100170000000,9,5,3
1316170000000,2,2,0
1316170000000,4,1,0
1316170000000,5,18,0
1316170000000,6,3,0
1316170000000,7,12,0
1316170000000,9,1,0
1611190000000,1,1,1
1611190000000,2,264,165
1611190000000,3,9,2
1611190000000,4,58,35
1611190000000,5,117,54
1611190000000,6,75,24
1611190000000,7,204,114
1611190000000,9,28,16
1611270000000,2,90,61
1611270000000,3,1,1
1611270000000,4,4,2
1611270000000,5,47,21
1611270000000,6,19,5
1611270000000,7,104,75
1611270000000,9,27,17
1611430000000,0,2,1
1611430000000,1,2,0
1611430000000,2,71,47
1611430000000,3,4,2
1611430000000,4,6,6
1611430000000,5,218,140
1611430000000,6,173,61
1611430000000,7,291,249
1611430000000,9,71,54
1611500000000,0,3,1
1611500000000,1,2,0
1611500000000,2,187,138
1611500000000,3,5,1
1611500000000,4,37,26
1611500000000,5,160,52
1611500000000,6,65,33
1611500000000,7,233,124
1611500000000,9,57,26
1611680000000,2,6,2
1611680000000,3,1,0
1611680000000,5,8,2
1611680000000,6,29,7
1611680000000,7,2,1
1611760000000,1,10,2
1611760000000,2,1277,1062
1611760000000,3,15,8
1611760000000,4,165,100
1611760000000,5,341,114
1611760000000,6,84,26
1611760000000,7,425,229
1611760000000,9,34,15
1611920000000,0,5,3
1611920000000,1,3,0
1611920000000,2,128,99
1611920000000,3,51,23
1611920000000,4,139,88
1611920000000,5,717,320
1611920000000,6,145,52
1611920000000,7,70,32
1611920000000,9,16,11
1612000000000,0,4,3
1612000000000,1,3,2
1612000000000,2,68,53
1612000000000,3,5,1
1612000000000,4,36,24
1612000000000,5,259,101
1612000000000,6,14,3
1612000000000,7,584,364
1612000000000,9,70,45
1612340000000,1,3,0
1612340000000,2,70,35
1612340000000,3,8,1
1612340000000,4,47,26
1612340000000,5,236,53
1612340000000,6,29,5
1612340000000,7,85,30
1612340000000,9,10,4
1612420000000,1,1,0
1612420000000,2,213,146
1612420000000,3,29,19
1612420000000,4,215,143
1612420000000,5,295,109
1612420000000,6,73,29
1612420000000,7,55,27
1612420000000,9,34,22
1612590000000,0,29,15
1612590000000,1,3,2
1612590000000,2,348,251
1612590000000,3,19,7
1612590000000,4,27,20
1612590000000,5,992,693
1612590000000,6,570,228
1612590000000,7,199,154
1612590000000,9,35,25
1612600000000,0,2,0
1612600000000,2,2,0
1612600000000,4,1,0
1612600000000,5,12,0
1612600000000,6,12,0
1612600000000,7,2,0
1612750000000,2,29,28
1612750000000,4,5,4
1612750000000,5,6,5
1612750000000,6,10,7
1612750000000,7,156,136
1612750000000,9,3,3
1612910000000,0,1,0
1612910000000,1,3,1
1612910000000,2,77,41
1612910000000,3,11,3
1612910000000,4,59,27
1612910000000,5,291,85
1612910000000,6,103,26
1612910000000,7,57,19
1612910000000,9,18,6
1613090000000,1,5,2
1613090000000,2,146,104
1613090000000,3,7,3
1613090000000,4,74,41
1613090000000,5,456,177
1613090000000,6,101,32
1613090000000,7,86,32
1613090000000,9,12,5
1750930000000,1,2,1
1750930000000,2,131,121
1750930000000,3,3,2
1750930000000,4,54,36
1750930000000,5,95,43
1750930000000,6,35,15
1750930000000,7,162,112
1750930000000,9,32,21
1751010000000,1,2,2
1751010000000,2,347,327
1751010000000,3,5,4
1751010000000,4,31,27
1751010000000,5,115,90
1751010000000,6,32,26
1751010000000,7,589,525
1751010000000,9,27,22
2100250000000,1,6,0
3100330000000,1,2,0
3100330000000,7,4,0
3100330000000,9,1,0
3739810000000,0,5,2
3739810000000,1,11,2
3739810000000,2,1,0
3739810000000,4,1,0
3739810000000,5,42,4
3739810000000,7,198,62
3739810000000,9,10,3
4100410000000,1,1,1
4100410000000,5,30,3
4100410000000,6,3,0
4100410000000,7,82,13
4100410000000,9,10,2
4614080000000,1,1,0
4614080000000,2,1,1
4614080000000,5,11,2
4614080000000,7,25,5
4614080000000,9,2,1
4614240000000,0,7,3
4614240000000,1,15,2
4614240000000,2,78,34
4614240000000,3,5,0
4614240000000,4,10,8
4614240000000,5,207,60
4614240000000,6,24,5
4614240000000,7,651,301
4614240000000,9,21,4
4614320000000,5,17,4
4614320000000,6,1,1
4614320000000,7,48,21
4614400000000,1,4,0
4614400000000,2,1,0
4614400000000,5,1,0
4614400000000,7,5,0
4614570000000,0,1,0
4614570000000,5,8,0
4614570000000,7,10,0
4615150000000,1,25,2
4615150000000,2,91,44
4615150000000,3,2,0
4615150000000,4,4,1
4615150000000,5,93,11
4615150000000,6,7,0
4615150000000,7,188,31
4615150000000,9,50,4
4615310000000,1,1,0
4615310000000,4,2,0
4615310000000,5,32,5
4615310000000,6,2,0
4615310000000,7,232,49
4615310000000,9,22,3
4615320000000,5,2,0
4615320000000,7,18,0
4615320000000,9,2,0
4755070000000,0,2,0
4755070000000,1,1,0
4755070000000,2,3,2
4755070000000,4,1,0
4755070000000,5,98,20
4755070000000,7,62,13
