CDS_CODE,ETHNIC,GRADS,UC_GRADS
1100170000000,1,5,3
1100170000000,2,32,4
1100170000000,3,4,2
1100170000000,4,5,3
1100170000000,5,148,68
1100170000000,6,85,42
1100170000000,7,45,4
1100170000000,9,9,3
1316170000000,2,1,0
1316170000000,3,1,0
1316170000000,4,4,0
1316170000000,5,14,0
1316170000000,6,5,0
1316170000000,7,12,0
1611190000000,0,1,1
1611190000000,1,1,0
1611190000000,2,284,203
1611190000000,3,8,2
1611190000000,4,63,31
1611190000000,5,173,46
1611190000000,6,75,23
1611190000000,7,191,106
1611190000000,9,38,15
1611270000000,2,88,69
1611270000000,3,1,0
1611270000000,4,6,3
1611270000000,5,48,20
1611270000000,6,12,4
1611270000000,7,86,51
1611270000000,9,28,11
1611430000000,1,2,2
1611430000000,2,58,37
1611430000000,3,2,0
1611430000000,4,9,6
1611430000000,5,177,97
1611430000000,6,194,69
1611430000000,7,313,262
1611430000000,9,66,42
1611500000000,0,4,2
1611500000000,1,2,1
1611500000000,2,186,142
1611500000000,3,5,1
1611500000000,4,22,13
1611500000000,5,152,57
1611500000000,6,55,16
1611500000000,7,220,123
1611500000000,9,68,42
1611680000000,2,5,3
1611680000000,5,7,4
1611680000000,6,21,3
1611680000000,7,3,0
1611760000000,1,9,2
1611760000000,2,1274,1061
1611760000000,3,17,9
1611760000000,4,162,99
1611760000000,5,343,120
1611760000000,6,79,28
1611760000000,7,439,226
1611760000000,9,32,21
1611920000000,0,1,1
1611920000000,1,6,2
1611920000000,2,125,93
1611920000000,3,49,22
1611920000000,4,128,80
1611920000000,5,717,328
1611920000000,6,190,67
1611920000000,7,68,33
1611920000000,9,15,7
1612000000000,0,3,1
1612000000000,1,3,3
1612000000000,2,52,34
1612000000000,3,1,0
1612000000000,4,34,14
1612000000000,5,257,84
1612000000000,6,12,5
1612000000000,7,504,267
1612000000000,9,57,33
1612340000000,1,1,1
1612340000000,2,67,16
1612340000000,3,13,2
1612340000000,4,50,9
1612340000000,5,208,28
1612340000000,6,37,2
1612340000000,7,82,11
1612340000000,9,5,1
1612420000000,1,2,2
1612420000000,2,212,143
1612420000000,3,39,20
1612420000000,4,219,142
1612420000000,5,293,115
1612420000000,6,65,35
1612420000000,7,67,35
1612420000000,9,29,16
1612590000000,0,21,14
1612590000000,1,7,2
1612590000000,2,382,254
1612590000000,3,28,12
1612590000000,4,21,10
1612590000000,5,913,565
1612590000000,6,625,231
1612590000000,7,182,143
1612590000000,9,40,32
1612600000000,2,1,0
1612600000000,4,1,0
1612600000000,5,6,0
1612600000000,6,10,2
1612750000000,1,1,1
1612750000000,2,40,39
1612750000000,4,2,2
1612750000000,5,9,8
1612750000000,6,7,5
1612750000000,7,164,150
1612750000000,9,4,2
1612910000000,2,110,75
1612910000000,3,7,2
1612910000000,4,55,32
1612910000000,5,291,74
1612910000000,6,102,23
1612910000000,7,55,20
1612910000000,9,12,2
1613090000000,0,2,1
1613090000000,1,2,1
1613090000000,2,145,94
1613090000000,3,20,5
1613090000000,4,84,40
1613090000000,5,517,182
1613090000000,6,150,56
1613090000000,7,107,37
1613090000000,9,14,7
1750930000000,0,1,1
1750930000000,1,4,4
1750930000000,2,116,89
1750930000000,3,3,1
1750930000000,4,36,24
1750930000000,5,91,44
1750930000000,6,45,22
1750930000000,7,182,113
1750930000000,9,10,6
1751010000000,0,1,0
1751010000000,1,11,4
1751010000000,2,374,303
1751010000000,3,6,3
1751010000000,4,31,20
1751010000000,5,117,51
1751010000000,6,29,15
1751010000000,7,617,355
1751010000000,9,24,12
1766530000000,0,1,1
1766530000000,2,12,12
1766530000000,4,3,3
1766530000000,5,22,22
1766530000000,6,2,2
1766530000000,7,63,62
1766530000000,9,4,4
2100250000000,1,2,0
3100330000000,7,2,0
3739810000000,0,4,0
3739810000000,1,10,1
3739810000000,2,3,1
3739810000000,3,1,0
3739810000000,4,2,1
3739810000000,5,39,12
3739810000000,6,1,0
3739810000000,7,218,52
3739810000000,9,10,0
4100410000000,1,1,0
4100410000000,2,1,0
4100410000000,5,27,2
4100410000000,6,3,0
4100410000000,7,114,21
4100410000000,9,4,0
4100420000000,1,1,0
4100420000000,9,1,0
4614080000000,2,1,0
4614080000000,5,12,2
4614080000000,6,1,0
4614080000000,7,16,5
4614240000000,0,9,0
4614240000000,1,16,2
4614240000000,2,84,37
4614240000000,3,3,1
