,CDS_CODE,Year,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,District_Code,Function_Code,Function_Accounts Receivable                                                                                                                                                                                                                                       ,Function_Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,Function_Books and Other Reference Materials                                                                                                                                                                                                                       ,Function_Classified Instructional Salaries                                                                                                                                                                                                                         ,Function_Classified Support Salaries                                                                                                                                                                                                                               ,Function_Communications                                                                                                                                                                                                                                            ,Function_Insurance                                                                                                                                                                                                                                                 ,Function_Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,Function_Subagreements for Services                                                                                                                                                                                                                                ,Function_Transfers of Indirect Costs                                                                                                                                                                                                                               ,Function_Transfers of Indirect Costs - Interfund                                                                                                                                                                                                                   ,Function_Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,Amount_<500k,Amount_500k-1500k,Amount_1500k-3000k,Amount_3000k-10000k,Amount_>10000k,principal component 1,principal component 2,principal component 3,Cluster
20,10624,1516,33,452,6532,399,172,437010,64400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.3304804000576669,-2.1924540293452823,-0.562609479867706,3
21,10624,1516,33,452,6532,399,172,437010,28700,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,-0.14591728736347678,0.3701665096466073,0.6859998866006336,0
22,10624,1516,33,452,6532,399,172,437010,14700,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.029370788784544095,1.9682496935184857,-2.239555227554848,1
23,10624,1516,33,452,6532,399,172,437010,56770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.45109888710450025,-1.0478692735507347,-2.169733738385664,3
24,10624,1516,33,452,6532,399,172,437010,49770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,-0.24381482214399522,-0.7392438750094825,1.2971215606125073,0
25,11001,1213,37,304,3175,255,122,90153,82800,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.010371117606004494,-2.2880742031227803,-1.7746201107804709,3
26,11001,1213,37,304,3175,255,122,90153,18900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-0.7580659467212318,1.8327367894971645,-2.3790294551281757,1
27,11001,1213,37,304,3175,255,122,90153,53100,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-0.5022957624933684,-0.37806282561908416,-0.7146713917239494,3
28,11001,1213,37,304,3175,255,122,90153,72990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-1.0897173267416962,-1.445392127353579,-0.3483579391353576,3
29,11001,1213,37,304,3175,255,122,90153,63990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,-0.7525612093698737,-1.3690966641285816,1.0637720004439428,3
30,11001,1314,37,222,2962,243,97,90153,82800,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,-0.37231775050932836,-2.7584072595418543,-0.7467444633999893,3
31,11001,1314,37,222,2962,243,97,90153,18900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-0.8196450783789592,1.7777481766780503,-2.4314773450177296,1
32,11001,1314,37,222,2962,243,97,90153,53100,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,-0.8849846306087009,-0.848395882038159,0.31320425565653237,0
33,11001,1314,37,222,2962,243,97,90153,63990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,-0.8141403410276014,-1.424085276947695,1.0113241105543893,3
34,11001,1415,37,397,2870,333,129,80136,73600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,-0.39214277649354395,-2.5196405566519418,-0.3191449606378533,3
35,11001,1415,37,397,2870,333,129,80136,16800,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-0.6909615164978612,1.8410935625245228,-2.4364459312584485,1
36,11001,1415,37,397,2870,333,129,80136,47200,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-0.47432001699300697,-0.26923305887670346,-0.7741717487652274,3
37,11001,1415,37,397,2870,333,129,80136,43200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-1.033002254509764,0.3301759540175009,1.5561899588900674,0
38,11001,1415,37,397,2870,333,129,80136,56880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,-0.7370448608471024,-1.228274180966417,1.003608091849424,3
39,11001,1516,37,262,1654,221,81,80136,73600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-0.1962047888003621,-2.187199806824531,-1.9270539985276285,3
40,11001,1516,37,262,1654,221,81,80136,16800,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-0.8915329948293439,1.7458853291173455,-2.5275697759100333,1
41,11001,1516,37,262,1654,221,81,80136,47200,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,-0.9960012317820949,-0.779785735883841,0.21502794385322269,0
42,11001,1516,37,262,1654,221,81,80136,43200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-1.2335737328412473,0.2349677206103241,1.4650661142384822,0
43,11001,1516,37,262,1654,221,81,80136,56880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,-0.9376163391785852,-1.3234824143735944,0.9124842471978388,3
