CDS_CODE,ETHNIC,DISTRICT,GENDER,GR_12,ENR_TOTAL
1100170000000,0,Alameda County Office of Education,F,1,21
1100170000000,0,Alameda County Office of Education,M,1,14
1100170000000,1,Alameda County Office of Education,F,1,12
1100170000000,1,Alameda County Office of Education,M,1,12
1100170000000,2,Alameda County Office of Education,F,7,177
1100170000000,2,Alameda County Office of Education,M,6,192
1100170000000,3,Alameda County Office of Education,F,1,26
1100170000000,3,Alameda County Office of Education,M,4,18
1100170000000,4,Alameda County Office of Education,F,0,31
1100170000000,4,Alameda County Office of Education,M,1,23
1100170000000,5,Alameda County Office of Education,F,48,461
1100170000000,5,Alameda County Office of Education,M,68,455
1100170000000,6,Alameda County Office of Education,F,48,325
1100170000000,6,Alameda County Office of Education,M,54,382
1100170000000,7,Alameda County Office of Education,F,28,492
1100170000000,7,Alameda County Office of Education,M,23,406
1100170000000,9,Alameda County Office of Education,F,4,50
1100170000000,9,Alameda County Office of Education,M,8,78
1100180000000,0,Alameda County Office of Education,F,0,8
1100180000000,0,Alameda County Office of Education,M,0,6
1100180000000,1,Alameda County Office of Education,M,0,2
1100180000000,2,Alameda County Office of Education,F,0,5
1100180000000,2,Alameda County Office of Education,M,0,11
1100180000000,3,Alameda County Office of Education,F,0,15
1100180000000,3,Alameda County Office of Education,M,0,11
1100180000000,5,Alameda County Office of Education,F,0,307
1100180000000,5,Alameda County Office of Education,M,0,353
1100180000000,6,Alameda County Office of Education,F,0,67
1100180000000,6,Alameda County Office of Education,M,0,63
1100180000000,7,Alameda County Office of Education,F,0,3
1100180000000,7,Alameda County Office of Education,M,0,2
1100180000000,9,Alameda County Office of Education,F,0,10
1100180000000,9,Alameda County Office of Education,M,0,3
1316090000000,2,California School for the Blind (State Special Sch,F,0,1
1316090000000,2,California School for the Blind (State Special Sch,M,0,4
1316090000000,3,California School for the Blind (State Special Sch,F,0,1
1316090000000,3,California School for the Blind (State Special Sch,M,0,1
1316090000000,4,California School for the Blind (State Special Sch,M,0,1
1316090000000,5,California School for the Blind (State Special Sch,F,0,19
1316090000000,5,California School for the Blind (State Special Sch,M,0,20
1316090000000,6,California School for the Blind (State Special Sch,F,0,2
1316090000000,6,California School for the Blind (State Special Sch,M,0,3
1316090000000,7,California School for the Blind (State Special Sch,F,0,10
1316090000000,7,California School for the Blind (State Special Sch,M,0,19
1316090000000,9,California School for the Blind (State Special Sch,F,0,1
1316170000000,0,California School for the Deaf-Fremont (State Spec,F,0,2
1316170000000,1,California School for the Deaf-Fremont (State Spec,F,0,1
1316170000000,1,California School for the Deaf-Fremont (State Spec,M,0,1
1316170000000,2,California School for the Deaf-Fremont (State Spec,F,0,16
1316170000000,2,California School for the Deaf-Fremont (State Spec,M,2,10
1316170000000,3,California School for the Deaf-Fremont (State Spec,F,1,2
1316170000000,4,California School for the Deaf-Fremont (State Spec,F,1,5
1316170000000,4,California School for the Deaf-Fremont (State Spec,M,3,9
1316170000000,5,California School for the Deaf-Fremont (State Spec,F,10,81
1316170000000,5,California School for the Deaf-Fremont (State Spec,M,12,98
1316170000000,6,California School for the Deaf-Fremont (State Spec,F,3,19
1316170000000,6,California School for the Deaf-Fremont (State Spec,M,1,16
1316170000000,7,California School for the Deaf-Fremont (State Spec,F,8,65
1316170000000,7,California School for the Deaf-Fremont (State Spec,M,11,72
1316170000000,9,California School for the Deaf-Fremont (State Spec,F,1,5
1316170000000,9,California School for the Deaf-Fremont (State Spec,M,0,5
1611190000000,0,Alameda Unified,F,1,15
1611190000000,0,Alameda Unified,M,0,14
1611190000000,1,Alameda Unified,F,2,13
1611190000000,1,Alameda Unified,M,1,8
1611190000000,2,Alameda Unified,F,154,705
1611190000000,2,Alameda Unified,M,171,801
1611190000000,3,Alameda Unified,F,2,26
1611190000000,3,Alameda Unified,M,5,43
1611190000000,4,Alameda Unified,F,43,243
1611190000000,4,Alameda Unified,M,41,236
1611190000000,5,Alameda Unified,F,59,478
1611190000000,5,Alameda Unified,M,85,474
1611190000000,6,Alameda Unified,F,54,411
1611190000000,6,Alameda Unified,M,60,451
1611190000000,7,Alameda Unified,F,129,734
1611190000000,7,Alameda Unified,M,135,746
1611190000000,9,Alameda Unified,F,7,102
1611190000000,9,Alameda Unified,M,4,121
1611200000000,0,Alameda Unified,F,0,4
1611200000000,1,Alameda Unified,F,0,6
1611200000000,1,Alameda Unified,M,0,10
1611200000000,2,Alameda Unified,F,0,772
1611200000000,2,Alameda Unified,M,0,811
1611200000000,3,Alameda Unified,F,0,25
1611200000000,3,Alameda Unified,M,0,24
1611200000000,4,Alameda Unified,F,0,157
1611200000000,4,Alameda Unified,M,0,182
1611200000000,5,Alameda Unified,F,0,332
1611200000000,5,Alameda Unified,M,0,390
1611200000000,6,Alameda Unified,F,0,195
