CDS_CODE,ETHNIC,GENDER,GR_12,ENR_TOTAL
1100170000000,0,F,0,2
1100170000000,0,M,0,7
1100170000000,1,F,2,11
1100170000000,1,M,1,5
1100170000000,2,F,3,151
1100170000000,2,M,4,114
1100170000000,3,F,2,7
1100170000000,3,M,0,3
1100170000000,4,F,1,7
1100170000000,4,M,1,17
1100170000000,5,F,62,384
1100170000000,5,M,35,396
1100170000000,6,F,56,208
1100170000000,6,M,65,235
1100170000000,7,F,3,126
1100170000000,7,M,6,125
1100170000000,9,F,1,113
1100170000000,9,M,7,144
1100180000000,1,F,0,2
1100180000000,1,M,0,2
1100180000000,2,F,0,5
1100180000000,2,M,0,10
1100180000000,3,F,0,7
1100180000000,3,M,0,11
1100180000000,4,F,0,3
1100180000000,4,M,0,1
1100180000000,5,F,0,470
1100180000000,5,M,0,403
1100180000000,6,F,0,52
1100180000000,6,M,0,55
1100180000000,7,F,0,6
1100180000000,7,M,0,8
1100180000000,9,F,0,8
1100180000000,9,M,0,7
1316090000000,2,F,0,3
1316090000000,2,M,0,2
1316090000000,3,F,0,1
1316090000000,5,F,2,13
1316090000000,5,M,1,7
1316090000000,6,F,0,0
1316090000000,6,M,0,0
1316090000000,7,F,1,5
1316090000000,7,M,4,8
1316090000000,9,F,0,0
1316090000000,9,M,0,1
1316170000000,0,M,0,2
1316170000000,2,F,6,19
1316170000000,2,M,3,12
1316170000000,3,M,0,2
1316170000000,4,F,2,5
1316170000000,4,M,1,8
1316170000000,5,F,19,89
1316170000000,5,M,22,102
1316170000000,6,F,6,16
1316170000000,6,M,3,13
1316170000000,7,F,4,48
1316170000000,7,M,8,39
1316170000000,9,F,0,10
1316170000000,9,M,2,10
1611190000000,0,F,5,67
1611190000000,0,M,6,64
1611190000000,1,F,3,11
1611190000000,1,M,2,8
1611190000000,2,F,151,743
1611190000000,2,M,154,807
1611190000000,3,F,5,20
1611190000000,3,M,4,25
1611190000000,4,F,45,221
1611190000000,4,M,50,241
1611190000000,5,F,90,517
1611190000000,5,M,70,569
1611190000000,6,F,36,295
1611190000000,6,M,62,342
1611190000000,7,F,96,784
1611190000000,7,M,122,913
1611190000000,9,F,19,255
1611190000000,9,M,26,268
1611200000000,0,F,0,45
1611200000000,0,M,0,46
1611200000000,1,F,0,7
1611200000000,1,M,0,2
1611200000000,2,F,0,700
1611200000000,2,M,0,725
1611200000000,3,F,0,20
1611200000000,3,M,0,9
1611200000000,4,F,0,144
1611200000000,4,M,0,137
1611200000000,5,F,0,387
1611200000000,5,M,0,422
1611200000000,6,F,0,104
1611200000000,6,M,0,120
1611200000000,7,F,0,769
1611200000000,7,M,0,802
1611200000000,9,F,0,339
1611200000000,9,M,0,371
1611270000000,0,F,0,6
1611270000000,0,M,1,7
1611270000000,1,M,0,1
1611270000000,2,F,39,161
1611270000000,2,M,39,178
1611270000000,3,M,1,4
1611270000000,4,F,3,9
1611270000000,4,M,1,9
1611270000000,5,F,25,88
1611270000000,5,M,23,104
1611270000000,6,F,7,22
1611270000000,6,M,4,20
1611270000000,7,F,56,192
1611270000000,7,M,48,220
1611270000000,9,F,19,58
1611270000000,9,M,13,64
1611280000000,0,F,0,75
1611280000000,0,M,0,82
1611280000000,1,F,0,1
1611280000000,2,F,0,336
1611280000000,2,M,0,331
1611280000000,3,F,0,1
1611280000000,3,M,0,2
1611280000000,4,F,0,15
1611280000000,4,M,0,16
1611280000000,5,F,0,205
1611280000000,5,M,0,210
1611280000000,6,F,0,32
1611280000000,6,M,0,31
1611280000000,7,F,0,383
1611280000000,7,M,0,414
1611280000000,9,F,0,196
1611280000000,9,M,0,185
1611430000000,0,F,0,3
1611430000000,0,M,0,2
1611430000000,1,F,0,6
1611430000000,1,M,0,2
1611430000000,2,F,39,139
1611430000000,2,M,31,130
1611430000000,3,F,1,7
1611430000000,3,M,0,4
1611430000000,4,F,3,12
1611430000000,4,M,3,12
1611430000000,5,F,134,550
1611430000000,5,M,115,537
1611430000000,6,F,76,316
1611430000000,6,M,80,297
1611430000000,7,F,153,651
1611430000000,7,M,157,650
1611430000000,9,F,49,220
1611430000000,9,M,37,191
1611440000000,0,F,0,1
1611440000000,1,F,0,4
1611440000000,1,M,0,4
1611440000000,2,F,0,216
1611440000000,2,M,0,248
1611440000000,3,F,0,5
1611440000000,3,M,0,3
1611440000000,4,F,0,28
1611440000000,4,M,0,20
1611440000000,5,F,0,681
1611440000000,5,M,0,744
1611440000000,6,F,0,476
1611440000000,6,M,0,481
1611440000000,7,F,0,1263
1611440000000,7,M,0,1428
1611440000000,9,F,0,496
1611440000000,9,M,0,513
1611500000000,0,F,0,11
1611500000000,0,M,2,15
1611500000000,1,F,3,9
1611500000000,1,M,1,5
1611500000000,2,F,123,403
1611500000000,2,M,110,420
1611500000000,3,F,1,5
1611500000000,3,M,0,8
1611500000000,4,F,17,59
1611500000000,4,M,16,71
1611500000000,5,F,75,379
1611500000000,5,M,99,364
1611500000000,6,F,38,114
1611500000000,6,M,24,94
1611500000000,7,F,117,437
1611500000000,7,M,91,416
1611500000000,9,F,32,137
1611500000000,9,M,26,129
1611510000000,0,F,0,64
1611510000000,0,M,0,57
1611510000000,1,F,0,2
1611510000000,1,M,0,5
1611510000000,2,F,0,804
1611510000000,2,M,0,836
1611510000000,3,F,0,12
1611510000000,3,M,0,13
1611510000000,4,F,0,149
1611510000000,4,M,0,145
1611510000000,5,F,0,695
1611510000000,5,M,0,763
1611510000000,6,F,0,159
1611510000000,6,M,0,158
1611510000000,7,F,0,842
1611510000000,7,M,0,893
1611510000000,9,F,0,306
1611510000000,9,M,0,333
1611680000000,2,F,3,12
1611680000000,2,M,4,16
1611680000000,3,M,1,2
1611680000000,4,M,0,1
1611680000000,5,F,6,23
1611680000000,5,M,2,23
1611680000000,6,F,11,45
1611680000000,6,M,5,31
1611680000000,7,F,3,4
1611680000000,7,M,2,10
1611680000000,9,F,2,5
1611680000000,9,M,0,7
1611690000000,1,F,0,2
1611690000000,2,F,0,26
1611690000000,2,M,0,28
1611690000000,3,F,0,3
1611690000000,3,M,0,4
1611690000000,4,F,0,5
1611690000000,4,M,0,3
1611690000000,5,F,0,68
1611690000000,5,M,0,55
1611690000000,6,F,0,120
1611690000000,6,M,0,109
1611690000000,7,F,0,29
1611690000000,7,M,0,24
1611690000000,9,F,0,18
1611690000000,9,M,0,17
1611760000000,1,F,1,13
1611760000000,1,M,7,17
1611760000000,2,F,726,2996
1611760000000,2,M,777,3098
1611760000000,3,F,3,33
1611760000000,3,M,7,23
1611760000000,4,F,81,354
1611760000000,4,M,86,360
1611760000000,5,F,180,785
1611760000000,5,M,224,813
1611760000000,6,F,37,139
1611760000000,6,M,41,144
1611760000000,7,F,212,744
1611760000000,7,M,249,798
1611760000000,9,F,23,128
1611760000000,9,M,32,146
1611770000000,0,F,0,27
1611770000000,0,M,0,31
1611770000000,1,F,0,26
1611770000000,1,M,0,30
1611770000000,2,F,0,8060
1611770000000,2,M,0,8394
1611770000000,3,F,0,67
1611770000000,3,M,0,76
1611770000000,4,F,0,554
1611770000000,4,M,0,607
1611770000000,5,F,0,1713
1611770000000,5,M,0,1878
1611770000000,6,F,0,229
1611770000000,6,M,0,217
1611770000000,7,F,0,1159
1611770000000,7,M,0,1341
1611770000000,9,F,0,366
1611770000000,9,M,0,411
1611920000000,0,F,1,17
1611920000000,0,M,0,15
1611920000000,1,F,3,15
1611920000000,1,M,3,13
1611920000000,2,F,66,352
1611920000000,2,M,62,373
1611920000000,3,F,30,136
1611920000000,3,M,29,123
1611920000000,4,F,65,336
1611920000000,4,M,95,378
1611920000000,5,F,525,2407
1611920000000,5,M,500,2522
1611920000000,6,F,73,377
1611920000000,6,M,72,423
1611920000000,7,F,48,313
1611920000000,7,M,59,356
1611920000000,9,F,5,82
1611920000000,9,M,19,123
1611930000000,0,F,0,3
1611930000000,0,M,0,8
1611930000000,1,F,0,21
1611930000000,1,M,0,21
1611930000000,2,F,0,508
1611930000000,2,M,0,529
1611930000000,3,F,0,222
1611930000000,3,M,0,235
1611930000000,4,F,0,440
1611930000000,4,M,0,497
1611930000000,5,F,0,4741
1611930000000,5,M,0,4918
1611930000000,6,F,0,602
1611930000000,6,M,0,581
1611930000000,7,F,0,264
1611930000000,7,M,0,275
1611930000000,9,F,0,253
1611930000000,9,M,0,255
1612000000000,0,F,0,1
1612000000000,0,M,1,3
1612000000000,1,F,1,5
1612000000000,1,M,2,12
1612000000000,2,F,37,182
1612000000000,2,M,28,174
1612000000000,3,F,2,10
1612000000000,3,M,1,8
1612000000000,4,F,18,76
1612000000000,4,M,16,81
1612000000000,5,F,160,660
1612000000000,5,M,147,666
1612000000000,6,F,8,34
1612000000000,6,M,9,45
1612000000000,7,F,293,1215
1612000000000,7,M,287,1281
1612000000000,9,F,38,153
1612000000000,9,M,43,179
1612010000000,0,F,0,6
1612010000000,0,M,0,8
