CDS_CODE,ETHNIC,GENDER,GR_12,ENR_TOTAL
1100170000000,0,F,1,9
1100170000000,0,M,0,18
1100170000000,1,F,2,16
1100170000000,1,M,3,8
1100170000000,2,F,11,218
1100170000000,2,M,18,212
1100170000000,3,F,5,21
1100170000000,3,M,1,11
1100170000000,4,F,1,16
1100170000000,4,M,6,26
1100170000000,5,F,85,437
1100170000000,5,M,76,439
1100170000000,6,F,45,270
1100170000000,6,M,80,321
1100170000000,7,F,33,404
1100170000000,7,M,17,311
1100170000000,9,F,2,72
1100170000000,9,M,12,88
1100180000000,1,F,0,19
1100180000000,1,M,0,21
1100180000000,2,F,0,3
1100180000000,2,M,0,11
1100180000000,3,F,0,10
1100180000000,3,M,0,15
1100180000000,4,F,0,1
1100180000000,4,M,0,2
1100180000000,5,F,0,404
1100180000000,5,M,0,380
1100180000000,6,F,0,72
1100180000000,6,M,0,74
1100180000000,7,F,0,4
1100180000000,7,M,0,5
1100180000000,9,F,0,8
1100180000000,9,M,0,5
1316090000000,0,M,0,1
1316090000000,2,F,1,2
1316090000000,2,M,1,3
1316090000000,3,M,0,1
1316090000000,5,F,8,18
1316090000000,5,M,1,8
1316090000000,6,F,2,3
1316090000000,6,M,5,6
1316090000000,7,F,3,6
1316090000000,7,M,2,10
1316090000000,9,F,0,1
1316090000000,9,M,0,1
1316170000000,1,F,0,1
1316170000000,1,M,0,1
1316170000000,2,F,0,17
1316170000000,2,M,2,9
1316170000000,3,F,1,2
1316170000000,4,F,3,8
1316170000000,4,M,3,14
1316170000000,5,F,15,80
1316170000000,5,M,19,106
1316170000000,6,F,8,20
1316170000000,6,M,6,21
1316170000000,7,F,6,60
1316170000000,7,M,14,56
1316170000000,9,F,1,9
1316170000000,9,M,1,6
1611190000000,0,F,0,8
1611190000000,0,M,0,3
1611190000000,1,F,0,16
1611190000000,1,M,1,7
1611190000000,2,F,148,707
1611190000000,2,M,156,767
1611190000000,3,F,3,26
1611190000000,3,M,5,32
1611190000000,4,F,32,218
1611190000000,4,M,36,247
1611190000000,5,F,98,541
1611190000000,5,M,94,550
1611190000000,6,F,49,361
1611190000000,6,M,48,391
1611190000000,7,F,104,745
1611190000000,7,M,108,821
1611190000000,9,F,21,175
1611190000000,9,M,19,185
1611200000000,0,M,0,2
1611200000000,1,F,0,6
1611200000000,1,M,0,7
1611200000000,2,F,0,740
1611200000000,2,M,0,767
1611200000000,3,F,0,20
1611200000000,3,M,0,16
1611200000000,4,F,0,166
1611200000000,4,M,0,176
1611200000000,5,F,0,363
1611200000000,5,M,0,422
1611200000000,6,F,0,147
1611200000000,6,M,0,168
1611200000000,7,F,0,834
1611200000000,7,M,0,838
1611200000000,9,F,0,276
1611200000000,9,M,0,272
1611270000000,0,M,0,2
1611270000000,1,F,0,2
1611270000000,1,M,0,1
1611270000000,2,F,38,166
1611270000000,2,M,55,193
1611270000000,3,F,0,1
1611270000000,3,M,1,2
1611270000000,4,F,3,9
1611270000000,4,M,3,11
1611270000000,5,F,22,98
1611270000000,5,M,36,117
1611270000000,6,F,7,31
1611270000000,6,M,8,29
1611270000000,7,F,37,214
1611270000000,7,M,50,228
1611270000000,9,F,16,61
1611270000000,9,M,13,58
1611280000000,1,F,0,2
1611280000000,1,M,0,1
1611280000000,2,F,0,361
1611280000000,2,M,0,393
1611280000000,3,F,0,2
1611280000000,3,M,0,5
1611280000000,4,F,0,15
1611280000000,4,M,0,20
1611280000000,5,F,0,201
1611280000000,5,M,0,236
1611280000000,6,F,0,44
1611280000000,6,M,0,35
1611280000000,7,F,0,463
1611280000000,7,M,0,520
1611280000000,9,F,0,164
1611280000000,9,M,0,196
1611430000000,0,F,0,7
1611430000000,0,M,0,8
1611430000000,1,F,0,2
1611430000000,1,M,2,4
1611430000000,2,F,29,146
1611430000000,2,M,29,128
1611430000000,3,F,1,2
1611430000000,3,M,2,9
1611430000000,4,F,6,22
1611430000000,4,M,5,15
1611430000000,5,F,104,531
1611430000000,5,M,104,597
1611430000000,6,F,109,412
1611430000000,6,M,95,410
1611430000000,7,F,188,648
1611430000000,7,M,142,665
1611430000000,9,F,31,172
1611430000000,9,M,38,192
1611440000000,0,F,0,8
1611440000000,0,M,0,16
1611440000000,1,F,0,7
1611440000000,1,M,0,6
1611440000000,2,F,0,215
1611440000000,2,M,0,246
1611440000000,3,F,0,11
1611440000000,3,M,0,4
1611440000000,4,F,0,29
1611440000000,4,M,0,20
1611440000000,5,F,0,679
1611440000000,5,M,0,737
1611440000000,6,F,0,569
1611440000000,6,M,0,567
1611440000000,7,F,0,1164
1611440000000,7,M,0,1308
1611440000000,9,F,0,433
1611440000000,9,M,0,453
1611500000000,0,F,1,7
1611500000000,0,M,3,9
1611500000000,1,F,0,7
1611500000000,1,M,3,4
1611500000000,2,F,90,379
1611500000000,2,M,102,387
1611500000000,3,F,4,13
1611500000000,3,M,1,8
1611500000000,4,F,15,62
1611500000000,4,M,11,74
1611500000000,5,F,82,359
1611500000000,5,M,82,359
1611500000000,6,F,27,143
1611500000000,6,M,30,110
1611500000000,7,F,114,474
1611500000000,7,M,121,497
1611500000000,9,F,35,147
1611500000000,9,M,34,114
1611510000000,0,F,0,28
1611510000000,0,M,0,27
1611510000000,1,F,0,8
1611510000000,1,M,0,9
1611510000000,2,F,0,726
1611510000000,2,M,0,764
1611510000000,3,F,0,17
1611510000000,3,M,0,16
1611510000000,4,F,0,138
1611510000000,4,M,0,137
1611510000000,5,F,0,731
1611510000000,5,M,0,717
1611510000000,6,F,0,177
1611510000000,6,M,0,161
1611510000000,7,F,0,928
1611510000000,7,M,0,1001
1611510000000,9,F,0,291
1611510000000,9,M,0,332
1611680000000,2,F,3,10
1611680000000,2,M,2,14
1611680000000,3,M,0,1
1611680000000,4,F,0,1
1611680000000,5,F,6,17
1611680000000,5,M,2,17
1611680000000,6,F,21,69
1611680000000,6,M,10,49
1611680000000,7,F,1,3
1611680000000,7,M,2,10
1611690000000,2,F,0,21
1611690000000,2,M,0,28
1611690000000,3,F,0,1
1611690000000,3,M,0,2
1611690000000,4,F,0,2
1611690000000,4,M,0,6
1611690000000,5,F,0,65
1611690000000,5,M,0,53
1611690000000,6,F,0,143
1611690000000,6,M,0,119
1611690000000,7,F,0,27
1611690000000,7,M,0,34
1611690000000,9,F,0,1
1611690000000,9,M,0,2
1611760000000,0,F,0,2
1611760000000,0,M,0,2
1611760000000,1,F,3,12
1611760000000,1,M,6,26
1611760000000,2,F,671,2589
1611760000000,2,M,642,2766
1611760000000,3,F,13,37
1611760000000,3,M,5,31
1611760000000,4,F,72,332
1611760000000,4,M,96,354
1611760000000,5,F,196,761
1611760000000,5,M,201,849
1611760000000,6,F,40,186
1611760000000,6,M,51,197
1611760000000,7,F,223,868
1611760000000,7,M,256,1025
1611760000000,9,F,17,78
1611760000000,9,M,19,93
1611770000000,0,F,0,13
1611770000000,0,M,0,8
1611770000000,1,F,0,33
1611770000000,1,M,0,44
1611770000000,2,F,0,7027
1611770000000,2,M,0,7201
1611770000000,3,F,0,63
1611770000000,3,M,0,59
1611770000000,4,F,0,620
1611770000000,4,M,0,731
1611770000000,5,F,0,1781
1611770000000,5,M,0,1933
1611770000000,6,F,0,286
1611770000000,6,M,0,286
1611770000000,7,F,0,1432
1611770000000,7,M,0,1565
1611770000000,9,F,0,445
1611770000000,9,M,0,473
1611920000000,0,F,2,40
1611920000000,0,M,0,35
1611920000000,1,F,3,14
1611920000000,1,M,4,15
1611920000000,2,F,62,309
1611920000000,2,M,83,364
1611920000000,3,F,29,121
1611920000000,3,M,27,124
1611920000000,4,F,57,284
1611920000000,4,M,83,346
1611920000000,5,F,434,2089
1611920000000,5,M,424,2087
1611920000000,6,F,109,430
1611920000000,6,M,125,489
1611920000000,7,F,45,245
1611920000000,7,M,52,327
1611920000000,9,F,10,61
1611920000000,9,M,8,87
1611930000000,0,F,0,26
1611930000000,0,M,0,24
1611930000000,1,F,0,32
1611930000000,1,M,0,30
1611930000000,2,F,0,517
1611930000000,2,M,0,565
1611930000000,3,F,0,253
1611930000000,3,M,0,256
1611930000000,4,F,0,416
1611930000000,4,M,0,509
1611930000000,5,F,0,4829
1611930000000,5,M,0,5066
1611930000000,6,F,0,774
1611930000000,6,M,0,759
1611930000000,7,F,0,327
1611930000000,7,M,0,335
1611930000000,9,F,0,184
1611930000000,9,M,0,186
1612000000000,0,F,1,16
1612000000000,0,M,2,15
1612000000000,1,F,1,5
1612000000000,1,M,3,7
1612000000000,2,F,20,163
1612000000000,2,M,32,151
1612000000000,3,F,2,10
1612000000000,3,M,0,8
1612000000000,4,F,13,71
1612000000000,4,M,21,80
1612000000000,5,F,140,686
1612000000000,5,M,143,662
1612000000000,6,F,10,40
1612000000000,6,M,6,38
1612000000000,7,F,267,1436
1612000000000,7,M,256,1399
1612000000000,9,F,32,175
1612000000000,9,M,26,206
1612010000000,0,F,0,15
1612010000000,0,M,0,7
1612010000000,1,F,0,11
1612010000000,1,M,0,16
1612010000000,2,F,0,244
1612010000000,2,M,0,259
1612010000000,3,F,0,17
1612010000000,3,M,0,18
1612010000000,4,F,0,120
1612010000000,4,M,0,126
1612010000000,5,F,0,1339
1612010000000,5,M,0,1490
1612010000000,6,F,0,64
1612010000000,6,M,0,65
1612010000000,7,F,0,1963
1612010000000,7,M,0,2075
1612010000000,9,F,0,309
1612010000000,9,M,0,347
1612190000000,1,M,0,2
1612190000000,5,F,0,5
1612190000000,5,M,0,6
1612190000000,7,F,0,6
1612190000000,7,M,0,2
1612190000000,9,F,0,1
1612340000000,0,M,0,1
1612340000000,1,F,0,1
1612340000000,1,M,1,5
1612340000000,2,F,23,101
1612340000000,2,M,43,138
1612340000000,3,F,3,20
1612340000000,3,M,11,27
1612340000000,4,F,31,101
1612340000000,4,M,21,101
1612340000000,5,F,123,486
1612340000000,5,M,124,500
1612340000000,6,F,22,63
1612340000000,6,M,20,73
1612340000000,7,F,44,136
1612340000000,7,M,39,175
1612340000000,9,F,4,22
1612340000000,9,M,3,30
1612350000000,0,F,0,3
1612350000000,0,M,0,3
1612350000000,1,F,0,3
1612350000000,1,M,0,4
1612350000000,2,F,0,244
1612350000000,2,M,0,264
1612350000000,3,F,0,44
1612350000000,3,M,0,45
1612350000000,4,F,0,171
1612350000000,4,M,0,171
1612350000000,5,F,0,1093
1612350000000,5,M,0,1207
1612350000000,6,F,0,96
1612350000000,6,M,0,104
1612350000000,7,F,0,265
1612350000000,7,M,0,316
1612350000000,9,F,0,83
1612350000000,9,M,0,100
1612420000000,0,F,0,1
1612420000000,1,F,3,5
1612420000000,1,M,1,3
1612420000000,2,F,115,416
1612420000000,2,M,112,450
1612420000000,3,F,22,68
1612420000000,3,M,28,84
1612420000000,4,F,124,433
1612420000000,4,M,130,468
1612420000000,5,F,203,730
1612420000000,5,M,191,774
1612420000000,6,F,50,178
1612420000000,6,M,34,163
1612420000000,7,F,37,113
1612420000000,7,M,49,162
1612420000000,9,F,20,88
1612420000000,9,M,11,82
1612430000000,1,F,0,10
1612430000000,1,M,0,16
1612430000000,2,F,0,922
1612430000000,2,M,0,942
1612430000000,3,F,0,83
1612430000000,3,M,0,98
1612430000000,4,F,0,752
1612430000000,4,M,0,797
1612430000000,5,F,0,1525
1612430000000,5,M,0,1643
1612430000000,6,F,0,234
1612430000000,6,M,0,268
1612430000000,7,F,0,247
1612430000000,7,M,0,260
1612430000000,9,F,0,212
1612430000000,9,M,0,232
1612590000000,0,F,11,257
1612590000000,0,M,18,248
1612590000000,1,F,8,36
1612590000000,1,M,7,39
1612590000000,2,F,233,1256
1612590000000,2,M,231,1487
1612590000000,3,F,24,144
1612590000000,3,M,20,146
1612590000000,4,F,12,100
1612590000000,4,M,15,127
1612590000000,5,F,546,6267
1612590000000,5,M,644,6664
1612590000000,6,F,424,3307
1612590000000,6,M,465,3415
