CDS_CODE,ETHNIC,DISTRICT,GENDER,GR_12,ENR_TOTAL
1100170000000,0,Alameda County Office of Education,F,0,7
1100170000000,0,Alameda County Office of Education,M,1,13
1100170000000,1,Alameda County Office of Education,F,1,13
1100170000000,1,Alameda County Office of Education,M,0,3
1100170000000,2,Alameda County Office of Education,F,2,102
1100170000000,2,Alameda County Office of Education,M,7,99
1100170000000,3,Alameda County Office of Education,F,3,6
1100170000000,3,Alameda County Office of Education,M,1,2
1100170000000,4,Alameda County Office of Education,F,1,5
1100170000000,4,Alameda County Office of Education,M,1,14
1100170000000,5,Alameda County Office of Education,F,51,294
1100170000000,5,Alameda County Office of Education,M,66,333
1100170000000,6,Alameda County Office of Education,F,47,192
1100170000000,6,Alameda County Office of Education,M,66,226
1100170000000,7,Alameda County Office of Education,F,3,95
1100170000000,7,Alameda County Office of Education,M,8,92
1100170000000,9,Alameda County Office of Education,F,2,83
1100170000000,9,Alameda County Office of Education,M,3,95
1100180000000,0,Alameda County Office of Education,F,0,5
1100180000000,0,Alameda County Office of Education,M,0,5
1100180000000,1,Alameda County Office of Education,F,0,1
1100180000000,1,Alameda County Office of Education,M,0,3
1100180000000,2,Alameda County Office of Education,F,0,6
1100180000000,2,Alameda County Office of Education,M,0,8
1100180000000,3,Alameda County Office of Education,F,0,13
1100180000000,3,Alameda County Office of Education,M,0,12
1100180000000,4,Alameda County Office of Education,F,0,3
1100180000000,4,Alameda County Office of Education,M,0,1
1100180000000,5,Alameda County Office of Education,F,0,446
1100180000000,5,Alameda County Office of Education,M,0,415
1100180000000,6,Alameda County Office of Education,F,0,73
1100180000000,6,Alameda County Office of Education,M,0,67
1100180000000,7,Alameda County Office of Education,F,0,3
1100180000000,7,Alameda County Office of Education,M,0,4
1100180000000,9,Alameda County Office of Education,F,0,9
1100180000000,9,Alameda County Office of Education,M,0,5
1316090000000,0,California School for the Blind (State Special Sch,M,0,0
1316090000000,2,California School for the Blind (State Special Sch,F,0,1
1316090000000,2,California School for the Blind (State Special Sch,M,0,2
1316090000000,3,California School for the Blind (State Special Sch,M,0,1
1316090000000,5,California School for the Blind (State Special Sch,F,2,13
1316090000000,5,California School for the Blind (State Special Sch,M,1,9
1316090000000,6,California School for the Blind (State Special Sch,F,1,2
1316090000000,6,California School for the Blind (State Special Sch,M,0,2
1316090000000,7,California School for the Blind (State Special Sch,F,2,4
1316090000000,7,California School for the Blind (State Special Sch,M,1,11
1316090000000,9,California School for the Blind (State Special Sch,F,0,1
1316090000000,9,California School for the Blind (State Special Sch,M,0,1
1316170000000,1,California School for the Deaf-Fremont (State Spec,M,0,1
1316170000000,2,California School for the Deaf-Fremont (State Spec,F,2,16
1316170000000,2,California School for the Deaf-Fremont (State Spec,M,2,11
1316170000000,3,California School for the Deaf-Fremont (State Spec,F,0,1
1316170000000,4,California School for the Deaf-Fremont (State Spec,F,2,7
1316170000000,4,California School for the Deaf-Fremont (State Spec,M,2,10
1316170000000,5,California School for the Deaf-Fremont (State Spec,F,17,80
1316170000000,5,California School for the Deaf-Fremont (State Spec,M,28,110
1316170000000,6,California School for the Deaf-Fremont (State Spec,F,6,17
1316170000000,6,California School for the Deaf-Fremont (State Spec,M,6,17
1316170000000,7,California School for the Deaf-Fremont (State Spec,F,5,55
1316170000000,7,California School for the Deaf-Fremont (State Spec,M,10,50
1316170000000,9,California School for the Deaf-Fremont (State Spec,F,1,9
1316170000000,9,California School for the Deaf-Fremont (State Spec,M,1,8
1611190000000,0,Alameda Unified,F,2,12
1611190000000,0,Alameda Unified,M,0,11
1611190000000,1,Alameda Unified,F,0,18
1611190000000,1,Alameda Unified,M,1,5
1611190000000,2,Alameda Unified,F,133,708
1611190000000,2,Alameda Unified,M,154,752
1611190000000,3,Alameda Unified,F,5,31
1611190000000,3,Alameda Unified,M,7,31
1611190000000,4,Alameda Unified,F,29,214
1611190000000,4,Alameda Unified,M,32,247
1611190000000,5,Alameda Unified,F,70,524
1611190000000,5,Alameda Unified,M,78,555
1611190000000,6,Alameda Unified,F,43,320
1611190000000,6,Alameda Unified,M,54,380
1611190000000,7,Alameda Unified,F,102,794
1611190000000,7,Alameda Unified,M,115,877
1611190000000,9,Alameda Unified,F,14,176
