CDS_CODE,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS
1100170000000,1,1,16,2,1
1100170000000,2,9,201,6,1
1100170000000,3,4,8,2,0
1100170000000,4,2,19,1,0
1100170000000,5,117,627,113,40
1100170000000,6,113,418,83,35
1100170000000,7,11,187,9,1
1100170000000,9,5,178,5,3
1316170000000,2,4,27,2,0
1316170000000,4,4,17,1,0
1316170000000,5,45,190,18,0
1316170000000,6,12,34,3,0
1316170000000,7,15,105,12,0
1316170000000,9,2,17,1,0
1611190000000,1,1,23,1,1
1611190000000,2,287,1460,264,165
1611190000000,3,12,62,9,2
1611190000000,4,61,461,58,35
1611190000000,5,148,1079,117,54
1611190000000,6,97,700,75,24
1611190000000,7,217,1671,204,114
1611190000000,9,33,388,28,16
1611270000000,2,88,348,90,61
1611270000000,3,1,4,1,1
1611270000000,4,5,22,4,2
1611270000000,5,49,209,47,21
1611270000000,6,21,64,19,5
1611270000000,7,109,452,104,75
1611270000000,9,27,127,27,17
1611430000000,0,2,14,2,1
1611430000000,1,3,11,2,0
1611430000000,2,71,284,71,47
1611430000000,3,4,9,4,2
1611430000000,4,6,32,6,6
1611430000000,5,248,1090,218,140
1611430000000,6,198,756,173,61
1611430000000,7,310,1291,291,249
1611430000000,9,80,383,71,54
1611500000000,0,3,15,3,1
1611500000000,1,2,11,2,0
1611500000000,2,192,774,187,138
1611500000000,3,5,14,5,1
1611500000000,4,37,145,37,26
1611500000000,5,179,729,160,52
1611500000000,6,70,246,65,33
1611500000000,7,241,918,233,124
1611500000000,9,60,253,57,26
1611680000000,2,6,20,6,2
1611680000000,3,1,2,1,0
1611680000000,5,8,31,8,2
1611680000000,6,33,105,29,7
1611680000000,7,2,11,2,1
1611760000000,1,10,31,10,2
1611760000000,2,1328,5521,1277,1062
1611760000000,3,13,74,15,8
1611760000000,4,173,711,165,100
1611760000000,5,423,1583,341,114
1611760000000,6,96,351,84,26
1611760000000,7,467,1770,425,229
1611760000000,9,38,198,34,15
1611920000000,0,8,103,5,3
1611920000000,1,4,23,3,0
1611920000000,2,131,655,128,99
1611920000000,3,58,250,51,23
1611920000000,4,147,658,139,88
1611920000000,5,858,4418,717,320
1611920000000,6,174,850,145,52
1611920000000,7,91,678,70,32
1611920000000,9,19,168,16,11
1612000000000,0,4,92,4,3
1612000000000,1,3,13,3,2
1612000000000,2,70,386,68,53
1612000000000,3,5,22,5,1
1612000000000,4,37,167,36,24
1612000000000,5,279,1447,259,101
1612000000000,6,16,86,14,3
1612000000000,7,590,3008,584,364
1612000000000,9,72,413,70,45
1612340000000,1,2,7,3,0
1612340000000,2,71,232,70,35
1612340000000,3,8,36,8,1
1612340000000,4,49,193,47,26
1612340000000,5,252,954,236,53
1612340000000,6,33,102,29,5
1612340000000,7,92,307,85,30
1612340000000,9,10,56,10,4
1612420000000,1,1,10,1,0
1612420000000,2,235,860,213,146
1612420000000,3,37,133,29,19
1612420000000,4,242,874,215,143
1612420000000,5,398,1483,295,109
1612420000000,6,97,323,73,29
1612420000000,7,81,254,55,27
1612420000000,9,41,188,34,22
1612590000000,0,35,538,29,15
1612590000000,1,7,73,3,2
1612590000000,2,425,2797,348,251
1612590000000,3,28,265,19,7
1612590000000,4,32,233,27,20
1612590000000,5,1331,13462,992,693
1612590000000,6,832,6904,570,228
1612590000000,7,215,1554,199,154
1612590000000,9,44,539,35,25
1612600000000,0,2,307,2,0
1612600000000,2,2,3485,2,0
1612600000000,4,1,226,1,0
1612600000000,5,28,8386,12,0
1612600000000,6,26,5747,12,0
1612600000000,7,8,3186,2,0
1612750000000,2,29,136,29,28
1612750000000,4,5,15,5,4
1612750000000,5,6,40,6,5
1612750000000,6,10,33,10,7
