CDS_CODE,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS
4615150000000,4,2,3,1,0
4615150000000,5,113,510,99,12
4615150000000,6,13,50,8,0
4615150000000,7,289,1136,237,27
4615150000000,9,52,228,37,4
4615310000000,1,4,20,5,0
4615310000000,2,2,10,3,2
4615310000000,4,1,10,1,0
4615310000000,5,34,150,28,6
4615310000000,6,1,15,1,0
4615310000000,7,286,1205,239,65
4615310000000,9,20,84,16,3
4615320000000,5,3,349,2,0
4615320000000,7,10,2130,15,0
4615320000000,9,4,228,5,0
4755070000000,0,6,40,2,0
4755070000000,2,7,22,4,1
4755070000000,4,0,1,1,1
4755070000000,5,93,382,82,27
4755070000000,6,2,5,1,1
4755070000000,7,65,259,63,15
5100580000000,1,1,10,1,0
5100580000000,2,0,2,1,0
5100580000000,3,1,3,1,0
5100580000000,5,10,70,9,0
5100580000000,7,50,370,57,0
5100580000000,9,7,37,5,0
5100590000000,5,1,15,1,0
5100590000000,7,5,74,4,0
5615560000000,1,1,14,3,1
5615560000000,2,5,8,1,0
5615560000000,5,37,117,30,11
5615560000000,7,144,560,124,55
5615560000000,9,8,50,10,5
5615640000000,1,4,20,3,0
5615640000000,2,4,9,1,0
5615640000000,4,1,9,4,1
5615640000000,5,23,140,29,11
5615640000000,6,5,19,5,1
5615640000000,7,228,926,207,66
5615640000000,9,3,10,2,0
6615980000000,1,2,11,1,0
6615980000000,5,64,265,37,2
6615980000000,6,2,6,2,0
6615980000000,7,44,165,40,4
6616060000000,1,1,3,1,0
6616060000000,5,11,51,12,2
6616060000000,7,18,58,14,3
6616140000000,3,0,3,1,0
6616140000000,5,59,273,61,19
6616140000000,7,25,96,18,4
6616220000000,1,2,6,1,0
6616220000000,5,87,754,61,9
6616220000000,6,0,5,2,0
6616220000000,7,7,69,4,0
7100740000000,0,4,63,4,4
7100740000000,1,0,12,2,2
7100740000000,2,29,171,45,43
7100740000000,3,4,26,3,3
7100740000000,4,16,108,20,20
7100740000000,5,95,1110,121,110
7100740000000,6,52,380,31,15
7100740000000,7,286,1258,235,231
7100740000000,9,6,45,13,13
7616300000000,0,3,76,4,2
7616300000000,1,1,6,2,1
7616300000000,2,172,647,169,144
7616300000000,3,5,14,2,2
7616300000000,4,21,88,29,21
7616300000000,5,114,411,85,49
7616300000000,6,13,72,26,13
7616300000000,7,973,3682,926,676
7616300000000,9,90,353,75,55
7616480000000,0,4,11,1,0
7616480000000,1,13,77,7,0
7616480000000,2,84,567,73,49
7616480000000,3,18,92,15,4
7616480000000,4,76,539,84,46
7616480000000,5,558,3234,453,114
7616480000000,6,437,2687,293,76
7616480000000,7,408,2162,313,108
7616480000000,9,72,532,58,23
7616970000000,1,0,2,1,0
7616970000000,2,17,53,13,5
7616970000000,4,12,51,11,3
7616970000000,5,35,170,36,4
7616970000000,6,23,91,18,1
7616970000000,7,41,131,30,2
7616970000000,9,7,40,13,4
7617210000000,1,16,48,9,3
7617210000000,2,45,203,50,26
7617210000000,3,14,50,14,4
7617210000000,4,99,336,76,51
7617210000000,5,641,2521,543,183
7617210000000,6,180,666,160,51
7617210000000,7,1001,3617,817,382
7617210000000,9,28,259,46,17
7617390000000,1,1,7,1,1
7617390000000,2,8,41,9,7
7617390000000,3,1,5,1,0
7617390000000,4,7,31,6,4
7617390000000,5,96,352,77,23
7617390000000,6,12,40,12,3
7617390000000,7,218,791,178,84
7617390000000,9,39,148,36,19
7617540000000,0,15,203,3,2
7617540000000,1,12,51,10,0
7617540000000,2,166,742,165,70
7617540000000,3,35,122,17,3
7617540000000,4,103,513,115,49
7617540000000,5,787,3487,621,87
7617540000000,6,136,517,91,14
7617540000000,7,970,3646,797,312
7617540000000,9,27,139,16,2
7617880000000,1,1,14,1,0
7617880000000,2,26,155,28,9
7617880000000,3,9,61,6,1
7617880000000,4,39,260,35,15
7617880000000,5,341,2538,348,85
7617880000000,6,153,1092,152,30
7617880000000,7,51,296,40,10
7617880000000,9,6,45,8,2
7617960000000,1,8,22,2,1
7617960000000,2,261,932,224,143
7617960000000,3,16,76,21,5
7617960000000,4,137,574,164,88
7617960000000,5,1009,4418,841,319
7617960000000,6,487,2025,368,124
7617960000000,7,225,854,175,78
7617960000000,9,1,29,9,2
7618040000000,1,5,21,4,0
7618040000000,2,510,5932,517,441
7618040000000,3,7,37,6,3
7618040000000,4,60,585,77,52
7618040000000,5,191,1148,198,76
7618040000000,6,60,362,66,25
7618040000000,7,1290,6372,1286,845
7618040000000,9,141,1015,117,80
8100820000000,1,26,126,10,0
8100820000000,2,3,9,1,0
8100820000000,5,12,64,14,0
8100820000000,6,3,5,2,0
8100820000000,7,59,388,55,1
8100820000000,9,2,7,1,0
8618200000000,1,34,126,20,2
8618200000000,2,30,98,27,10
8618200000000,5,49,201,46,11
8618200000000,6,3,8,3,0
8618200000000,7,161,611,150,27
8618200000000,9,0,3,1,0
9100900000000,1,7,23,1,0
9100900000000,2,2,7,1,0
9100900000000,3,1,3,1,0
9100900000000,5,35,207,51,0
9100900000000,6,10,57,21,0
9100900000000,7,81,532,47,0
9100900000000,9,5,33,2,0
9618530000000,0,4,33,13,5
9618530000000,1,16,67,18,6
9618530000000,2,72,248,55,45
9618530000000,3,8,27,6,4
9618530000000,4,27,60,13,8
9618530000000,5,173,817,174,81
9618530000000,6,21,80,23,10
9618530000000,7,1363,5101,1280,690
9618530000000,9,27,440,44,21
9619030000000,1,3,15,5,4
9619030000000,2,4,24,10,8
9619030000000,3,0,3,1,0
9619030000000,4,18,59,15,12
9619030000000,5,103,460,94,23
9619030000000,6,6,19,5,1
9619030000000,7,159,904,137,68
9619030000000,9,1,17,2,0
9737830000000,1,8,21,4,0
9737830000000,2,2,7,2,1
9737830000000,4,0,5,1,1
9737830000000,5,6,54,5,1
9737830000000,6,0,4,1,0
9737830000000,7,115,724,116,21
10101100000000,0,3,11,1,0
10101100000000,2,17,104,21,0
10101100000000,5,198,1265,40,3
10101100000000,6,50,341,14,2
10101100000000,7,69,336,21,3
10621200000000,0,0,69,1,0
10621200000000,1,31,318,18,6
10621200000000,2,449,5080,394,287
10621200000000,3,12,99,6,3
10621200000000,4,49,722,51,32
10621200000000,5,910,13025,745,335
10621200000000,6,108,1324,89,44
10621200000000,7,1487,18072,1331,763
10621200000000,9,57,1185,51,31
10621300000000,2,7,80,2,1
10621300000000,4,2,20,1,0
10621300000000,5,190,3599,178,1
10621300000000,6,3,44,2,0
10621300000000,7,41,515,37,0
10621600000000,1,0,5,1,1
10621600000000,2,14,226,18,13
10621600000000,5,130,1905,119,44
10621600000000,6,2,17,1,1
10621600000000,7,15,230,13,7
10621700000000,1,42,458,23,7
10621700000000,2,847,8644,704,447
10621700000000,3,20,241,16,9
10621700000000,4,21,283,26,21
10621700000000,5,3185,47653,2295,872
10621700000000,6,561,6904,361,144
10621700000000,7,799,8823,644,347
10621700000000,9,33,671,29,9
10622600000000,1,1,5,2,1
10622600000000,2,11,38,6,5
10622600000000,5,162,668,143,55
10622600000000,6,0,2,1,1
10622600000000,7,110,391,83,39
10622600000000,9,5,33,9,7
10622700000000,0,3,34,2,0
10622700000000,1,4,38,2,0
10622700000000,2,9,114,11,9
10622700000000,4,6,52,3,2
10622700000000,5,662,8507,492,143
10622700000000,6,5,40,4,1
10622700000000,7,129,1072,75,31
10622700000000,9,6,93,3,2
10622800000000,5,26,590,37,8
10622800000000,7,1,73,6,1
10623300000000,5,7,386,2,0
10623600000000,2,0,29,1,1
10623600000000,5,218,3597,151,32
10623600000000,7,0,60,1,1
10623800000000,0,0,1,1,0
10623800000000,2,7,13,1,0
10623800000000,5,64,496,20,0
10623800000000,6,8,15,3,0
10623800000000,7,9,49,8,0
10624100000000,1,4,48,4,1
10624100000000,2,66,1083,83,49
10624100000000,3,0,20,1,1
10624100000000,4,2,60,4,3
10624100000000,5,547,7657,527,186
10624100000000,6,10,157,10,3
10624100000000,7,130,1733,87,45
10624100000000,9,3,124,2,1
10624300000000,1,1,16,2,2
10624300000000,2,20,273,22,14
10624300000000,4,1,13,3,2
10624300000000,5,355,5657,343,108
10624300000000,6,5,30,5,1
10624300000000,7,40,446,29,11
10624300000000,9,0,12,1,1
10625400000000,2,0,34,2,2
10625400000000,5,98,531,71,70
10625400000000,6,7,24,2,2
10625400000000,7,25,77,8,8
10625500000000,0,1,1,1,0
10625500000000,1,3,10,3,0
10625500000000,2,7,13,4,0
10625500000000,5,116,468,58,0
10625500000000,6,17,22,6,0
10625500000000,7,53,95,29,0
10738100000000,5,160,2135,140,54
10738100000000,7,7,136,13,5
10739700000000,0,6,89,2,0
10739700000000,1,7,106,8,4
10739700000000,2,166,1966,151,86
10739700000000,3,2,33,3,1
10739700000000,4,13,180,16,7
10739700000000,5,545,8293,464,125
10739700000000,6,109,1540,76,18
10739700000000,7,220,2867,226,107
10739700000000,9,12,188,5,4
10740000000000,1,1,23,2,1
10740000000000,2,24,261,16,8
10740000000000,5,229,3939,228,65
10740000000000,6,2,23,2,1
10740000000000,7,33,521,41,16
10751300000000,5,165,2815,136,58
10751300000000,6,0,1,1,0
10752300000000,5,90,1821,103,17
10752300000000,6,0,4,2,0
10752800000000,1,21,225,19,3
10752800000000,2,0,13,1,0
10752800000000,3,0,1,1,0
10752800000000,4,1,13,1,1
10752800000000,5,23,190,18,3
10752800000000,6,0,23,1,0
10752800000000,7,106,928,102,42
10754100000000,4,0,5,1,1
10754100000000,5,92,1273,92,59
10754100000000,6,3,19,1,1
10754100000000,7,17,248,15,8
10756000000000,2,8,93,12,9
10756000000000,5,97,1042,93,40
10756000000000,6,4,7,2,1
10756000000000,7,24,188,14,2
10767800000000,1,1,15,2,0
10767800000000,2,38,293,39,15
10767800000000,5,211,2111,192,50
10767800000000,6,34,434,23,4
10767800000000,7,32,230,23,14
11101200000000,0,0,3,1,1
11101200000000,5,20,128,8,0
11101200000000,7,18,204,11,0
11101200000000,9,5,16,2,0
11626500000000,1,4,51,4,0
11626500000000,5,13,139,10,4
11626500000000,7,7,114,12,2
11626600000000,1,3,41,1,0
11626600000000,2,5,82,9,0
11626600000000,5,56,695,46,1
11626600000000,7,67,611,51,1
11626600000000,9,0,8,1,0
11754800000000,1,0,19,2,1
11754800000000,2,4,58,2,0
11754800000000,3,0,3,1,1
11754800000000,5,81,1301,91,16
11754800000000,7,65,756,60,9
11754800000000,9,0,10,3,1
11765600000000,5,66,619,41,16
11765600000000,6,1,4,1,0
11765600000000,7,23,84,15,6
12101200000000,0,1,8,1,1
12101200000000,1,0,29,3,0
12101200000000,2,1,9,2,2
12101200000000,5,1,61,3,2
12101200000000,6,0,6,1,0
12101200000000,7,23,312,31,25
12101200000000,9,5,42,1,1
12626900000000,0,12,277,24,10
12626900000000,1,25,85,13,4
12626900000000,2,6,27,3,1
12626900000000,3,3,7,1,0
12626900000000,5,38,152,33,7
12626900000000,6,8,20,2,1
12626900000000,7,287,1054,262,101
12626900000000,9,8,100,20,7
12628100000000,1,17,62,13,1
12628100000000,2,3,18,5,2
12628100000000,3,1,2,1,0
12628100000000,4,2,10,2,1
12628100000000,5,46,202,36,9
12628100000000,7,182,761,178,54
12628100000000,9,0,13,3,0
12629000000000,1,54,852,40,27
12629000000000,5,1,46,3,2
12629000000000,7,9,108,4,3
12629000000000,9,0,19,2,2
12629300000000,1,2,25,2,0
12629300000000,5,7,61,5,0
12629300000000,7,24,120,21,0
12629300000000,9,0,12,1,0
12630300000000,1,1,34,2,0
12630300000000,2,0,36,2,1
12630300000000,5,4,148,5,0
12630300000000,7,23,525,24,3
12630300000000,9,4,90,6,1
12630400000000,1,4,26,4,1
12630400000000,2,1,11,2,2
12630400000000,3,0,3,1,1
12630400000000,5,6,87,7,3
12630400000000,7,51,571,39,13
12630400000000,9,2,24,1,0
12753700000000,1,1,26,3,0
12753700000000,5,4,92,5,1
12753700000000,7,31,392,26,14
12753800000000,1,13,51,7,0
12753800000000,5,5,65,9,0
12753800000000,7,59,600,49,0
12753800000000,9,8,49,6,0
12755200000000,0,4,33,15,1
12755200000000,1,17,211,17,3
12755200000000,2,42,385,41,19
12755200000000,3,3,59,1,1
12755200000000,4,2,29,2,0
12755200000000,5,41,642,46,10
12755200000000,6,5,99,4,0
12755200000000,7,226,2035,148,41
12755200000000,9,9,176,10,1
13101300000000,5,51,510,17,0
13630800000000,0,0,4,1,0
13630800000000,2,1,13,4,1
13630800000000,4,4,6,1,1
13630800000000,5,403,1561,343,81
13630800000000,6,5,16,3,1
13630800000000,7,43,221,48,26
13630800000000,9,3,12,3,0
13631000000000,1,0,2,1,0
13631000000000,2,3,46,5,2
13631000000000,4,0,3,1,1
13631000000000,5,676,9109,633,137
13631100000000,2,0,4,1,1
13631100000000,5,80,1041,46,14
13631100000000,7,8,98,6,4
13631200000000,1,2,26,2,0
13631200000000,2,15,87,14,8
13631200000000,3,3,10,1,0
13631200000000,5,809,9244,787,189
13631200000000,6,14,128,10,4
13631200000000,7,59,466,41,23
13631200000000,9,5,28,3,1
13631500000000,5,119,1376,94,55
13631500000000,7,12,183,16,8
13631600000000,2,2,39,2,1
13631600000000,4,2,32,1,1
13631600000000,5,138,2911,174,58
13631600000000,6,7,69,8,4
13631600000000,7,37,628,48,18
13631600000000,9,2,21,1,0
13632100000000,1,11,350,9,1
13632100000000,5,15,391,17,0
13632100000000,7,0,53,2,0
13632100000000,9,0,53,1,0
14101400000000,1,2,19,3,0
14101400000000,2,2,11,3,0
14101400000000,3,2,6,2,0
14101400000000,4,2,4,3,0
14101400000000,5,343,1174,496,29
14101400000000,6,103,386,160,4
14101400000000,7,16,54,16,0
14632500000000,1,4,90,1,0
14632500000000,7,4,58,3,0
14632700000000,1,0,3,1,0
14632700000000,5,0,1,1,0
14632900000000,1,3,52,1,0
14632900000000,2,2,7,1,1
14632900000000,5,16,189,13,2
14632900000000,7,8,124,7,2
14632900000000,9,0,9,1,1
14633000000000,5,1,24,1,0
14633000000000,7,0,26,3,0
14766900000000,0,1,66,2,1
14766900000000,1,24,262,16,1
14766900000000,2,4,29,3,3
14766900000000,4,0,3,1,0
14766900000000,5,59,675,45,10
14766900000000,7,90,852,97,39
14766900000000,9,9,91,10,3
15101600000000,1,6,40,2,1
15101600000000,2,4,52,6,4
15101600000000,3,2,7,3,0
15101600000000,4,10,44,9,3
15101600000000,5,521,2580,179,31
15101600000000,6,104,345,29,1
15101600000000,7,192,1451,99,24
15101600000000,9,6,28,1,0
15634100000000,1,2,5,1,0
15634100000000,2,9,40,14,6
15634100000000,3,0,1,1,1
15634100000000,4,118,490,116,76
15634100000000,5,845,3671,790,257
15634100000000,6,12,37,4,2
15634100000000,7,17,79,24,13
15635300000000,0,3,102,5,1
15635300000000,1,83,284,54,11
15635300000000,2,208,930,232,178
15635300000000,3,16,60,18,11
15635300000000,4,95,398,108,72
15635300000000,5,5736,23004,4896,1503
15635300000000,6,591,2347,459,149
15635300000000,7,2395,9379,2037,848
15635300000000,9,165,566,99,39
15636300000000,2,2,54,1,0
15636300000000,4,2,36,2,0
15636300000000,5,31,527,39,1
15636300000000,6,7,218,10,0
15636300000000,7,71,1408,50,1
15636800000000,1,2,24,3,0
15636800000000,2,1,18,1,0
15636800000000,4,1,22,1,1
15636800000000,5,69,1084,58,14
15636800000000,6,44,742,24,0
15636800000000,7,48,712,34,10
15636800000000,9,10,73,5,1
15636900000000,2,2,126,4,3
15636900000000,3,2,23,1,0
15636900000000,4,4,199,5,2
15636900000000,5,25,1489,32,10
15636900000000,6,12,190,17,7
15636900000000,7,77,3216,55,22
15636900000000,9,14,451,13,8
15637700000000,0,11,25,3,0
15637700000000,2,5,10,1,0
15637700000000,4,4,7,3,0
15637700000000,5,40,368,16,0
15637700000000,6,9,28,8,1
15637700000000,7,46,125,20,0
15637800000000,0,10,181,2,0
15637800000000,1,1,38,1,0
15637800000000,2,1,17,1,1
15637800000000,4,1,21,6,0
15637800000000,5,79,1599,122,9
15637800000000,6,14,300,17,3
15637800000000,7,69,1093,62,8
15637800000000,9,0,53,1,0
15638200000000,1,3,23,3,1
15638200000000,3,4,12,3,1
15638200000000,4,0,2,2,1
15638200000000,5,91,413,89,15
15638200000000,6,2,10,1,0
15638200000000,7,142,549,120,37
15638200000000,9,7,19,3,0
15638300000000,1,3,34,1,1
15638300000000,2,5,51,7,5
15638300000000,4,1,23,2,0
15638300000000,5,109,2056,77,9
15638300000000,6,4,75,3,1
15638300000000,7,248,2913,219,59
15638300000000,9,2,49,6,0
15638600000000,5,413,1618,300,69
15638600000000,6,6,40,9,2
15638600000000,7,20,90,26,8
15737400000000,1,1,63,3,0
15737400000000,2,13,137,10,3
15737400000000,3,5,54,7,2
15737400000000,4,7,103,10,3
15737400000000,5,82,1238,68,12
15737400000000,6,17,250,26,2
15737400000000,7,234,3101,203,37
15737400000000,9,4,62,2,0
15739100000000,1,0,1,1,0
15739100000000,5,169,3238,177,73
15739100000000,6,1,12,2,1
15739100000000,7,4,43,1,0
15751700000000,0,0,20,1,1
15751700000000,5,22,259,20,19
15751700000000,7,57,572,52,49
16101700000000,0,1,34,1,0
16101700000000,5,34,270,10,0
16101700000000,7,11,63,2,0
16638800000000,0,2,82,1,0
16638800000000,1,2,244,2,0
16638800000000,3,7,23,1,0
16638800000000,4,0,96,1,0
16638800000000,5,184,1816,42,0
16638800000000,6,23,209,7,0
16638800000000,7,92,1275,56,0
16638800000000,9,6,61,2,0
16638900000000,0,6,52,2,1
16638900000000,1,0,6,1,0
16638900000000,5,201,2865,138,70
16638900000000,6,10,111,8,1
16638900000000,7,28,284,20,8
16639300000000,0,0,1,2,0
16639300000000,1,7,24,5,0
16639300000000,2,26,88,19,8
16639300000000,3,0,7,2,1
16639300000000,4,30,89,22,14
16639300000000,5,519,2350,448,113
16639300000000,6,52,232,44,10
16639300000000,7,323,1386,276,97
16639300000000,9,4,29,4,1
16639800000000,1,17,70,8,2
16639800000000,2,8,35,10,7
16639800000000,3,0,11,4,2
16639800000000,4,57,146,22,14
16639800000000,5,240,1120,242,69
16639800000000,6,30,150,31,9
16639800000000,7,170,745,152,75
16739300000000,5,137,2556,111,0
16739300000000,7,7,48,4,0
17101700000000,5,3,13,3,0
17640100000000,1,2,56,1,0
17640100000000,2,1,16,2,1
17640100000000,5,45,640,34,6
17640100000000,6,2,26,3,1
17640100000000,7,94,827,71,25
17640100000000,9,3,32,3,0
17640200000000,0,0,19,1,0
17640200000000,1,8,106,9,0
17640200000000,4,0,6,1,0
17640200000000,5,62,985,42,7
17640200000000,6,9,105,11,2
17640200000000,7,115,1600,82,12
17640200000000,9,6,227,2,0
17640300000000,1,6,150,4,0
17640300000000,2,1,14,1,1
17640300000000,4,0,16,3,0
17640300000000,5,25,417,23,10
17640300000000,7,74,870,66,20
17640300000000,9,11,44,5,1
17640600000000,1,3,95,2,0
17640600000000,2,1,14,1,0
17640600000000,4,0,11,2,0
17640600000000,5,20,487,18,7
17640600000000,6,0,15,1,0
17640600000000,7,96,1485,101,30
17640600000000,9,1,51,5,2
17640700000000,1,9,38,4,0
17640700000000,2,3,7,1,1
17640700000000,5,18,88,21,6
17640700000000,7,54,198,40,10
17640700000000,9,3,18,1,0
18101800000000,1,0,4,1,0
18101800000000,7,6,30,1,1
18640900000000,1,0,6,1,1
18640900000000,5,2,33,3,3
18640900000000,7,15,155,14,10
18641400000000,1,8,57,11,3
18641400000000,2,1,8,1,0
18641400000000,3,1,8,2,0
18641400000000,4,3,9,2,1
18641400000000,5,23,147,26,4
18641400000000,6,4,18,6,2
18641400000000,7,175,729,166,48
18641600000000,5,3,33,8,0
18641600000000,7,23,259,53,1
18642000000000,0,0,6,1,0
18642000000000,1,4,87,2,0
18642000000000,5,13,238,3,0
18642000000000,6,4,25,3,0
18642000000000,7,45,916,36,0
18750400000000,1,2,12,1,0
18750400000000,5,3,32,1,0
18750400000000,7,24,241,15,1
19102000000000,0,4,53,4,1
19102000000000,1,4,38,10,2
19102000000000,2,31,148,30,13
19102000000000,3,2,17,2,1
19102000000000,4,9,67,17,3
19102000000000,5,861,6364,651,92
19102000000000,6,175,1644,112,18
19102000000000,7,132,711,95,66
19102000000000,9,6,94,4,2
19642100000000,0,5,77,5,2
19642100000000,1,7,56,4,1
19642100000000,2,512,5230,481,349
19642100000000,3,19,163,15,4
19642100000000,4,182,2230,196,108
19642100000000,5,753,9165,567,167
19642100000000,6,174,1946,145,40
19642100000000,7,125,1497,106,35
19642100000000,9,34,481,21,10
19642500000000,0,182,622,12,0
19642500000000,1,88,237,43,6
19642500000000,2,95,370,84,48
19642500000000,3,13,59,13,5
19642500000000,4,116,386,82,39
19642500000000,5,3493,13158,2631,740
19642500000000,6,1318,4636,812,218
19642500000000,7,1412,4934,998,318
19642500000000,9,72,414,79,28
19642600000000,1,1,15,2,0
19642600000000,2,610,6268,608,473
19642600000000,3,0,10,1,1
19642600000000,4,25,279,32,18
19642600000000,5,123,1312,96,33
19642600000000,6,15,189,19,4
19642600000000,7,118,1570,152,82
19642600000000,9,2,11,1,0
19642800000000,2,7,75,7,3
19642800000000,4,11,111,12,6
19642800000000,5,683,8991,614,167
19642800000000,6,10,120,5,1
19642800000000,7,36,373,25,8
19642800000000,9,8,56,1,0
19642900000000,0,0,6,3,0
19642900000000,1,5,48,7,0
19642900000000,2,82,738,64,35
19642900000000,3,6,31,6,0
19642900000000,4,27,310,30,10
